Dataset,Noise_Type,Noise_Rate,Method,Causality
iris,pair,0.01,fci,anticausal
iris,pair,0.01,icd,anticausal
iris,instance,0.01,fci,anticausal
iris,instance,0.01,icd,anticausal
iris,instance,0.01,rai,anticausal
iris,instance,0.01,ci,anticausal
iris,pair,0.01,fci,anticausal
iris,pair,0.01,icd,anticausal
iris,pair,0.01,rai,anticausal
iris,pair,0.01,ci,anticausal
iris,sym,0.01,fci,anticausal
iris,sym,0.01,icd,anticausal
iris,sym,0.01,rai,anticausal
iris,sym,0.01,ci,anticausal
iris,instance,0.1,fci,unkown
iris,instance,0.1,icd,unkown
iris,instance,0.1,rai,anticausal
iris,instance,0.1,ci,anticausal
iris,pair,0.1,fci,anticausal
iris,pair,0.1,icd,anticausal
iris,pair,0.1,rai,anticausal
iris,pair,0.1,ci,anticausal
iris,sym,0.1,fci,anticausal
iris,sym,0.1,icd,anticausal
iris,sym,0.1,rai,anticausal
iris,sym,0.1,ci,anticausal
iris,instance,0.2,fci,anticausal
iris,instance,0.2,icd,anticausal
iris,instance,0.2,rai,anticausal
iris,instance,0.2,ci,anticausal
iris,pair,0.2,fci,unkown
iris,pair,0.2,icd,unkown
iris,pair,0.2,rai,anticausal
iris,pair,0.2,ci,anticausal
iris,sym,0.2,fci,anticausal
iris,sym,0.2,icd,anticausal
iris,sym,0.2,rai,anticausal
iris,sym,0.2,ci,anticausal
iris,instance,0.3,fci,unkown
iris,instance,0.3,icd,unkown
iris,instance,0.3,rai,anticausal
iris,instance,0.3,ci,anticausal
iris,pair,0.3,fci,unkown
iris,pair,0.3,icd,unkown
iris,pair,0.3,rai,anticausal
iris,pair,0.3,ci,anticausal
iris,sym,0.3,fci,unkown
iris,sym,0.3,icd,unkown
iris,sym,0.3,rai,anticausal
iris,sym,0.3,ci,anticausal
