Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
xyguassian,instance,0.01,fci,anticausal,0:00:00.029639
xyguassian,instance,0.01,fci,anticausal,0:00:00.030053
xyguassian,instance,0.01,icd,anticausal,0:00:00.046650
xyguassian,instance,0.01,rai,causal,0:00:01.270737
xyguassian,instance,0.01,ci,causal,0:00:01.203246
xyguassian,instance,0.01,pc,causal,0:00:08.346663
xyguassian,instance,0.01,ges,causal,0:00:03.061948
xyguassian,instance,0.01,lingam,unkown,0:00:03.525780
xyguassian,instance,0.01,fci,anticausal,0:00:00.032689
xyguassian,instance,0.01,icd,anticausal,0:00:00.040933
xyguassian,instance,0.01,rai,causal,0:00:01.262516
xyguassian,instance,0.01,ci,causal,0:00:01.180855
xyguassian,instance,0.01,pc,causal,0:00:08.352168
xyguassian,instance,0.01,ges,causal,0:00:03.066062
xyguassian,instance,0.01,lingam,unkown,0:00:03.579228
xyguassian,instance,0.01,gies,causal,0:00:03.030130
xyguassian,instance,0.01,sam,unkown,0:14:48.186951
xyguassian,instance,0.01,ccdr,causal,0:00:03.469579
xyguassian,instance,0.1,fci,anticausal,0:00:00.035864
xyguassian,instance,0.1,icd,anticausal,0:00:00.040755
xyguassian,instance,0.1,rai,causal,0:00:01.292096
xyguassian,instance,0.1,ci,causal,0:00:01.156197
xyguassian,instance,0.1,pc,causal,0:00:08.323998
xyguassian,instance,0.1,ges,causal,0:00:03.098299
xyguassian,instance,0.1,lingam,unkown,0:00:03.737428
xyguassian,instance,0.1,gies,causal,0:00:03.019828
xyguassian,instance,0.1,sam,unkown,0:14:48.342619
xyguassian,instance,0.1,ccdr,causal,0:00:03.381677
xyguassian,instance,0.2,fci,anticausal,0:00:00.034547
xyguassian,instance,0.2,icd,anticausal,0:00:00.039462
xyguassian,instance,0.2,rai,causal,0:00:01.600892
xyguassian,instance,0.2,ci,causal,0:00:01.030798
xyguassian,instance,0.2,pc,anticausal,0:00:08.106758
xyguassian,instance,0.2,ges,causal,0:00:02.943011
xyguassian,instance,0.2,lingam,unkown,0:00:03.424901
xyguassian,instance,0.2,gies,causal,0:00:02.945512
xyguassian,instance,0.2,sam,unkown,0:14:46.300942
xyguassian,instance,0.2,ccdr,causal,0:00:03.390748
xyguassian,instance,0.3,fci,anticausal,0:00:00.032813
xyguassian,instance,0.3,icd,anticausal,0:00:00.041066
xyguassian,instance,0.3,rai,anticausal,0:00:01.141405
xyguassian,instance,0.3,ci,anticausal,0:00:00.981161
xyguassian,instance,0.3,pc,anticausal,0:00:08.369237
xyguassian,instance,0.3,ges,anticausal,0:00:03.033465
xyguassian,instance,0.3,lingam,unkown,0:00:03.506635
xyguassian,instance,0.3,gies,anticausal,0:00:03.013886
xyguassian,instance,0.3,sam,unkown,0:15:11.209180
xyguassian,instance,0.3,ccdr,causal,0:00:03.351654
yxguassian,instance,0.01,fci,anticausal,0:00:00.075065
yxguassian,instance,0.01,icd,anticausal,0:00:00.109695
yxguassian,instance,0.01,rai,causal,0:00:02.316897
yxguassian,instance,0.01,ci,causal,0:00:02.199434
yxguassian,instance,0.01,pc,anticausal,0:00:08.353919
yxguassian,instance,0.01,ges,anticausal,0:00:02.976770
yxguassian,instance,0.01,lingam,unkown,0:00:05.131100
yxguassian,instance,0.01,gies,anticausal,0:00:03.078930
yxguassian,instance,0.01,sam,unkown,0:14:49.436745
yxguassian,instance,0.01,ccdr,anticausal,0:00:03.741941
yxguassian,sym,0.01,fci,anticausal,0:00:00.035666
yxguassian,sym,0.01,icd,anticausal,0:00:00.039978
yxguassian,sym,0.01,rai,causal,0:00:02.241851
yxguassian,sym,0.01,ci,causal,0:00:02.132653
yxguassian,sym,0.01,pc,anticausal,0:00:08.265062
yxguassian,sym,0.01,ges,anticausal,0:00:03.038861
yxguassian,sym,0.01,lingam,unkown,0:00:04.765391
yxguassian,sym,0.01,gies,anticausal,0:00:02.985778
yxguassian,sym,0.01,sam,unkown,0:14:48.641574
yxguassian,sym,0.01,ccdr,anticausal,0:00:03.339233
yxguassian,pair,0.01,fci,anticausal,0:00:00.035031
yxguassian,pair,0.01,icd,anticausal,0:00:00.040155
yxguassian,pair,0.01,rai,causal,0:00:02.255113
yxguassian,pair,0.01,ci,causal,0:00:02.121183
yxguassian,pair,0.01,pc,anticausal,0:00:08.294095
yxguassian,pair,0.01,ges,anticausal,0:00:02.942620
yxguassian,pair,0.01,lingam,unkown,0:00:04.622007
yxguassian,pair,0.01,gies,anticausal,0:00:02.948810
yxguassian,instance,0.01,fci,anticausal,0:00:00.105153
yxguassian,instance,0.01,icd,anticausal,0:00:00.106339
yxguassian,instance,0.01,rai,causal,0:00:02.497947
yxguassian,instance,0.01,ci,causal,0:00:02.187439
yxguassian,instance,0.01,pc,anticausal,0:00:08.290999
yxguassian,instance,0.01,ges,anticausal,0:00:02.978758
yxguassian,instance,0.01,lingam,unkown,0:00:04.794081
yxguassian,instance,0.01,gies,anticausal,0:00:02.984116
yxguassian,instance,0.01,fci,anticausal,0:00:00.086209
yxguassian,instance,0.01,icd,anticausal,0:00:00.106891
yxguassian,instance,0.01,rai,causal,0:00:02.421392
yxguassian,instance,0.01,ci,causal,0:00:02.162424
yxguassian,instance,0.01,pc,anticausal,0:00:08.464245
yxguassian,instance,0.01,ges,anticausal,0:00:02.989562
yxguassian,instance,0.01,lingam,unkown,0:00:03.532816
yxguassian,instance,0.01,gies,anticausal,0:00:03.006193
yxguassian,instance,0.01,ccdr,anticausal,0:00:03.478586
yxguassian,sym,0.01,fci,anticausal,0:00:00.035439
yxguassian,sym,0.01,icd,anticausal,0:00:00.040337
yxguassian,sym,0.01,rai,causal,0:00:02.227878
yxguassian,sym,0.01,ci,causal,0:00:02.116856
yxguassian,sym,0.01,pc,anticausal,0:00:08.215720
yxguassian,sym,0.01,ges,anticausal,0:00:02.946523
yxguassian,sym,0.01,lingam,unkown,0:00:04.653482
yxguassian,sym,0.01,gies,anticausal,0:00:02.966282
yxguassian,sym,0.01,ccdr,anticausal,0:00:03.354462
yxguassian,pair,0.01,fci,anticausal,0:00:00.035734
yxguassian,pair,0.01,icd,anticausal,0:00:00.040108
yxguassian,pair,0.01,rai,causal,0:00:02.219394
yxguassian,pair,0.01,ci,causal,0:00:02.082360
yxguassian,pair,0.01,pc,anticausal,0:00:08.076980
yxguassian,pair,0.01,ges,anticausal,0:00:02.957598
yxguassian,pair,0.01,lingam,unkown,0:00:04.217849
yxguassian,pair,0.01,gies,anticausal,0:00:02.896083
yxguassian,pair,0.01,ccdr,anticausal,0:00:03.360267
yxguassian,instance,0.1,fci,anticausal,0:00:00.071618
yxguassian,instance,0.1,icd,anticausal,0:00:00.111652
yxguassian,instance,0.1,rai,causal,0:00:02.318714
yxguassian,instance,0.1,ci,causal,0:00:02.206622
yxguassian,instance,0.1,pc,anticausal,0:00:08.226309
yxguassian,instance,0.1,ges,anticausal,0:00:02.977186
yxguassian,instance,0.1,lingam,unkown,0:00:04.111271
yxguassian,instance,0.1,gies,anticausal,0:00:02.958812
yxguassian,instance,0.1,ccdr,anticausal,0:00:03.453460
yxguassian,sym,0.1,fci,anticausal,0:00:00.075013
yxguassian,sym,0.1,icd,anticausal,0:00:00.111354
yxguassian,sym,0.1,rai,causal,0:00:02.291683
yxguassian,sym,0.1,ci,causal,0:00:02.166117
yxguassian,sym,0.1,pc,anticausal,0:00:08.342599
yxguassian,sym,0.1,ges,anticausal,0:00:02.959393
yxguassian,sym,0.1,lingam,unkown,0:00:03.921623
yxguassian,sym,0.1,gies,anticausal,0:00:02.868203
yxguassian,sym,0.1,ccdr,anticausal,0:00:03.358460
yxguassian,pair,0.1,fci,anticausal,0:00:00.073812
yxguassian,pair,0.1,icd,anticausal,0:00:00.107018
yxguassian,pair,0.1,rai,causal,0:00:02.287150
yxguassian,pair,0.1,ci,causal,0:00:02.181986
yxguassian,pair,0.1,pc,anticausal,0:00:08.059671
yxguassian,pair,0.1,ges,anticausal,0:00:02.974201
yxguassian,pair,0.1,lingam,unkown,0:00:03.917279
yxguassian,pair,0.1,gies,anticausal,0:00:02.944863
yxguassian,pair,0.1,ccdr,anticausal,0:00:03.368260
yxguassian,instance,0.2,fci,anticausal,0:00:00.073253
