Dataset,Noise_Type,Noise_Rate,Method,Causality
krkp,sym,0.01,icd,anticausal
krkp,sym,0.01,rai,anticausal
krkp,sym,0.01,ci,anticausal
waveform,sym,0.01,fci,anticausal
waveform,sym,0.01,fci,anticausal
waveform,instance,0.01,fci,anticausal
waveform,pair,0.01,fci,anticausal
waveform,sym,0.1,fci,anticausal
waveform,instance,0.1,fci,anticausal
waveform,pair,0.1,fci,anticausal
waveform,sym,0.2,fci,anticausal
waveform,pair,0.2,fci,anticausal
waveform,sym,0.3,fci,anticausal
waveform,instance,0.3,fci,anticausal
waveform,pair,0.3,fci,anticausal
splice,sym,0.01,fci,anticausal
splice,instance,0.01,fci,anticausal
splice,pair,0.01,fci,anticausal
splice,sym,0.1,fci,anticausal
splice,instance,0.1,fci,anticausal
splice,pair,0.1,fci,anticausal
splice,sym,0.2,fci,anticausal
splice,instance,0.2,fci,anticausal
splice,pair,0.2,fci,anticausal
splice,sym,0.3,fci,anticausal
splice,instance,0.3,fci,anticausal
splice,pair,0.3,fci,anticausal
secstr,sym,0.01,fci,anticausal
secstr,instance,0.01,fci,anticausal
secstr,pair,0.01,fci,anticausal
secstr,sym,0.1,fci,anticausal
secstr,instance,0.1,fci,anticausal
secstr,pair,0.1,fci,anticausal
secstr,sym,0.2,fci,anticausal
secstr,instance,0.2,fci,anticausal
secstr,pair,0.2,fci,anticausal
secstr,sym,0.3,fci,anticausal
secstr,instance,0.3,fci,anticausal
secstr,pair,0.3,fci,anticausal
letter,sym,0.01,fci,anticausal
letter,instance,0.01,fci,anticausal
letter,pair,0.01,fci,anticausal
letter,sym,0.1,fci,anticausal
letter,instance,0.1,fci,anticausal
letter,pair,0.1,fci,anticausal
letter,sym,0.2,fci,anticausal
letter,instance,0.2,fci,anticausal
letter,pair,0.2,fci,anticausal
letter,sym,0.3,fci,anticausal
letter,instance,0.3,fci,anticausal
letter,pair,0.3,fci,anticausal
g241c,sym,0.01,fci,anticausal
g241c,sym,0.1,fci,anticausal
g241c,instance,0.1,fci,anticausal
g241c,pair,0.1,fci,anticausal
g241c,sym,0.2,fci,anticausal
g241c,instance,0.2,fci,anticausal
g241c,pair,0.2,fci,anticausal
g241c,sym,0.3,fci,anticausal
g241c,instance,0.3,fci,anticausal
g241c,pair,0.3,fci,anticausal
coil,sym,0.01,fci,anticausal
coil,instance,0.01,fci,anticausal
coil,pair,0.01,fci,anticausal
coil,sym,0.1,fci,anticausal
coil,instance,0.1,fci,anticausal
coil,pair,0.1,fci,anticausal
coil,sym,0.2,fci,anticausal
coil,instance,0.2,fci,anticausal
coil,pair,0.2,fci,anticausal
coil,sym,0.3,fci,anticausal
coil,instance,0.3,fci,unkown
coil,pair,0.3,fci,anticausal
digit1,sym,0.01,fci,anticausal
digit1,instance,0.01,fci,anticausal
digit1,pair,0.01,fci,anticausal
digit1,sym,0.1,fci,anticausal
digit1,instance,0.1,fci,anticausal
digit1,pair,0.1,fci,anticausal
digit1,sym,0.2,fci,anticausal
digit1,instance,0.2,fci,anticausal
digit1,pair,0.2,fci,anticausal
digit1,sym,0.3,fci,anticausal
digit1,instance,0.3,fci,anticausal
digit1,pair,0.3,fci,anticausal
wdbc,sym,0.01,fci,anticausal
wdbc,instance,0.01,fci,anticausal
wdbc,pair,0.01,fci,anticausal
wdbc,sym,0.1,fci,anticausal
wdbc,instance,0.1,fci,anticausal
wdbc,pair,0.1,fci,anticausal
wdbc,sym,0.2,fci,unkown
wdbc,instance,0.2,fci,unkown
wdbc,pair,0.2,fci,unkown
wdbc,sym,0.3,fci,unkown
wdbc,instance,0.3,fci,unkown
wdbc,pair,0.3,fci,unkown
usps,sym,0.01,fci,anticausal
usps,instance,0.01,fci,anticausal
usps,pair,0.01,fci,anticausal
usps,sym,0.1,fci,anticausal
usps,instance,0.1,fci,anticausal
usps,pair,0.1,fci,anticausal
usps,sym,0.2,fci,anticausal
usps,instance,0.2,fci,anticausal
usps,pair,0.2,fci,anticausal
usps,sym,0.3,fci,anticausal
usps,instance,0.3,fci,unkown
usps,pair,0.3,fci,anticausal
xyguassian,sym,0.01,fci,anticausal
xyguassian,instance,0.01,fci,anticausal
xyguassian,pair,0.01,fci,anticausal
xyguassian,sym,0.1,fci,anticausal
xyguassian,instance,0.1,fci,anticausal
xyguassian,pair,0.1,fci,anticausal
xyguassian,sym,0.2,fci,anticausal
xyguassian,instance,0.2,fci,anticausal
xyguassian,pair,0.2,fci,anticausal
xyguassian,sym,0.3,fci,anticausal
xyguassian,instance,0.3,fci,anticausal
xyguassian,pair,0.3,fci,anticausal
yxguassian,sym,0.01,fci,anticausal
yxguassian,instance,0.01,fci,anticausal
yxguassian,pair,0.01,fci,anticausal
yxguassian,sym,0.1,fci,anticausal
yxguassian,instance,0.1,fci,anticausal
yxguassian,pair,0.1,fci,anticausal
yxguassian,sym,0.2,fci,anticausal
yxguassian,instance,0.2,fci,anticausal
yxguassian,pair,0.2,fci,anticausal
yxguassian,sym,0.3,fci,anticausal
yxguassian,instance,0.3,fci,anticausal
yxguassian,pair,0.3,fci,anticausal
waveform,sym,0.01,fci,anticausal
waveform,instance,0.01,fci,anticausal
waveform,pair,0.01,fci,anticausal
waveform,sym,0.1,fci,anticausal
waveform,instance,0.1,fci,anticausal
waveform,pair,0.1,fci,anticausal
waveform,sym,0.2,fci,anticausal
waveform,instance,0.2,fci,anticausal
waveform,pair,0.2,fci,anticausal
waveform,sym,0.3,fci,anticausal
waveform,instance,0.3,fci,anticausal
waveform,pair,0.3,fci,anticausal
