Dataset,Noise_Type,Noise_Rate,Method,Causality
iris,instance,0.01,pc,anticausal
iris,instance,0.01,ges,anticausal
iris,instance,0.01,gies,anticausal
iris,instance,0.01,lingam,unkown
iris,pair,0.01,pc,anticausal
iris,pair,0.01,ges,anticausal
iris,pair,0.01,gies,anticausal
iris,pair,0.01,lingam,unkown
iris,sym,0.01,pc,anticausal
iris,sym,0.01,ges,anticausal
iris,sym,0.01,gies,anticausal
iris,sym,0.01,lingam,unkown
iris,instance,0.2,pc,anticausal
iris,instance,0.2,ges,causal
iris,instance,0.2,gies,causal
iris,instance,0.2,lingam,unkown
iris,pair,0.2,pc,unkown
iris,pair,0.2,ges,causal
iris,pair,0.2,gies,causal
iris,pair,0.2,lingam,unkown
iris,sym,0.2,pc,causal
iris,sym,0.2,ges,causal
iris,sym,0.2,gies,causal
iris,sym,0.2,lingam,unkown
iris,instance,0.4,pc,unkown
iris,instance,0.4,ges,causal
iris,instance,0.4,gies,causal
iris,instance,0.4,lingam,unkown
iris,pair,0.4,pc,anticausal
iris,pair,0.4,ges,causal
iris,pair,0.4,gies,causal
iris,pair,0.4,lingam,unkown
iris,sym,0.4,pc,unkown
iris,sym,0.4,ges,causal
iris,sym,0.4,gies,causal
iris,sym,0.4,lingam,unkown
krkp,instance,0.01,pc,anticausal
krkp,instance,0.01,ges,anticausal
krkp,instance,0.01,gies,anticausal
krkp,instance,0.01,lingam,unkown
krkp,pair,0.01,pc,causal
krkp,pair,0.01,ges,anticausal
krkp,pair,0.01,gies,anticausal
krkp,pair,0.01,lingam,unkown
krkp,sym,0.01,pc,causal
krkp,sym,0.01,ges,anticausal
krkp,sym,0.01,gies,anticausal
krkp,sym,0.01,lingam,unkown
krkp,instance,0.2,pc,anticausal
krkp,instance,0.2,ges,anticausal
krkp,instance,0.2,gies,anticausal
krkp,instance,0.2,lingam,unkown
krkp,pair,0.2,pc,anticausal
krkp,pair,0.2,ges,anticausal
krkp,pair,0.2,gies,anticausal
krkp,pair,0.2,lingam,unkown
krkp,sym,0.2,pc,anticausal
krkp,sym,0.2,ges,anticausal
krkp,sym,0.2,gies,anticausal
krkp,sym,0.2,lingam,unkown
krkp,instance,0.4,pc,anticausal
krkp,instance,0.4,ges,causal
krkp,instance,0.4,gies,causal
krkp,instance,0.4,lingam,unkown
krkp,pair,0.4,pc,anticausal
krkp,pair,0.4,ges,anticausal
krkp,pair,0.4,gies,anticausal
krkp,pair,0.4,lingam,unkown
krkp,sym,0.4,pc,anticausal
krkp,sym,0.4,ges,anticausal
krkp,sym,0.4,gies,anticausal
krkp,sym,0.4,lingam,unkown
mushroom,instance,0.01,pc,causal
mushroom,instance,0.01,ges,anticausal
mushroom,instance,0.01,gies,anticausal
mushroom,pair,0.01,pc,causal
mushroom,pair,0.01,ges,anticausal
mushroom,pair,0.01,gies,anticausal
mushroom,sym,0.01,pc,causal
mushroom,sym,0.01,ges,anticausal
mushroom,sym,0.01,gies,anticausal
mushroom,instance,0.2,pc,anticausal
mushroom,instance,0.2,ges,anticausal
mushroom,instance,0.2,gies,anticausal
mushroom,pair,0.2,pc,anticausal
mushroom,pair,0.2,ges,anticausal
mushroom,pair,0.2,gies,anticausal
mushroom,sym,0.2,pc,anticausal
mushroom,sym,0.2,ges,anticausal
mushroom,sym,0.2,gies,anticausal
mushroom,instance,0.4,pc,unkown
mushroom,instance,0.4,ges,anticausal
mushroom,instance,0.4,gies,anticausal
mushroom,pair,0.4,pc,anticausal
mushroom,pair,0.4,ges,anticausal
mushroom,pair,0.4,gies,anticausal
mushroom,sym,0.4,pc,anticausal
mushroom,sym,0.4,ges,anticausal
mushroom,sym,0.4,gies,anticausal
splice,instance,0.01,pc,anticausal
splice,instance,0.01,ges,anticausal
