Dataset,Noise_Type,Noise_Rate,Method,Causality
iris,instance,0.01,fci,anticausal
iris,instance,0.01,fci,anticausal
iris,sym,0.01,fci,anticausal
iris,pair,0.01,fci,anticausal
iris,instance,0.1,fci,unkown
iris,sym,0.1,fci,anticausal
iris,pair,0.1,fci,anticausal
iris,instance,0.2,fci,anticausal
iris,sym,0.2,fci,anticausal
iris,pair,0.2,fci,unkown
iris,instance,0.3,fci,unkown
iris,sym,0.3,fci,unkown
iris,pair,0.3,fci,unkown

letter,instance,0.01,fci,anticausal
letter,sym,0.01,fci,anticausal
letter,pair,0.01,fci,anticausal
letter,instance,0.1,fci,anticausal
letter,sym,0.1,fci,anticausal
letter,pair,0.1,fci,anticausal
letter,instance,0.2,fci,anticausal
letter,sym,0.2,fci,anticausal
letter,pair,0.2,fci,anticausal
letter,instance,0.3,fci,anticausal
letter,sym,0.3,fci,anticausal
letter,pair,0.3,fci,anticausal


pair0070,instance,0.01,fci,anticausal
pair0070,sym,0.01,fci,anticausal
pair0070,pair,0.01,fci,anticausal
pair0070,instance,0.1,fci,anticausal
pair0070,sym,0.1,fci,anticausal
pair0070,pair,0.1,fci,anticausal
pair0070,instance,0.2,fci,anticausal
pair0070,sym,0.2,fci,anticausal
pair0070,pair,0.2,fci,anticausal
pair0070,instance,0.3,fci,anticausal
pair0070,sym,0.3,fci,anticausal
pair0070,pair,0.3,fci,anticausal
pair0071,instance,0.01,fci,anticausal
pair0071,sym,0.01,fci,anticausal
pair0071,pair,0.01,fci,anticausal
pair0071,instance,0.1,fci,anticausal
pair0071,sym,0.1,fci,anticausal
pair0071,pair,0.1,fci,anticausal
pair0071,instance,0.2,fci,unkown
pair0071,sym,0.2,fci,anticausal
pair0071,pair,0.2,fci,anticausal
pair0071,instance,0.3,fci,unkown
pair0071,sym,0.3,fci,unkown
pair0071,pair,0.3,fci,unkown
pair0047,instance,0.01,fci,anticausal
pair0047,sym,0.01,fci,anticausal
