Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
splice,instance,0.1,fci,anticausal,0:01:04.506178
splice,instance,0.1,icd,anticausal,0:00:44.027119
splice,pair,0.1,fci,anticausal,0:00:40.633673
splice,pair,0.1,icd,anticausal,0:00:43.216878
splice,sym,0.1,fci,anticausal,0:00:55.741337
splice,sym,0.1,icd,anticausal,1:35:55.584023
splice,instance,0.2,fci,anticausal,0:00:41.093883
splice,instance,0.2,icd,anticausal,0:00:05.673935
splice,pair,0.2,fci,anticausal,0:00:40.316590
splice,pair,0.2,icd,anticausal,0:00:38.316092
splice,sym,0.2,fci,anticausal,0:00:38.150884
splice,sym,0.2,icd,anticausal,0:00:05.442259
splice,instance,0.3,fci,anticausal,0:00:38.404231
splice,instance,0.3,icd,anticausal,0:00:05.594091
splice,pair,0.3,fci,anticausal,0:00:40.329241
splice,pair,0.3,icd,anticausal,0:00:39.080140
splice,sym,0.3,fci,anticausal,0:00:38.910473
splice,sym,0.3,icd,anticausal,0:00:05.524122
