Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
xyguassian,sym,0.1,fci,anticausal,0:00:00.035887
xyguassian,sym,0.1,icd,anticausal,0:00:00.043867
xyguassian,sym,0.1,rai,causal,0:00:01.385520
xyguassian,sym,0.1,score,unkown,0:36:09.911941
xyguassian,sym,0.1,pc,causal,0:00:09.910095
xyguassian,sym,0.1,ges,causal,0:00:03.491388
xyguassian,sym,0.1,lingam,unkown,0:00:04.131538
xyguassian,sym,0.1,gies,causal,0:00:03.543570
xyguassian,sym,0.1,ccdr,causal,0:00:04.048743
xyguassian,pair,0.1,fci,anticausal,0:00:00.032087
xyguassian,pair,0.1,icd,anticausal,0:00:00.042964
xyguassian,pair,0.1,rai,causal,0:00:01.403707
xyguassian,pair,0.1,score,unkown,0:36:22.842557
xyguassian,pair,0.1,pc,causal,0:00:09.727955
xyguassian,pair,0.1,ges,causal,0:00:03.624301
xyguassian,pair,0.1,lingam,unkown,0:00:04.250334
xyguassian,pair,0.1,gies,causal,0:00:03.646917
xyguassian,pair,0.1,ccdr,causal,0:00:04.033940
xyguassian,sym,0.2,fci,anticausal,0:00:00.031361
xyguassian,sym,0.2,icd,anticausal,0:00:00.043362
xyguassian,sym,0.2,rai,causal,0:00:01.652819
xyguassian,sym,0.2,pc,anticausal,0:00:09.980442
xyguassian,sym,0.2,ges,causal,0:00:03.533122
xyguassian,sym,0.2,lingam,unkown,0:00:04.200470
xyguassian,sym,0.2,gies,causal,0:00:03.407704
xyguassian,sym,0.2,ccdr,causal,0:00:03.918897
xyguassian,pair,0.2,fci,anticausal,0:00:00.034169
xyguassian,pair,0.2,icd,anticausal,0:00:00.045189
xyguassian,pair,0.2,rai,causal,0:00:01.957456
xyguassian,pair,0.2,pc,anticausal,0:00:09.706625
xyguassian,pair,0.2,ges,causal,0:00:03.550335
xyguassian,pair,0.2,lingam,unkown,0:00:04.220111
xyguassian,pair,0.2,gies,causal,0:00:03.592250
xyguassian,pair,0.2,ccdr,causal,0:00:03.937967
xyguassian,sym,0.3,fci,anticausal,0:00:00.032250
xyguassian,sym,0.3,icd,anticausal,0:00:00.053703
xyguassian,sym,0.3,rai,causal,0:00:01.242886
xyguassian,sym,0.3,pc,anticausal,0:00:09.624722
xyguassian,sym,0.3,ges,anticausal,0:00:03.455842
xyguassian,sym,0.3,lingam,unkown,0:00:03.871053
xyguassian,sym,0.3,gies,anticausal,0:00:03.562788
xyguassian,sym,0.3,ccdr,causal,0:00:04.090173
xyguassian,pair,0.3,fci,anticausal,0:00:00.033461
xyguassian,pair,0.3,icd,anticausal,0:00:00.042686
xyguassian,pair,0.3,rai,causal,0:00:01.228455
xyguassian,pair,0.3,pc,anticausal,0:00:09.550821
xyguassian,pair,0.3,ges,anticausal,0:00:03.529721
xyguassian,pair,0.3,lingam,unkown,0:00:04.245430
xyguassian,pair,0.3,gies,anticausal,0:00:03.466602
xyguassian,pair,0.3,ccdr,causal,0:00:03.989625
