Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
letter,instance,0.1,fci,anticausal,0:00:12.393203
letter,instance,0.1,icd,anticausal,0:01:52.737148
letter,instance,0.1,ccdr,unkown,0:00:07.294039
letter,pair,0.1,icd,anticausal,0:02:00.634112
letter,pair,0.1,ccdr,anticausal,0:00:07.802910
letter,sym,0.1,icd,anticausal,0:01:51.415853
letter,sym,0.1,ccdr,anticausal,0:00:07.895812
letter,instance,0.2,icd,anticausal,0:01:59.391863
letter,instance,0.2,ccdr,causal,0:00:07.793703
letter,pair,0.2,icd,anticausal,0:00:38.293734
letter,pair,0.2,ccdr,anticausal,0:00:07.229709
letter,sym,0.2,icd,anticausal,0:02:00.394548
letter,sym,0.2,ccdr,unkown,0:00:07.148541
letter,instance,0.3,icd,anticausal,0:00:08.469476
letter,instance,0.3,ccdr,causal,0:00:08.039978
letter,pair,0.3,icd,anticausal,0:01:59.404742
letter,pair,0.3,ccdr,causal,0:00:07.148411
letter,sym,0.3,icd,anticausal,0:01:55.809535
letter,sym,0.3,ccdr,anticausal,0:00:08.280420
