dataset=mushroom, noise_type=sym, filp_rate=0.1, seed=fci, time=3601
dataset=mushroom, noise_type=sym, filp_rate=0.2, seed=fci, time=3600
dataset=mushroom, noise_type=sym, filp_rate=0.3, seed=fci, time=3600
dataset=mushroom, noise_type=instance, filp_rate=0.0, seed=fci, time=3600
dataset=mushroom, noise_type=instance, filp_rate=0.1, seed=fci, time=3600
dataset=mushroom, noise_type=instance, filp_rate=0.2, seed=fci, time=3600
dataset=mushroom, noise_type=instance, filp_rate=0.3, seed=fci, time=3601
dataset=mushroom, noise_type=pair, filp_rate=0.1, seed=fci, time=3600
dataset=mushroom, noise_type=pair, filp_rate=0.2, seed=fci, time=3600
dataset=xyguassian, noise_type=sym, filp_rate=0.1, seed=pc, time=25
dataset=xyguassian, noise_type=sym, filp_rate=0.2, seed=pc, time=27
dataset=xyguassian, noise_type=sym, filp_rate=0.3, seed=pc, time=28
dataset=xyguassian, noise_type=instance, filp_rate=0.0, seed=pc, time=24
dataset=xyguassian, noise_type=instance, filp_rate=0.1, seed=pc, time=30
dataset=xyguassian, noise_type=instance, filp_rate=0.2, seed=pc, time=28
dataset=xyguassian, noise_type=instance, filp_rate=0.3, seed=pc, time=28
dataset=xyguassian, noise_type=pair, filp_rate=0.1, seed=pc, time=23
dataset=xyguassian, noise_type=pair, filp_rate=0.1, seed=pc, time=24
dataset=xyguassian, noise_type=pair, filp_rate=0.2, seed=pc, time=24
dataset=xyguassian, noise_type=pair, filp_rate=0.3, seed=pc, time=28
dataset=yxguassian, noise_type=pair, filp_rate=0.1, seed=pc, time=25
dataset=yxguassian, noise_type=pair, filp_rate=0.2, seed=pc, time=14
dataset=yxguassian, noise_type=pair, filp_rate=0.3, seed=pc, time=15
dataset=krkp, noise_type=pair, filp_rate=0.1, seed=pc, time=44
dataset=krkp, noise_type=pair, filp_rate=0.2, seed=pc, time=42
dataset=krkp, noise_type=pair, filp_rate=0.3, seed=pc, time=49
dataset=splice, noise_type=pair, filp_rate=0.1, seed=pc, time=37
dataset=splice, noise_type=pair, filp_rate=0.2, seed=pc, time=29
dataset=splice, noise_type=pair, filp_rate=0.3, seed=pc, time=30
dataset=secstr, noise_type=pair, filp_rate=0.1, seed=pc, time=40
dataset=secstr, noise_type=pair, filp_rate=0.2, seed=pc, time=38
dataset=secstr, noise_type=pair, filp_rate=0.3, seed=pc, time=37
dataset=pair0070, noise_type=pair, filp_rate=0.1, seed=pc, time=14
dataset=pair0070, noise_type=pair, filp_rate=0.2, seed=pc, time=13
dataset=pair0070, noise_type=pair, filp_rate=0.3, seed=pc, time=14
dataset=pair0071, noise_type=pair, filp_rate=0.1, seed=pc, time=14
dataset=pair0071, noise_type=pair, filp_rate=0.2, seed=pc, time=13
