noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.5736,0.01740114938732494
instance,0.1,0.2,0.5843999999999999,0.01538830724933709
instance,0.1,0.3,0.6104,0.01856879102149628
instance,0.1,0.4,0.6252,0.02356268236003705
instance,0.1,0.5,0.6536,0.030607188698081968
instance,0.1,0.6,0.646,0.025179356624028364
instance,0.1,0.7000000000000001,0.6708000000000001,0.014042791745233586
instance,0.1,0.8,0.6952,0.01559487095169432
instance,0.1,0.9,0.694,0.02195449840010012
instance,0.2,0.1,0.5888,0.015205262246998565
instance,0.2,0.2,0.5908,0.012930583900195683
instance,0.2,0.3,0.608,0.019949937343260022
instance,0.2,0.4,0.6256,0.020415680248279777
instance,0.2,0.5,0.6412,0.015912259424732903
instance,0.2,0.6,0.6584000000000001,0.026206869328479522
instance,0.2,0.7000000000000001,0.664,0.015165750888103083
instance,0.2,0.8,0.6975999999999999,0.010620734437881411
instance,0.2,0.9,0.704,0.02029778313018442
instance,0.3,0.1,0.6092,0.0322676308395891
instance,0.3,0.2,0.6148,0.03556964998422114
instance,0.3,0.3,0.6315999999999999,0.021743964679883005
instance,0.3,0.4,0.6484,0.017572706109191046
instance,0.3,0.5,0.6588,0.022297981971469948
instance,0.3,0.6,0.6628000000000001,0.017922053453775903
instance,0.3,0.7000000000000001,0.6736000000000001,0.02070748656887169
instance,0.3,0.8,0.6944,0.01840652058374964
instance,0.3,0.9,0.6971999999999999,0.012853015210447644
instance,0.4,0.1,0.6108,0.027662248643232176
instance,0.4,0.2,0.6172,0.023941595602632686
instance,0.4,0.3,0.6152,0.028656587375331388
instance,0.4,0.4,0.626,0.013038404810405324
instance,0.4,0.5,0.6672,0.016099689437998492
instance,0.4,0.6,0.6636,0.020659138413786728
instance,0.4,0.7000000000000001,0.6688000000000001,0.013608820668963207
instance,0.4,0.8,0.6876,0.014791889669680428
instance,0.4,0.9,0.6896,0.019869574731231642
instance,0.5,0.1,0.6296,0.026773120849090448
instance,0.5,0.2,0.6264000000000001,0.016456001944579416
instance,0.5,0.3,0.636,0.026191601707417612
instance,0.5,0.4,0.6344000000000001,0.010526157893552613
instance,0.5,0.5,0.6624,0.03511125175780547
instance,0.5,0.6,0.6612,0.017753872816937695
instance,0.5,0.7000000000000001,0.6656000000000001,0.01991983935678198
instance,0.5,0.8,0.6799999999999999,0.02831960451701257
instance,0.5,0.9,0.6816000000000001,0.014310835055998634
instance,0.6,0.1,0.6275999999999999,0.024592681838303064
instance,0.6,0.2,0.6272,0.018033302526159766
instance,0.6,0.3,0.648,0.024454038521274993
instance,0.6,0.4,0.6532,0.02988645178002903
instance,0.6,0.5,0.638,0.01618641405623866
instance,0.6,0.6,0.6584000000000001,0.023807561823924763
instance,0.6,0.7000000000000001,0.672,0.01326649916142161
instance,0.6,0.8,0.6839999999999999,0.04144876355212541
