noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.239648,0.0011116294346588589
instance,0.1,0.2,0.322628,0.0021160151228193013
instance,0.1,0.3,0.404316,0.0010923735624776068
instance,0.1,0.4,0.487552,0.0007497466238670261
instance,0.1,0.5,0.57006,0.0003043024810940251
instance,0.1,0.6,0.65286,0.0015266302761310546
instance,0.1,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.1,0.8,0.816128,0.0018733179121548352
instance,0.1,0.9,0.9005839999999999,0.0019604795331754727
instance,0.2,0.1,0.239648,0.0011116294346588589
instance,0.2,0.2,0.322628,0.0021160151228193013
instance,0.2,0.3,0.404316,0.0010923735624776068
instance,0.2,0.4,0.487552,0.0007497466238670261
instance,0.2,0.5,0.57006,0.0003043024810940251
instance,0.2,0.6,0.65286,0.0015266302761310546
instance,0.2,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.2,0.8,0.816128,0.0018733179121548352
instance,0.2,0.9,0.9005839999999999,0.0019604795331754727
instance,0.3,0.1,0.239648,0.0011116294346588589
instance,0.3,0.2,0.322628,0.0021160151228193013
instance,0.3,0.3,0.404316,0.0010923735624776068
instance,0.3,0.4,0.487552,0.0007497466238670261
instance,0.3,0.5,0.57006,0.0003043024810940251
instance,0.3,0.6,0.65286,0.0015266302761310546
instance,0.3,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.3,0.8,0.816128,0.0018733179121548352
instance,0.3,0.9,0.9005839999999999,0.0019604795331754727
instance,0.4,0.1,0.239648,0.0011116294346588589
instance,0.4,0.2,0.322628,0.0021160151228193013
instance,0.4,0.3,0.404316,0.0010923735624776068
instance,0.4,0.4,0.487552,0.0007497466238670261
instance,0.4,0.5,0.57006,0.0003043024810940251
instance,0.4,0.6,0.65286,0.0015266302761310546
instance,0.4,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.4,0.8,0.816128,0.0018733179121548352
instance,0.4,0.9,0.9005839999999999,0.0019604795331754727
instance,0.5,0.1,0.239648,0.0011116294346588589
instance,0.5,0.2,0.322628,0.0021160151228193013
instance,0.5,0.3,0.404316,0.0010923735624776068
instance,0.5,0.4,0.487552,0.0007497466238670261
instance,0.5,0.5,0.57006,0.0003043024810940251
instance,0.5,0.6,0.65286,0.0015266302761310546
instance,0.5,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.5,0.8,0.816128,0.0018733179121548352
instance,0.5,0.9,0.9005839999999999,0.0019604795331754727
instance,0.6,0.1,0.239648,0.0011116294346588589
instance,0.6,0.2,0.322628,0.0021160151228193013
instance,0.6,0.3,0.404316,0.0010923735624776068
instance,0.6,0.4,0.487552,0.0007497466238670261
instance,0.6,0.5,0.57006,0.0003043024810940251
instance,0.6,0.6,0.65286,0.0015266302761310546
instance,0.6,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.6,0.8,0.816128,0.0018733179121548352
instance,0.6,0.9,0.9005839999999999,0.0019604795331754727
instance,0.7,0.1,0.239648,0.0011116294346588589
instance,0.7,0.2,0.322628,0.0021160151228193013
instance,0.7,0.3,0.404316,0.0010923735624776068
instance,0.7,0.4,0.487552,0.0007497466238670261
instance,0.7,0.5,0.57006,0.0003043024810940251
instance,0.7,0.6,0.65286,0.0015266302761310546
instance,0.7,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.7,0.8,0.816128,0.0018733179121548352
instance,0.7,0.9,0.9005839999999999,0.0019604795331754727
instance,0.8,0.1,0.239648,0.0011116294346588589
instance,0.8,0.2,0.322628,0.0021160151228193013
instance,0.8,0.3,0.404316,0.0010923735624776068
instance,0.8,0.4,0.487552,0.0007497466238670261
instance,0.8,0.5,0.57006,0.0003043024810940251
instance,0.8,0.6,0.65286,0.0015266302761310546
instance,0.8,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.8,0.8,0.816128,0.0018733179121548352
instance,0.8,0.9,0.9005839999999999,0.0019604795331754727
instance,0.9,0.1,0.239648,0.0011116294346588589
instance,0.9,0.2,0.322628,0.0021160151228193013
instance,0.9,0.3,0.404316,0.0010923735624776068
instance,0.9,0.4,0.487552,0.0007497466238670261
instance,0.9,0.5,0.57006,0.0003043024810940251
instance,0.9,0.6,0.65286,0.0015266302761310546
instance,0.9,0.7000000000000001,0.735684,0.0018726131474492782
instance,0.9,0.8,0.816128,0.0018733179121548352
instance,0.9,0.9,0.9005839999999999,0.0019604795331754727
pair,0.1,0.1,0.239648,0.0011116294346588589
pair,0.1,0.2,0.322628,0.0021160151228193013
pair,0.1,0.3,0.404316,0.0010923735624776068
pair,0.1,0.4,0.487552,0.0007497466238670261
pair,0.1,0.5,0.57006,0.0003043024810940251
pair,0.1,0.6,0.65286,0.0015266302761310546
pair,0.1,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.1,0.8,0.816128,0.0018733179121548352
pair,0.1,0.9,0.9005839999999999,0.0019604795331754727
pair,0.2,0.1,0.239648,0.0011116294346588589
pair,0.2,0.2,0.322628,0.0021160151228193013
pair,0.2,0.3,0.404316,0.0010923735624776068
pair,0.2,0.4,0.487552,0.0007497466238670261
pair,0.2,0.5,0.57006,0.0003043024810940251
pair,0.2,0.6,0.65286,0.0015266302761310546
pair,0.2,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.2,0.8,0.816128,0.0018733179121548352
pair,0.2,0.9,0.9005839999999999,0.0019604795331754727
pair,0.3,0.1,0.239648,0.0011116294346588589
pair,0.3,0.2,0.322628,0.0021160151228193013
pair,0.3,0.3,0.404316,0.0010923735624776068
pair,0.3,0.4,0.487552,0.0007497466238670261
pair,0.3,0.5,0.57006,0.0003043024810940251
pair,0.3,0.6,0.65286,0.0015266302761310546
pair,0.3,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.3,0.8,0.816128,0.0018733179121548352
pair,0.3,0.9,0.9005839999999999,0.0019604795331754727
pair,0.4,0.1,0.239648,0.0011116294346588589
pair,0.4,0.2,0.322628,0.0021160151228193013
pair,0.4,0.3,0.404316,0.0010923735624776068
pair,0.4,0.4,0.487552,0.0007497466238670261
pair,0.4,0.5,0.57006,0.0003043024810940251
pair,0.4,0.6,0.65286,0.0015266302761310546
pair,0.4,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.4,0.8,0.816128,0.0018733179121548352
pair,0.4,0.9,0.9005839999999999,0.0019604795331754727
pair,0.5,0.1,0.239648,0.0011116294346588589
pair,0.5,0.2,0.322628,0.0021160151228193013
pair,0.5,0.3,0.404316,0.0010923735624776068
pair,0.5,0.4,0.487552,0.0007497466238670261
pair,0.5,0.5,0.57006,0.0003043024810940251
pair,0.5,0.6,0.65286,0.0015266302761310546
pair,0.5,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.5,0.8,0.816128,0.0018733179121548352
pair,0.5,0.9,0.9005839999999999,0.0019604795331754727
pair,0.6,0.1,0.239648,0.0011116294346588589
pair,0.6,0.2,0.322628,0.0021160151228193013
pair,0.6,0.3,0.404316,0.0010923735624776068
pair,0.6,0.4,0.487552,0.0007497466238670261
pair,0.6,0.5,0.57006,0.0003043024810940251
pair,0.6,0.6,0.65286,0.0015266302761310546
pair,0.6,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.6,0.8,0.816128,0.0018733179121548352
pair,0.6,0.9,0.9005839999999999,0.0019604795331754727
pair,0.7,0.1,0.239648,0.0011116294346588589
pair,0.7,0.2,0.322628,0.0021160151228193013
pair,0.7,0.3,0.404316,0.0010923735624776068
pair,0.7,0.4,0.487552,0.0007497466238670261
pair,0.7,0.5,0.57006,0.0003043024810940251
pair,0.7,0.6,0.65286,0.0015266302761310546
pair,0.7,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.7,0.8,0.816128,0.0018733179121548352
pair,0.7,0.9,0.9005839999999999,0.0019604795331754727
pair,0.8,0.1,0.239648,0.0011116294346588589
pair,0.8,0.2,0.322628,0.0021160151228193013
pair,0.8,0.3,0.404316,0.0010923735624776068
pair,0.8,0.4,0.487552,0.0007497466238670261
pair,0.8,0.5,0.57006,0.0003043024810940251
pair,0.8,0.6,0.65286,0.0015266302761310546
pair,0.8,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.8,0.8,0.816128,0.0018733179121548352
pair,0.8,0.9,0.9005839999999999,0.0019604795331754727
pair,0.9,0.1,0.239648,0.0011116294346588589
pair,0.9,0.2,0.322628,0.0021160151228193013
pair,0.9,0.3,0.404316,0.0010923735624776068
pair,0.9,0.4,0.487552,0.0007497466238670261
pair,0.9,0.5,0.57006,0.0003043024810940251
pair,0.9,0.6,0.65286,0.0015266302761310546
pair,0.9,0.7000000000000001,0.735684,0.0018726131474492782
pair,0.9,0.8,0.816128,0.0018733179121548352
pair,0.9,0.9,0.9005839999999999,0.0019604795331754727
sym,0.1,0.1,0.239648,0.0011116294346588589
sym,0.1,0.2,0.322628,0.0021160151228193013
sym,0.1,0.3,0.404316,0.0010923735624776068
sym,0.1,0.4,0.487552,0.0007497466238670261
sym,0.1,0.5,0.57006,0.0003043024810940251
sym,0.1,0.6,0.65286,0.0015266302761310546
sym,0.1,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.1,0.8,0.816128,0.0018733179121548352
sym,0.1,0.9,0.9005839999999999,0.0019604795331754727
sym,0.2,0.1,0.239648,0.0011116294346588589
sym,0.2,0.2,0.322628,0.0021160151228193013
sym,0.2,0.3,0.404316,0.0010923735624776068
sym,0.2,0.4,0.487552,0.0007497466238670261
sym,0.2,0.5,0.57006,0.0003043024810940251
sym,0.2,0.6,0.65286,0.0015266302761310546
sym,0.2,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.2,0.8,0.816128,0.0018733179121548352
sym,0.2,0.9,0.9005839999999999,0.0019604795331754727
sym,0.3,0.1,0.239648,0.0011116294346588589
sym,0.3,0.2,0.322628,0.0021160151228193013
sym,0.3,0.3,0.404316,0.0010923735624776068
sym,0.3,0.4,0.487552,0.0007497466238670261
sym,0.3,0.5,0.57006,0.0003043024810940251
sym,0.3,0.6,0.65286,0.0015266302761310546
sym,0.3,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.3,0.8,0.816128,0.0018733179121548352
sym,0.3,0.9,0.9005839999999999,0.0019604795331754727
sym,0.4,0.1,0.239648,0.0011116294346588589
sym,0.4,0.2,0.322628,0.0021160151228193013
sym,0.4,0.3,0.404316,0.0010923735624776068
sym,0.4,0.4,0.487552,0.0007497466238670261
sym,0.4,0.5,0.57006,0.0003043024810940251
sym,0.4,0.6,0.65286,0.0015266302761310546
sym,0.4,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.4,0.8,0.816128,0.0018733179121548352
sym,0.4,0.9,0.9005839999999999,0.0019604795331754727
sym,0.5,0.1,0.239648,0.0011116294346588589
sym,0.5,0.2,0.322628,0.0021160151228193013
sym,0.5,0.3,0.404316,0.0010923735624776068
sym,0.5,0.4,0.487552,0.0007497466238670261
sym,0.5,0.5,0.57006,0.0003043024810940251
sym,0.5,0.6,0.65286,0.0015266302761310546
sym,0.5,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.5,0.8,0.816128,0.0018733179121548352
sym,0.5,0.9,0.9005839999999999,0.0019604795331754727
sym,0.6,0.1,0.239648,0.0011116294346588589
sym,0.6,0.2,0.322628,0.0021160151228193013
sym,0.6,0.3,0.404316,0.0010923735624776068
sym,0.6,0.4,0.487552,0.0007497466238670261
sym,0.6,0.5,0.57006,0.0003043024810940251
sym,0.6,0.6,0.65286,0.0015266302761310546
sym,0.6,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.6,0.8,0.816128,0.0018733179121548352
sym,0.6,0.9,0.9005839999999999,0.0019604795331754727
sym,0.7,0.1,0.239648,0.0011116294346588589
sym,0.7,0.2,0.322628,0.0021160151228193013
sym,0.7,0.3,0.404316,0.0010923735624776068
sym,0.7,0.4,0.487552,0.0007497466238670261
sym,0.7,0.5,0.57006,0.0003043024810940251
sym,0.7,0.6,0.65286,0.0015266302761310546
sym,0.7,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.7,0.8,0.816128,0.0018733179121548352
sym,0.7,0.9,0.9005839999999999,0.0019604795331754727
sym,0.8,0.1,0.239648,0.0011116294346588589
sym,0.8,0.2,0.322628,0.0021160151228193013
sym,0.8,0.3,0.404316,0.0010923735624776068
sym,0.8,0.4,0.487552,0.0007497466238670261
sym,0.8,0.5,0.57006,0.0003043024810940251
sym,0.8,0.6,0.65286,0.0015266302761310546
sym,0.8,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.8,0.8,0.816128,0.0018733179121548352
sym,0.8,0.9,0.9005839999999999,0.0019604795331754727
sym,0.9,0.1,0.239648,0.0011116294346588589
sym,0.9,0.2,0.322628,0.0021160151228193013
sym,0.9,0.3,0.404316,0.0010923735624776068
sym,0.9,0.4,0.487552,0.0007497466238670261
sym,0.9,0.5,0.57006,0.0003043024810940251
sym,0.9,0.6,0.65286,0.0015266302761310546
sym,0.9,0.7000000000000001,0.735684,0.0018726131474492782
sym,0.9,0.8,0.816128,0.0018733179121548352
sym,0.9,0.9,0.9005839999999999,0.0019604795331754727
