noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.478672,0.0012090988379780837
instance,0.1,0.2,0.531872,0.0017567356090203465
instance,0.1,0.3,0.5854440000000001,0.0006904201619304238
instance,0.1,0.4,0.637532,0.0013189844578310912
instance,0.1,0.5,0.688956,0.001021900190821009
instance,0.1,0.6,0.742008,0.0018376397906009834
instance,0.1,0.7000000000000001,0.794832,0.002530399177995439
instance,0.1,0.8,0.8476800000000001,0.0024642645961828282
instance,0.1,0.9,0.9005839999999999,0.0019604795331754727
instance,0.2,0.1,0.478672,0.0012090988379780837
instance,0.2,0.2,0.531872,0.0017567356090203465
instance,0.2,0.3,0.5854440000000001,0.0006904201619304238
instance,0.2,0.4,0.637532,0.0013189844578310912
instance,0.2,0.5,0.688956,0.001021900190821009
instance,0.2,0.6,0.742008,0.0018376397906009834
instance,0.2,0.7000000000000001,0.794832,0.002530399177995439
instance,0.2,0.8,0.8476800000000001,0.0024642645961828282
instance,0.2,0.9,0.9005839999999999,0.0019604795331754727
instance,0.3,0.1,0.478672,0.0012090988379780837
instance,0.3,0.2,0.531872,0.0017567356090203465
instance,0.3,0.3,0.5854440000000001,0.0006904201619304238
instance,0.3,0.4,0.637532,0.0013189844578310912
instance,0.3,0.5,0.688956,0.001021900190821009
instance,0.3,0.6,0.742008,0.0018376397906009834
instance,0.3,0.7000000000000001,0.794832,0.002530399177995439
instance,0.3,0.8,0.8476800000000001,0.0024642645961828282
instance,0.3,0.9,0.9005839999999999,0.0019604795331754727
instance,0.4,0.1,0.478672,0.0012090988379780837
instance,0.4,0.2,0.531872,0.0017567356090203465
instance,0.4,0.3,0.5854440000000001,0.0006904201619304238
instance,0.4,0.4,0.637532,0.0013189844578310912
instance,0.4,0.5,0.688956,0.001021900190821009
instance,0.4,0.6,0.742008,0.0018376397906009834
instance,0.4,0.7000000000000001,0.794832,0.002530399177995439
instance,0.4,0.8,0.8476800000000001,0.0024642645961828282
instance,0.4,0.9,0.9005839999999999,0.0019604795331754727
instance,0.5,0.1,0.478672,0.0012090988379780837
instance,0.5,0.2,0.531872,0.0017567356090203465
instance,0.5,0.3,0.5854440000000001,0.0006904201619304238
instance,0.5,0.4,0.637532,0.0013189844578310912
