noise_type,inital_noise,noisy_rate,mean,std
instance,0.3,0.1,0.39065,0.0012232129822724819
instance,0.3,0.15,0.40228,0.002628830538471419
instance,0.3,0.2,0.41389,0.002760298896858806
instance,0.3,0.25,0.42911,0.0028643061987154877
instance,0.3,0.3,0.44385,0.0023753947040439315
instance,0.3,0.3500000000000001,0.46201,0.0046042643277726504
instance,0.3,0.4000000000000001,0.4753,0.004260281680828155
instance,0.3,0.45,0.48818,0.0031797405554541544
instance,0.3,0.5000000000000001,0.50401,0.003658961601329064
pair,0.3,0.1,0.39489,0.005148592040548544
pair,0.3,0.15,0.40345,0.003703545598477209
pair,0.3,0.2,0.41728,0.002621688387280236
pair,0.3,0.25,0.42816,0.00567972270449887
pair,0.3,0.3,0.44469000000000003,0.004784532370044086
pair,0.3,0.3500000000000001,0.46175,0.002207374005464416
pair,0.3,0.4000000000000001,0.47407000000000005,0.0041337936571628695
pair,0.3,0.45,0.48654000000000003,0.0035901601635581555
pair,0.3,0.5000000000000001,0.50221,0.0026092144411681314
sym,0.3,0.1,0.39483999999999997,0.005195599099237741
sym,0.3,0.15,0.40338,0.0037514330595120327
sym,0.3,0.2,0.41723,0.002656736720113599
sym,0.3,0.25,0.42811000000000005,0.005735677815219416
sym,0.3,0.3,0.4446,0.004803774557574471
sym,0.3,0.3500000000000001,0.46172,0.002188778197990844
sym,0.3,0.4000000000000001,0.47400000000000003,0.00416143004266561
sym,0.3,0.45,0.48657000000000006,0.003559950842357225
sym,0.3,0.5000000000000001,0.50218,0.002621688387280286
