noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.5536000000000001,0.016637307474468347
instance,0.01,0.2,0.59,0.01140175425099139
instance,0.01,0.3,0.61,0.01720465053408527
instance,0.01,0.4,0.6264000000000001,0.023298068589477545
instance,0.01,0.5,0.63,0.02293468988235945
instance,0.01,0.6,0.6476,0.028684490582891686
instance,0.01,0.7000000000000001,0.6668000000000001,0.013311649033834954
instance,0.01,0.8,0.6900000000000001,0.009380831519646797
instance,0.01,0.9,0.7172,0.013311649033834997
instance,0.2,0.1,0.5875999999999999,0.011349008767288898
instance,0.2,0.2,0.6008,0.017355114519933327
instance,0.2,0.3,0.6123999999999999,0.0060663003552412385
instance,0.2,0.4,0.6172,0.031067668081141867
instance,0.2,0.5,0.628,0.037309516212355294
instance,0.2,0.6,0.6524,0.024388521890430365
instance,0.2,0.7000000000000001,0.6636,0.013957077057894323
instance,0.2,0.8,0.6736000000000001,0.015192103211866306
instance,0.2,0.9,0.6952,0.021522081683703342
instance,0.4,0.1,0.612,0.028913664589601963
instance,0.4,0.2,0.6104,0.028719331468542237
instance,0.4,0.3,0.6248,0.02726169473822201
instance,0.4,0.4,0.628,0.03246536616149587
instance,0.4,0.5,0.6328,0.020425474290698856
instance,0.4,0.6,0.642,0.014491376746189446
instance,0.4,0.7000000000000001,0.664,0.02976575213227442
instance,0.4,0.8,0.6891999999999999,0.008786353054595464
instance,0.4,0.9,0.674,0.016911534525287764
pair,0.01,0.1,0.5376000000000001,0.022378561169118995
pair,0.01,0.2,0.5516,0.03112555220393686
pair,0.01,0.3,0.5788,0.020327321515635013
pair,0.01,0.4,0.6024,0.012116104984688781
pair,0.01,0.5,0.6208,0.01786616914730188
pair,0.01,0.6,0.6424000000000001,0.03341855771872872
pair,0.01,0.7000000000000001,0.6752,0.014601369798755148
pair,0.01,0.8,0.7,0.011401754250991356
pair,0.01,0.9,0.724,0.021118712081942888
pair,0.2,0.1,0.5628,0.02625261891697662
pair,0.2,0.2,0.5751999999999999,0.009230384607371458
pair,0.2,0.3,0.596,0.018384776310850254
pair,0.2,0.4,0.6068,0.021052315787105244
pair,0.2,0.5,0.616,0.014212670403551907
pair,0.2,0.6,0.6708000000000001,0.03345444664017026
pair,0.2,0.7000000000000001,0.6696,0.021232051243344336
pair,0.2,0.8,0.6971999999999999,0.024600812994695926
pair,0.2,0.9,0.7003999999999999,0.011436782764396627
pair,0.4,0.1,0.5963999999999999,0.029031017894658836
pair,0.4,0.2,0.6096,0.02718087562975117
pair,0.4,0.3,0.626,0.022803508501982785
pair,0.4,0.4,0.6308,0.019575494885187478
pair,0.4,0.5,0.6488,0.0220272558436134
pair,0.4,0.6,0.6644,0.022378561169118964
pair,0.4,0.7000000000000001,0.6824,0.008173126696681032
pair,0.4,0.8,0.6799999999999999,0.016062378404208977
pair,0.4,0.9,0.7116,0.010899541274750972
sym,0.01,0.1,0.5332,0.018846750383023605
sym,0.01,0.2,0.5512,0.032637401857378276
sym,0.01,0.3,0.5848,0.02480322559668398
sym,0.01,0.4,0.6,0.02745906043549199
sym,0.01,0.5,0.6208,0.012853015210447719
sym,0.01,0.6,0.6372,0.02651791847034759
sym,0.01,0.7000000000000001,0.6764,0.013667479650615887
sym,0.01,0.8,0.7051999999999999,0.0030331501776206457
sym,0.01,0.9,0.7172,0.01814386948806679
sym,0.2,0.1,0.5684,0.026660832695172876
sym,0.2,0.2,0.5776,0.015126136320951241
sym,0.2,0.3,0.6048,0.029482198018465345
sym,0.2,0.4,0.624,0.009486832980505166
sym,0.2,0.5,0.6123999999999999,0.015388307249337069
sym,0.2,0.6,0.646,0.01772004514666938
sym,0.2,0.7000000000000001,0.6592,0.010256705123966477
sym,0.2,0.8,0.6923999999999999,0.01071447618878304
sym,0.2,0.9,0.7032,0.019110206696945995
sym,0.4,0.1,0.6115999999999999,0.03606660505231956
sym,0.4,0.2,0.6155999999999999,0.029779187362988967
sym,0.4,0.3,0.6268,0.03477355316903931
sym,0.4,0.4,0.642,0.02457641145488904
sym,0.4,0.5,0.6568,0.015205262246998596
sym,0.4,0.6,0.658,0.03426368339802359
sym,0.4,0.7000000000000001,0.664,0.014628738838327784
sym,0.4,0.8,0.6971999999999999,0.01063954886261627
sym,0.4,0.9,0.7003999999999999,0.01751570723664904
