noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.472,0.017446346322367905
instance,0.01,0.2,0.4845,0.02830635970943632
instance,0.01,0.3,0.49399999999999994,0.025161975280172243
instance,0.01,0.4,0.49499999999999994,0.018285923547909765
instance,0.01,0.5,0.491,0.028262165522125165
instance,0.01,0.6,0.505,0.01828592354790971
instance,0.01,0.7000000000000001,0.506,0.02516197528017228
instance,0.01,0.8,0.5155000000000001,0.02830635970943632
instance,0.01,0.9,0.528,0.01744634632236786
instance,0.2,0.1,0.48149999999999993,0.010839741694339398
instance,0.2,0.2,0.479,0.016163229875244597
instance,0.2,0.3,0.48650000000000004,0.02484954727957837
instance,0.2,0.4,0.4925,0.028504385627478444
instance,0.2,0.5,0.49399999999999994,0.02924038303442689
instance,0.2,0.6,0.5075,0.028504385627478424
instance,0.2,0.7000000000000001,0.5135,0.02484954727957836
instance,0.2,0.8,0.521,0.016163229875244645
instance,0.2,0.9,0.5185,0.010839741694339386
instance,0.4,0.1,0.4805,0.016526493881038405
instance,0.4,0.2,0.492,0.017712989583918346
instance,0.4,0.3,0.4995,0.029654257704417427
instance,0.4,0.4,0.5125,0.021578345627040082
instance,0.4,0.5,0.517,0.023210988776870365
instance,0.4,0.6,0.4875,0.02157834562704009
instance,0.4,0.7000000000000001,0.5005,0.029654257704417396
instance,0.4,0.8,0.508,0.01771298958391838
instance,0.4,0.9,0.5195000000000001,0.016526493881038443
pair,0.01,0.1,0.472,0.007984359711335647
pair,0.01,0.2,0.46749999999999997,0.01741048534648015
pair,0.01,0.3,0.483,0.01362442659343871
pair,0.01,0.4,0.491,0.009937303457175884
pair,0.01,0.5,0.4955,0.027805125426798534
pair,0.01,0.6,0.509,0.00993730345717588
pair,0.01,0.7000000000000001,0.517,0.013624426593438736
pair,0.01,0.8,0.5325,0.017410485346480167
pair,0.01,0.9,0.5279999999999999,0.00798435971133562
pair,0.2,0.1,0.47450000000000003,0.0162403817689117
pair,0.2,0.2,0.471,0.028537256350252043
pair,0.2,0.3,0.4875,0.02979093821953245
pair,0.2,0.4,0.49349999999999994,0.019332614929181213
pair,0.2,0.5,0.4955,0.027805125426798534
pair,0.2,0.6,0.5065,0.019332614929181223
pair,0.2,0.7000000000000001,0.5125,0.02979093821953247
pair,0.2,0.8,0.529,0.028537256350252
pair,0.2,0.9,0.5255,0.016240381768911752
pair,0.4,0.1,0.488,0.016336309252704528
pair,0.4,0.2,0.4915,0.023492019921667003
pair,0.4,0.3,0.487,0.03002082610455616
pair,0.4,0.4,0.48999999999999994,0.024173849507267156
pair,0.4,0.5,0.5165,0.02140385479300403
pair,0.4,0.6,0.51,0.024173849507267118
pair,0.4,0.7000000000000001,0.513,0.03002082610455611
pair,0.4,0.8,0.5085,0.023492019921667027
pair,0.4,0.9,0.512,0.016336309252704545
sym,0.01,0.1,0.472,0.007984359711335647
sym,0.01,0.2,0.46749999999999997,0.01741048534648015
sym,0.01,0.3,0.483,0.01362442659343871
sym,0.01,0.4,0.491,0.009937303457175884
sym,0.01,0.5,0.4955,0.027805125426798534
sym,0.01,0.6,0.509,0.00993730345717588
sym,0.01,0.7000000000000001,0.517,0.013624426593438736
sym,0.01,0.8,0.5325,0.017410485346480167
sym,0.01,0.9,0.5279999999999999,0.00798435971133562
sym,0.2,0.1,0.47450000000000003,0.0162403817689117
sym,0.2,0.2,0.471,0.028537256350252043
sym,0.2,0.3,0.4875,0.02979093821953245
sym,0.2,0.4,0.49349999999999994,0.019332614929181213
sym,0.2,0.5,0.4955,0.027805125426798534
sym,0.2,0.6,0.5065,0.019332614929181223
sym,0.2,0.7000000000000001,0.5125,0.02979093821953247
sym,0.2,0.8,0.529,0.028537256350252
sym,0.2,0.9,0.5255,0.016240381768911752
sym,0.4,0.1,0.488,0.016336309252704528
sym,0.4,0.2,0.4915,0.023492019921667003
sym,0.4,0.3,0.487,0.03002082610455616
sym,0.4,0.4,0.48999999999999994,0.024173849507267156
sym,0.4,0.5,0.5165,0.02140385479300403
sym,0.4,0.6,0.51,0.024173849507267118
sym,0.4,0.7000000000000001,0.513,0.03002082610455611
sym,0.4,0.8,0.5085,0.023492019921667027
sym,0.4,0.9,0.512,0.016336309252704545
