noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.6777333333333333,0.015787477456656776
instance,0.01,0.2,0.7077333333333333,0.02544973258973246
instance,0.01,0.3,0.7268,0.007504072968136104
instance,0.01,0.4,0.7472000000000001,0.014215797159810925
instance,0.01,0.5,0.7613333333333333,0.006683312551921209
instance,0.01,0.6,0.7889333333333333,0.010838204033264336
instance,0.01,0.7000000000000001,0.8034666666666667,0.009326187740860558
instance,0.01,0.8,0.8301333333333334,0.009757048734120338
instance,0.01,0.9,0.8454666666666666,0.008170407306588518
instance,0.2,0.1,0.7097333333333333,0.020404792465387997
instance,0.2,0.2,0.7348,0.01700588133558506
instance,0.2,0.3,0.7457333333333332,0.01192196851754499
instance,0.2,0.4,0.7562666666666666,0.01680343880149402
instance,0.2,0.5,0.7745333333333333,0.007399699693606209
instance,0.2,0.6,0.8004,0.006246776946731973
instance,0.2,0.7000000000000001,0.8141333333333334,0.004356349134054531
instance,0.2,0.8,0.8314666666666668,0.006572670690061988
instance,0.2,0.9,0.8453333333333333,0.008273115763993935
instance,0.4,0.1,0.7529333333333333,0.01702677629826363
instance,0.4,0.2,0.7657333333333334,0.011562391140628722
instance,0.4,0.3,0.7726666666666666,0.014039626459101793
instance,0.4,0.4,0.7901333333333334,0.009206278051175461
instance,0.4,0.5,0.79,0.008339997335464583
instance,0.4,0.6,0.8085333333333333,0.0052788887719544255
instance,0.4,0.7000000000000001,0.8214666666666666,0.010136841497999037
instance,0.4,0.8,0.8237333333333334,0.005112077203381567
instance,0.4,0.9,0.8371999999999999,0.0074595203897063495
pair,0.01,0.1,0.6854666666666667,0.020733226151920223
pair,0.01,0.2,0.7083999999999999,0.015104083333103478
pair,0.01,0.3,0.7277333333333333,0.01778013873211713
pair,0.01,0.4,0.7418666666666667,0.02270291219694564
pair,0.01,0.5,0.7642666666666666,0.013626771036782307
pair,0.01,0.6,0.7888,0.009836440187158955
pair,0.01,0.7000000000000001,0.8030666666666667,0.004071581729227407
pair,0.01,0.8,0.8256,0.010909730620974185
pair,0.01,0.9,0.8529333333333333,0.005880287218986608
pair,0.2,0.1,0.7124,0.012539714687521608
pair,0.2,0.2,0.7302666666666666,0.008976512562113275
pair,0.2,0.3,0.7446666666666666,0.01151810169544736
pair,0.2,0.4,0.7608,0.010114895506682733
pair,0.2,0.5,0.7765333333333333,0.003508719297850874
pair,0.2,0.6,0.7929333333333334,0.012759310326189299
pair,0.2,0.7000000000000001,0.8049333333333333,0.013404808424177066
pair,0.2,0.8,0.8270666666666667,0.00970223341985411
pair,0.2,0.9,0.8452,0.01311826546799877
pair,0.4,0.1,0.7390666666666666,0.017717536824037136
pair,0.4,0.2,0.7470666666666667,0.016657330718535566
pair,0.4,0.3,0.7668,0.017142539679600208
pair,0.4,0.4,0.7708,0.01028915286438424
pair,0.4,0.5,0.7902666666666667,0.015752248516746257
pair,0.4,0.6,0.8065333333333333,0.010866871163720012
pair,0.4,0.7000000000000001,0.8149333333333333,0.008648699324175895
pair,0.4,0.8,0.8308,0.00665665915539556
pair,0.4,0.9,0.8436,0.006228964600958966
sym,0.01,0.1,0.6844,0.024297233495926114
sym,0.01,0.2,0.7076,0.015496236102142152
sym,0.01,0.3,0.7256,0.01782382924314777
sym,0.01,0.4,0.7397333333333334,0.01764841824829261
sym,0.01,0.5,0.7638666666666667,0.015117318986292991
sym,0.01,0.6,0.7925333333333333,0.013092830947591979
sym,0.01,0.7000000000000001,0.8016,0.006139127697718081
sym,0.01,0.8,0.8261333333333333,0.011550853744300562
sym,0.01,0.9,0.8488,0.009060291876583715
sym,0.2,0.1,0.7237333333333333,0.016135537039576823
sym,0.2,0.2,0.7374666666666666,0.006207522318391888
sym,0.2,0.3,0.7513333333333334,0.006289320754704376
sym,0.2,0.4,0.7714666666666666,0.012939173938943
sym,0.2,0.5,0.7865333333333333,0.0042005290672061865
sym,0.2,0.6,0.7918666666666667,0.012870293098622315
sym,0.2,0.7000000000000001,0.8185333333333332,0.008451166914824355
sym,0.2,0.8,0.8242666666666667,0.0025647178748895
sym,0.2,0.9,0.8429333333333334,0.01154315574028367
sym,0.4,0.1,0.7457333333333332,0.008008328997570802
sym,0.4,0.2,0.7602666666666666,0.013052032621609377
sym,0.4,0.3,0.7730666666666667,0.008648699324175864
sym,0.4,0.4,0.7838666666666667,0.011019175206076972
sym,0.4,0.5,0.8021333333333333,0.007293833011524193
sym,0.4,0.6,0.8038666666666666,0.011492993034405293
sym,0.4,0.7000000000000001,0.8165333333333333,0.005605552802554129
sym,0.4,0.8,0.8236000000000001,0.010193679959225332
sym,0.4,0.9,0.8436,0.0039044134571589273
