noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.6725333333333333,0.020068770653818176
instance,0.01,0.2,0.6904,0.01610106966770984
instance,0.01,0.3,0.7172000000000001,0.015299963689136293
instance,0.01,0.4,0.7472,0.013915618723019281
instance,0.01,0.5,0.7732,0.015036252488199639
instance,0.01,0.6,0.7982666666666667,0.014232982040942005
instance,0.01,0.7000000000000001,0.8208,0.0187521850578658
instance,0.01,0.8,0.8433333333333334,0.022710741462527793
instance,0.01,0.9,0.8633333333333333,0.024198255217175398
instance,0.1,0.1,0.6725333333333333,0.020068770653818176
instance,0.1,0.2,0.6904,0.01610106966770984
instance,0.1,0.3,0.7172000000000001,0.015299963689136293
instance,0.1,0.4,0.7472,0.013915618723019281
instance,0.1,0.5,0.7732,0.015036252488199639
instance,0.1,0.6,0.7982666666666667,0.014232982040942005
instance,0.1,0.7000000000000001,0.8208,0.0187521850578658
instance,0.1,0.8,0.8433333333333334,0.022710741462527793
instance,0.1,0.9,0.8633333333333333,0.024198255217175398
instance,0.2,0.1,0.6726666666666666,0.020325134959234797
instance,0.2,0.2,0.6909333333333334,0.017065885398784446
instance,0.2,0.3,0.7178666666666667,0.016393765752735268
instance,0.2,0.4,0.7485333333333333,0.01607897177475397
instance,0.2,0.5,0.7746666666666666,0.016626618551119892
instance,0.2,0.6,0.8006666666666666,0.016302692347516638
instance,0.2,0.7000000000000001,0.8230666666666666,0.018912664774930348
instance,0.2,0.8,0.8454666666666666,0.023359033465544847
instance,0.2,0.9,0.866,0.024653149449467483
instance,0.3,0.1,0.6833333333333333,0.02759629604775888
instance,0.3,0.2,0.7012,0.026884113441874094
instance,0.3,0.3,0.7276,0.026619124286455718
instance,0.3,0.4,0.7572,0.02740397375888719
instance,0.3,0.5,0.7845333333333333,0.029365134277082892
instance,0.3,0.6,0.8121333333333334,0.03165227743254292
instance,0.3,0.7000000000000001,0.8350666666666667,0.03459479729670341
instance,0.3,0.8,0.8573333333333334,0.03806719205708653
instance,0.3,0.9,0.8758666666666667,0.03777535939971693
pair,0.01,0.1,0.6886666666666666,0.01784501175243228
pair,0.01,0.2,0.7061333333333333,0.01309283094759202
pair,0.01,0.3,0.7310666666666666,0.010919910459543304
pair,0.01,0.4,0.7584,0.008361286450726998
pair,0.01,0.5,0.7822666666666667,0.01228910990357815
pair,0.01,0.6,0.8048,0.015430129257037663
pair,0.01,0.7000000000000001,0.8262666666666666,0.02135727822858835
pair,0.01,0.8,0.8469333333333333,0.030238312710129115
pair,0.01,0.9,0.8666666666666668,0.0330386978489703
pair,0.1,0.1,0.6886666666666666,0.01784501175243228
pair,0.1,0.2,0.7061333333333333,0.01309283094759202
pair,0.1,0.3,0.7310666666666666,0.010919910459543304
pair,0.1,0.4,0.7584,0.008361286450726998
pair,0.1,0.5,0.7822666666666667,0.01228910990357815
pair,0.1,0.6,0.8048,0.015430129257037663
pair,0.1,0.7000000000000001,0.8262666666666666,0.02135727822858835
pair,0.1,0.8,0.8469333333333333,0.030238312710129115
pair,0.1,0.9,0.8666666666666668,0.0330386978489703
pair,0.2,0.1,0.6886666666666666,0.01784501175243228
pair,0.2,0.2,0.7061333333333333,0.01309283094759202
pair,0.2,0.3,0.7310666666666666,0.010919910459543304
pair,0.2,0.4,0.7584,0.008361286450726998
pair,0.2,0.5,0.7822666666666667,0.01228910990357815
pair,0.2,0.6,0.8048,0.015430129257037663
pair,0.2,0.7000000000000001,0.8262666666666666,0.02135727822858835
pair,0.2,0.8,0.8469333333333333,0.030238312710129115
pair,0.2,0.9,0.8666666666666668,0.0330386978489703
pair,0.3,0.1,0.6994666666666667,0.03271900568986372
pair,0.3,0.2,0.7157333333333333,0.025265699189920627
pair,0.3,0.3,0.7394666666666667,0.020074306408386217
pair,0.3,0.4,0.7649333333333332,0.01327152339911786
pair,0.3,0.5,0.7873333333333333,0.006616477747093034
pair,0.3,0.6,0.8081333333333334,0.00989275829415979
