dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
breastcancer,instance,0.0,-0.009090909199999995,0.02730960735587859,-0.12483382835856999,0.1,0.0052,breastcancer_instance_0.0
breastcancer,instance,0.1,-0.003496503533333303,0.024737875830224625,-0.05334622633597173,0.1,0.0023,breastcancer_instance_0.1
breastcancer,instance,0.2,0.03892773853333328,0.018437525975100243,0.6237454259424443,0.1,0.0053,breastcancer_instance_0.2
breastcancer,instance,0.3,0.05664335600000011,0.007579470780790435,0.9426680357901436,0.1,0.0002,breastcancer_instance_0.3
breastcancer,sym,0.0,0.0048951048666667895,0.02426647997448458,0.07602344390213273,0.1,0.0022,breastcancer_sym_0.0
breastcancer,sym,0.1,0.013286713199999975,0.013388946388732014,0.3511878560487886,0.1,0.0001,breastcancer_sym_0.1
breastcancer,sym,0.2,0.008624708733333384,0.006915431508544238,0.4263872864150718,0.1,0.0000,breastcancer_sym_0.2
breastcancer,sym,0.3,0.016083915933333432,0.006656925600065151,0.6743350769999654,0.1,0.0000,breastcancer_sym_0.3
breastcancer,pair,0.0,0.013403263166666715,0.02014717932143106,0.24385659944173538,0.1,0.0013,breastcancer_pair_0.0
breastcancer,pair,0.1,0.013286713199999975,0.013388946388732014,0.3511878560487886,0.1,0.0001,breastcancer_pair_0.1
breastcancer,pair,0.2,0.008624708733333384,0.006915431508544238,0.4263872864150718,0.1,0.0000,breastcancer_pair_0.2
breastcancer,pair,0.3,0.016083915933333432,0.006656925600065151,0.6743350769999654,0.1,0.0000,breastcancer_pair_0.3
wdbc,instance,0.0,0.5415348565999999,0.0037808665821982314,0.9998294362270802,0.1,1.0000,wdbc_instance_0.0
wdbc,instance,0.1,0.4829525484666665,0.004901214136787708,0.9996397269892429,0.1,1.0000,wdbc_instance_0.1
wdbc,instance,0.2,0.39554774439999996,0.00538326167688177,0.9993523518378584,0.1,1.0000,wdbc_instance_0.2
wdbc,instance,0.3,0.2610427654,0.008868908632818334,0.9959842845394881,0.1,1.0000,wdbc_instance_0.3
wdbc,sym,0.0,0.6758055063333334,0.004518131979289669,0.9998435986409303,0.1,1.0000,wdbc_sym_0.0
wdbc,sym,0.1,0.5403632100666667,0.006431005288280524,0.9995046280258719,0.1,1.0000,wdbc_sym_0.1
wdbc,sym,0.2,0.38031634440000006,0.00630598408554659,0.9990391457541473,0.1,1.0000,wdbc_sym_0.2
wdbc,sym,0.3,0.2647920331333333,0.006893726229911939,0.9976361265239765,0.1,1.0000,wdbc_sym_0.3
wdbc,pair,0.0,0.6758055063333334,0.004518131979289669,0.9998435986409303,0.1,1.0000,wdbc_pair_0.0
wdbc,pair,0.1,0.5403632100666667,0.006431005288280524,0.9995046280258719,0.1,1.0000,wdbc_pair_0.1
wdbc,pair,0.2,0.38031634440000006,0.00630598408554659,0.9990391457541473,0.1,1.0000,wdbc_pair_0.2
wdbc,pair,0.3,0.2647920331333333,0.006893726229911939,0.9976361265239765,0.1,1.0000,wdbc_pair_0.3
iris,instance,0.0,0.8004444445666666,0.023348596609620777,0.9970352198792418,0.1,1.0000,iris_instance_0.0
iris,instance,0.1,0.7337777776666667,0.0238113297658508,0.9963346676125439,0.1,1.0000,iris_instance_0.1
iris,instance,0.2,0.6264444443333332,0.02245156791556287,0.9955344023296736,0.1,1.0000,iris_instance_0.2
iris,instance,0.3,0.5284444444,0.019418228780519513,0.9953072958115652,0.1,1.0000,iris_instance_0.3
iris,sym,0.0,0.8888888890333337,0.018394079271325393,0.9985046109809317,0.1,1.0000,iris_sym_0.0
iris,sym,0.1,0.7571111109333333,0.017538937975177655,0.9981270166569255,0.1,1.0000,iris_sym_0.1
iris,sym,0.2,0.6375555555,0.015770025623646267,0.9978654589547625,0.1,1.0000,iris_sym_0.2
iris,sym,0.3,0.5244444442333334,0.018473172072996973,0.9956854624612396,0.1,1.0000,iris_sym_0.3
iris,pair,0.0,0.9255555553888889,0.03155526143507721,0.9959564181675317,0.1,1.0000,iris_pair_0.0
iris,pair,0.1,0.7351111107999998,0.018734068381721022,0.997734581040067,0.1,1.0000,iris_pair_0.1
iris,pair,0.2,0.6075555557666666,0.009958408455342564,0.9990610036907928,0.1,1.0000,iris_pair_0.2
iris,pair,0.3,0.5159999998666667,0.01511142225988436,0.997011665578172,0.1,1.0000,iris_pair_0.3
letter,instance,0.0,0.20375333333333337,0.00077109212729914,0.999949876835229,0.1,1.0000,letter_instance_0.0
