,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
0,krkp,instance,0.0,0.008789775691184153,0.0017357481977879326,0.8863205326526353,0.1,0.0000,krkp_instance_0.0
1,krkp,instance,0.1,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.1
2,krkp,instance,0.2,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.2
3,krkp,instance,0.3,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.3
4,krkp,sym,0.0,0.010354720918101244,0.0011827546093325513,0.9572427264453943,0.1,0.0000,krkp_sym_0.0
5,krkp,sym,0.1,0.011371935315597267,0.0016435177470295298,0.9340450857054114,0.1,0.0000,krkp_sym_0.1
6,krkp,sym,0.2,0.009806990088680289,0.0020993011713643112,0.8701388291644879,0.1,0.0000,krkp_sym_0.2
7,krkp,sym,0.3,0.012780386019822544,0.0021418310266494633,0.9141674373263775,0.1,0.0000,krkp_sym_0.3
8,krkp,pair,0.0,0.010354720918101244,0.0011827546093325513,0.9572427264453943,0.1,0.0000,krkp_pair_0.0
9,krkp,pair,0.1,0.011371935315597267,0.0016435177470295298,0.9340450857054114,0.1,0.0000,krkp_pair_0.1
10,krkp,pair,0.2,0.009806990088680289,0.0020993011713643112,0.8701388291644879,0.1,0.0000,krkp_pair_0.2
11,krkp,pair,0.3,0.012780386019822544,0.0021418310266494633,0.9141674373263775,0.1,0.0000,krkp_pair_0.3
12,waveform,instance,0.0,0.28348680293384404,0.006642514178103495,0.998083902037949,0.1,1.0000,waveform_instance_0.0
13,waveform,instance,0.1,0.28348680293384404,0.006642514178103495,0.998083902037949,0.1,1.0000,waveform_instance_0.1
14,waveform,instance,0.2,0.275776281847558,0.010952033963204313,0.9945252302852805,0.1,1.0000,waveform_instance_0.2
15,waveform,instance,0.3,0.27546862152312374,0.010781012804823967,0.9946817642281655,0.1,1.0000,waveform_instance_0.3
16,waveform,sym,0.0,0.2355144592984955,0.007508871077354269,0.996461069687938,0.1,1.0000,waveform_sym_0.0
17,waveform,sym,0.1,0.24129823856909527,0.005353178150858987,0.9982818434486999,0.1,1.0000,waveform_sym_0.1
18,waveform,sym,0.2,0.23571917021926642,0.007427312114190879,0.9965431138725606,0.1,1.0000,waveform_sym_0.2
19,waveform,sym,0.3,0.2357191702192664,0.007476721972559338,0.9964972095111413,0.1,1.0000,waveform_sym_0.3
20,waveform,pair,0.0,0.23579779263182876,0.00750813725258188,0.996470210706103,0.1,1.0000,waveform_pair_0.0
21,waveform,pair,0.1,0.19502248930970786,0.008953226332784264,0.9927040049620579,0.1,1.0000,waveform_pair_0.1
22,waveform,pair,0.2,0.1947080225932487,0.00896355430881883,0.9926639665457657,0.1,1.0000,waveform_pair_0.2
23,waveform,pair,0.3,0.1948828916542066,0.009052657160474783,0.992532303039184,0.1,1.0000,waveform_pair_0.3
24,splice,instance,0.0,0.04174724693299597,0.006939533317702189,0.9153837990333538,0.1,0.0000,splice_instance_0.0
25,splice,instance,0.1,0.00866730714572829,0.004543733271244543,0.5848273587907192,0.1,0.0000,splice_instance_0.1
26,splice,instance,0.2,0.05532882471984212,0.005688868529420302,0.9649333901676647,0.1,0.0000,splice_instance_0.2
27,splice,instance,0.3,0.050087372106367975,0.005176123789274596,0.9645947501165181,0.1,0.0000,splice_instance_0.3
28,splice,sym,0.0,0.047512657197974935,0.004090279117765017,0.9750283940342093,0.1,0.0000,splice_sym_0.0
29,splice,sym,0.1,0.02845570839964684,0.004326966992893019,0.9277351571175747,0.1,0.0000,splice_sym_0.1
30,splice,sym,0.2,0.06704624450803265,0.0078044589815283155,0.955702674613249,0.1,0.0015,splice_sym_0.2
31,splice,sym,0.3,0.03588778781448481,0.004776334618808943,0.9432316456895197,0.1,0.0000,splice_sym_0.3
32,splice,pair,0.0,0.06934509508274525,0.007168775957836766,0.9645711284863104,0.1,0.0014,splice_pair_0.0
33,splice,pair,0.1,0.046343527684626164,0.007638034713351759,0.9166429551369237,0.1,0.0001,splice_pair_0.1
34,splice,pair,0.2,0.057550424236350387,0.007299224071566743,0.9480465528447128,0.1,0.0002,splice_pair_0.2
35,splice,pair,0.3,0.05544406941116428,0.006956146735309017,0.9490786015752781,0.1,0.0001,splice_pair_0.3
36,iris,instance,0.0,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_instance_0.0
37,iris,instance,0.1,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_instance_0.1
38,iris,instance,0.2,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_instance_0.2
39,iris,instance,0.3,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_instance_0.3
40,iris,sym,0.0,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_sym_0.0
41,iris,sym,0.1,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_sym_0.1
42,iris,sym,0.2,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_sym_0.2
43,iris,sym,0.3,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_sym_0.3
44,iris,pair,0.0,0.5052339181286549,0.06403219625439757,0.9481177072008913,0.1,0.9999,iris_pair_0.0
45,iris,pair,0.1,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_pair_0.1
46,iris,pair,0.2,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_pair_0.2
47,iris,pair,0.3,0.6623863826232247,0.031030880200901716,0.9924061077498145,0.1,1.0000,iris_pair_0.3
48,secstr,instance,0.0,0.03917151654935332,0.0012500620904888704,0.996454512366611,0.1,0.0000,secstr_instance_0.0
49,secstr,instance,0.1,0.03917151654935332,0.0012500620904888704,0.996454512366611,0.1,0.0000,secstr_instance_0.1
50,secstr,instance,0.2,0.03914681899480969,0.001249961406166817,0.99645062987658,0.1,0.0000,secstr_instance_0.2
51,secstr,instance,0.3,0.03917151654935332,0.0012500620904888704,0.996454512366611,0.1,0.0000,secstr_instance_0.3
52,secstr,sym,0.0,0.040185709676263004,0.0012425670370535538,0.9966704069388748,0.1,0.0000,secstr_sym_0.0
53,secstr,sym,0.1,0.040185709676263004,0.0012425670370535538,0.9966704069388748,0.1,0.0000,secstr_sym_0.1
54,secstr,sym,0.2,0.040185709676263004,0.0012425670370535538,0.9966704069388748,0.1,0.0000,secstr_sym_0.2
55,secstr,sym,0.3,0.040185709676263004,0.0012425670370535538,0.9966704069388748,0.1,0.0000,secstr_sym_0.3
56,secstr,pair,0.0,0.040185709676263004,0.0012425670370535538,0.9966704069388748,0.1,0.0000,secstr_pair_0.0
