,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
0,breastcancer,instance,0.0,0.07470862470862467,0.005490122605676708,0.9816182894023727,0.1,0.0009,breastcancer_instance_0.0
1,breastcancer,instance,0.1,0.07470862470862467,0.005490122605676708,0.9816182894023727,0.1,0.0009,breastcancer_instance_0.1
2,breastcancer,instance,0.2,0.07470862470862467,0.005490122605676708,0.9816182894023727,0.1,0.0009,breastcancer_instance_0.2
3,breastcancer,instance,0.3,0.027855477855477997,0.006916600756237426,0.8357801461109841,0.1,0.0000,breastcancer_instance_0.3
4,breastcancer,sym,0.0,0.07470862470862467,0.005490122605676708,0.9816182894023727,0.1,0.0009,breastcancer_sym_0.0
5,breastcancer,sym,0.1,0.03717948717948718,0.00901204870029354,0.8417697248136508,0.1,0.0001,breastcancer_sym_0.1
6,breastcancer,sym,0.2,0.016666666666666698,0.01317173475938228,0.43144895132193395,0.1,0.0001,breastcancer_sym_0.2
7,breastcancer,sym,0.3,0.016666666666666698,0.01317173475938228,0.43144895132193395,0.1,0.0001,breastcancer_sym_0.3
8,breastcancer,pair,0.0,0.08187645687645696,0.006202876124583756,0.9804977367073887,0.1,0.0096,breastcancer_pair_0.0
9,breastcancer,pair,0.1,0.03717948717948718,0.00901204870029354,0.8417697248136508,0.1,0.0001,breastcancer_pair_0.1
10,breastcancer,pair,0.2,0.016666666666666698,0.01317173475938228,0.43144895132193395,0.1,0.0001,breastcancer_pair_0.2
11,breastcancer,pair,0.3,0.016666666666666698,0.01317173475938228,0.43144895132193395,0.1,0.0001,breastcancer_pair_0.3
12,wdbc,instance,0.0,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_instance_0.0
13,wdbc,instance,0.1,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_instance_0.1
14,wdbc,instance,0.2,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_instance_0.2
15,wdbc,instance,0.3,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_instance_0.3
16,wdbc,sym,0.0,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_sym_0.0
17,wdbc,sym,0.1,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_sym_0.1
18,wdbc,sym,0.2,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_sym_0.2
19,wdbc,sym,0.3,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_sym_0.3
20,wdbc,pair,0.0,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_pair_0.0
21,wdbc,pair,0.1,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_pair_0.1
22,wdbc,pair,0.2,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_pair_0.2
23,wdbc,pair,0.3,0.6809021675454013,0.012106738132221864,0.9988953293488316,0.1,1.0000,wdbc_pair_0.3
24,iris,instance,0.0,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_instance_0.0
25,iris,instance,0.1,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_instance_0.1
26,iris,instance,0.2,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_instance_0.2
27,iris,instance,0.3,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_instance_0.3
28,iris,sym,0.0,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_sym_0.0
29,iris,sym,0.1,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_sym_0.1
30,iris,sym,0.2,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_sym_0.2
31,iris,sym,0.3,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_sym_0.3
32,iris,pair,0.0,0.8444444444444442,0.01893361927178392,0.9982451145186751,0.1,1.0000,iris_pair_0.0
33,iris,pair,0.1,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_pair_0.1
34,iris,pair,0.2,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_pair_0.2
35,iris,pair,0.3,0.8477777777777777,0.014747333082269085,0.998942594165408,0.1,1.0000,iris_pair_0.3
36,letter,instance,0.0,0.21628166666666665,0.0024432131729476125,0.9995536654408403,0.1,1.0000,letter_instance_0.0
37,letter,instance,0.1,0.21477333333333334,0.0024447869168464243,0.9995467956803996,0.1,1.0000,letter_instance_0.1
38,letter,instance,0.2,0.216765,0.0023931084089827697,0.9995736790475955,0.1,1.0000,letter_instance_0.2
39,letter,instance,0.3,0.21188500000000005,0.0023845744631631437,0.9995570030511812,0.1,1.0000,letter_instance_0.3
40,letter,sym,0.0,0.22100833333333333,0.0024564472183436037,0.9995679002049246,0.1,1.0000,letter_sym_0.0
41,letter,sym,0.1,0.21646999999999994,0.00244339158422541,0.9995543761935021,0.1,1.0000,letter_sym_0.1
42,letter,sym,0.2,0.21984500000000004,0.0024593137135793257,0.9995622990267539,0.1,1.0000,letter_sym_0.2
43,letter,sym,0.3,0.2206316666666667,0.0024498309249513257,0.9995687554925177,0.1,1.0000,letter_sym_0.3
44,letter,pair,0.0,0.22100833333333333,0.0024564472183436037,0.9995679002049246,0.1,1.0000,letter_pair_0.0
45,letter,pair,0.1,0.21738833333333332,0.0025623343410131265,0.9995140959209767,0.1,1.0000,letter_pair_0.1
46,letter,pair,0.2,0.21914999999999998,0.002331696137644549,0.9996040220664967,0.1,1.0000,letter_pair_0.2
47,letter,pair,0.3,0.20639333333333326,0.002422283893200632,0.9995182598062524,0.1,1.0000,letter_pair_0.3
48,mushroom,instance,0.0,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_instance_0.0
49,mushroom,instance,0.1,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_instance_0.1
50,mushroom,instance,0.2,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_instance_0.2
51,mushroom,instance,0.3,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_instance_0.3
52,mushroom,sym,0.0,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_sym_0.0
53,mushroom,sym,0.1,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_sym_0.1
54,mushroom,sym,0.2,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_sym_0.2
55,mushroom,sym,0.3,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_sym_0.3
56,mushroom,pair,0.0,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_pair_0.0
57,mushroom,pair,0.1,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_pair_0.1
58,mushroom,pair,0.2,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_pair_0.2
59,mushroom,pair,0.3,0.6559827545476022,0.007900237054537561,0.9994927373384848,0.1,1.0000,mushroom_pair_0.3
60,segment,instance,0.0,0.4455555555555554,0.009494348486400031,0.9984145196998526,0.1,1.0000,segment_instance_0.0
61,segment,instance,0.1,0.4455555555555554,0.009494348486400031,0.9984145196998526,0.1,1.0000,segment_instance_0.1
62,segment,instance,0.2,0.4376190476190475,0.01232895062167097,0.9972335505256367,0.1,1.0000,segment_instance_0.2
63,segment,instance,0.3,0.43682539682539673,0.012460353568126685,0.9971642845433627,0.1,1.0000,segment_instance_0.3
64,segment,sym,0.0,0.49396825396825395,0.011138504187735683,0.9982251310603902,0.1,1.0000,segment_sym_0.0
65,segment,sym,0.1,0.47761904761904767,0.009995679878835059,0.9984705608061213,0.1,1.0000,segment_sym_0.1
66,segment,sym,0.2,0.4573015873015871,0.01132803050120825,0.9978592049168719,0.1,1.0000,segment_sym_0.2
67,segment,sym,0.3,0.48158730158730156,0.010624931850828441,0.9983007306538527,0.1,1.0000,segment_sym_0.3
68,segment,pair,0.0,0.4922619047619046,0.013506852971936125,0.9973753493599632,0.1,1.0000,segment_pair_0.0
69,segment,pair,0.1,0.48444444444444434,0.0125982443791534,0.9976413608220341,0.1,1.0000,segment_pair_0.1
70,segment,pair,0.2,0.4658730158730159,0.009307508453600594,0.9986059097080205,0.1,1.0000,segment_pair_0.2
71,segment,pair,0.3,0.43984126984126976,0.01114221970599815,0.9977614883440437,0.1,1.0000,segment_pair_0.3
72,sonar,instance,0.0,0.09791666666666654,0.010035892994403139,0.9651433038220983,0.1,0.4204,sonar_instance_0.0
73,sonar,instance,0.1,0.09791666666666654,0.010035892994403139,0.9651433038220983,0.1,0.4204,sonar_instance_0.1
74,sonar,instance,0.2,0.035737179487179534,0.010322790096776698,0.7945390585140548,0.1,0.0001,sonar_instance_0.2
75,sonar,instance,0.3,0.09182692307692311,0.006632757079030415,0.982224778148867,0.1,0.1264,sonar_instance_0.3
76,sonar,sym,0.0,0.09407051282051286,0.009623838875917532,0.9652655766164224,0.1,0.2775,sonar_sym_0.0
77,sonar,sym,0.1,0.09407051282051286,0.009623838875917532,0.9652655766164224,0.1,0.2775,sonar_sym_0.1
78,sonar,sym,0.2,-0.03477564102564109,0.0067678241880935654,-0.8890655521126928,0.1,0.0000,sonar_sym_0.2
79,sonar,sym,0.3,-0.08798076923076921,0.006274996194114734,-0.9826577174492334,0.1,0.0459,sonar_sym_0.3
80,sonar,pair,0.0,0.11378205128205134,0.00914103944791896,0.9781479582519725,0.1,0.9150,sonar_pair_0.0
81,sonar,pair,0.1,0.09407051282051286,0.009623838875917532,0.9652655766164224,0.1,0.2775,sonar_pair_0.1
82,sonar,pair,0.2,-0.03477564102564109,0.0067678241880935654,-0.8890655521126928,0.1,0.0000,sonar_pair_0.2
83,sonar,pair,0.3,-0.08798076923076921,0.006274996194114734,-0.9826577174492334,0.1,0.0459,sonar_pair_0.3
84,vowel,instance,0.0,0.08195286195286197,0.0026259337164487666,0.9964258391798867,0.1,0.0001,vowel_instance_0.0
85,vowel,instance,0.1,0.08700336700336696,0.002150066769746978,0.9978693598689693,0.1,0.0002,vowel_instance_0.1
86,vowel,instance,0.2,0.08710437710437693,0.002075729325401999,0.9980183038142746,0.1,0.0001,vowel_instance_0.2
87,vowel,instance,0.3,0.07851851851851842,0.001214612728033224,0.9991635223836596,0.1,0.0000,vowel_instance_0.3
88,vowel,sym,0.0,0.08518518518518507,0.0027956846985485,0.9962514014586057,0.1,0.0004,vowel_sym_0.0
89,vowel,sym,0.1,0.08919191919191902,0.0027850149380644665,0.9966048734543861,0.1,0.0023,vowel_sym_0.1
90,vowel,sym,0.2,0.09350168350168356,0.001849635007597221,0.9986331837139321,0.1,0.0040,vowel_sym_0.2
91,vowel,sym,0.3,0.09057239057239046,0.002331107847238283,0.9976895638595332,0.1,0.0019,vowel_sym_0.3
92,vowel,pair,0.0,0.08663299663299653,0.0017302004734186737,0.9986068882532007,0.1,0.0000,vowel_pair_0.0
93,vowel,pair,0.1,0.0862626262626262,0.0022839437233272554,0.9975554510760161,0.1,0.0002,vowel_pair_0.1
94,vowel,pair,0.2,0.07548821548821537,0.002560736216260209,0.9959966335422831,0.1,0.0000,vowel_pair_0.2
95,vowel,pair,0.3,0.07303030303030292,0.0021611485965620436,0.9969490154131494,0.1,0.0000,vowel_pair_0.3
96,krkp,instance,0.0,0.008789775691184153,0.0017357481977879326,0.8863205326526353,0.1,0.0000,krkp_instance_0.0
97,krkp,instance,0.1,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.1
98,krkp,instance,0.2,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.2
99,krkp,instance,0.3,-0.008085550339071471,0.0022550001402627516,-0.8046566473753218,0.1,0.0000,krkp_instance_0.3
100,krkp,sym,0.0,0.010354720918101244,0.0011827546093325513,0.9572427264453943,0.1,0.0000,krkp_sym_0.0
101,krkp,sym,0.1,0.011371935315597267,0.0016435177470295298,0.9340450857054114,0.1,0.0000,krkp_sym_0.1
102,krkp,sym,0.2,0.009806990088680289,0.0020993011713643112,0.8701388291644879,0.1,0.0000,krkp_sym_0.2
103,krkp,sym,0.3,0.012780386019822544,0.0021418310266494633,0.9141674373263775,0.1,0.0000,krkp_sym_0.3
104,krkp,pair,0.0,0.010354720918101244,0.0011827546093325513,0.9572427264453943,0.1,0.0000,krkp_pair_0.0
105,krkp,pair,0.1,0.011371935315597267,0.0016435177470295298,0.9340450857054114,0.1,0.0000,krkp_pair_0.1
106,krkp,pair,0.2,0.009806990088680289,0.0020993011713643112,0.8701388291644879,0.1,0.0000,krkp_pair_0.2
107,krkp,pair,0.3,0.012780386019822544,0.0021418310266494633,0.9141674373263775,0.1,0.0000,krkp_pair_0.3
108,xyguassian,instance,0.0,-0.004528333333333392,0.0024438123190608806,-0.5736603926767883,0.1,0.0000,xyguassian_instance_0.0
109,xyguassian,instance,0.1,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.1
110,xyguassian,instance,0.2,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.2
111,xyguassian,instance,0.3,-0.004671666666666648,0.00038474429768765747,-0.9770738761142238,0.1,0.0000,xyguassian_instance_0.3
112,xyguassian,sym,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_sym_0.0
113,xyguassian,sym,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_sym_0.1
114,xyguassian,sym,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_sym_0.2
115,xyguassian,sym,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_sym_0.3
116,xyguassian,pair,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_pair_0.0
117,xyguassian,pair,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_pair_0.1
118,xyguassian,pair,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_pair_0.2
119,xyguassian,pair,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_pair_0.3
120,yxguassian,instance,0.0,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.0
121,yxguassian,instance,0.1,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.1
122,yxguassian,instance,0.2,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.2
123,yxguassian,instance,0.3,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.3
124,yxguassian,sym,0.0,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_sym_0.0
125,yxguassian,sym,0.1,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_sym_0.1
126,yxguassian,sym,0.2,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_sym_0.2
127,yxguassian,sym,0.3,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_sym_0.3
128,yxguassian,pair,0.0,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_pair_0.0
129,yxguassian,pair,0.1,0.7079983333333334,0.008570873812513629,0.9994874694086089,0.1,1.0000,yxguassian_pair_0.1
130,yxguassian,pair,0.2,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_pair_0.2
131,yxguassian,pair,0.3,0.7080183333333333,0.00858234558193816,0.9994861265559528,0.1,1.0000,yxguassian_pair_0.3
132,balancescale,instance,0.0,0.1783333333333333,0.004793403756905868,0.9974808876163922,0.1,1.0000,balancescale_instance_0.0
133,balancescale,instance,0.1,0.1783333333333333,0.004793403756905868,0.9974808876163922,0.1,1.0000,balancescale_instance_0.1
134,balancescale,instance,0.2,0.1783333333333333,0.004793403756905868,0.9974808876163922,0.1,1.0000,balancescale_instance_0.2
135,balancescale,instance,0.3,0.16953333333333337,0.004513425006689146,0.9975285151645181,0.1,1.0000,balancescale_instance_0.3
136,balancescale,sym,0.0,0.20373333333333327,0.004546572637858579,0.9982614850111753,0.1,1.0000,balancescale_sym_0.0
137,balancescale,sym,0.1,0.20373333333333327,0.004546572637858579,0.9982614850111753,0.1,1.0000,balancescale_sym_0.1
138,balancescale,sym,0.2,0.24753333333333336,0.004489918159540185,0.9988504492583541,0.1,1.0000,balancescale_sym_0.2
139,balancescale,sym,0.3,0.19493333333333332,0.004551225196983035,0.9980975564990309,0.1,1.0000,balancescale_sym_0.3
140,balancescale,pair,0.0,0.20373333333333327,0.004546572637858579,0.9982614850111753,0.1,1.0000,balancescale_pair_0.0
141,balancescale,pair,0.1,0.20373333333333327,0.004546572637858579,0.9982614850111753,0.1,1.0000,balancescale_pair_0.1
142,balancescale,pair,0.2,0.24753333333333336,0.004489918159540185,0.9988504492583541,0.1,1.0000,balancescale_pair_0.2
143,balancescale,pair,0.3,0.19986666666666666,0.0045696954386608216,0.9981753821518409,0.1,1.0000,balancescale_pair_0.3
156,waveform,instance,0.0,0.2769083333333333,0.003847969384785846,0.9993248205807319,0.1,1.0000,waveform_instance_0.0
157,waveform,instance,0.1,0.2769083333333333,0.003847969384785846,0.9993248205807319,0.1,1.0000,waveform_instance_0.1
158,waveform,instance,0.2,0.3029833333333333,0.0031543767359961798,0.9996208503674083,0.1,1.0000,waveform_instance_0.2
159,waveform,instance,0.3,0.3029833333333333,0.0031543767359961798,0.9996208503674083,0.1,1.0000,waveform_instance_0.3
160,waveform,sym,0.0,0.24851666666666658,0.004082251233360826,0.9990569346849484,0.1,1.0000,waveform_sym_0.0
161,waveform,sym,0.1,0.23010833333333322,0.00361125747566627,0.9991390872452457,0.1,1.0000,waveform_sym_0.1
162,waveform,sym,0.2,0.24851666666666658,0.004082251233360826,0.9990569346849484,0.1,1.0000,waveform_sym_0.2
163,waveform,sym,0.3,0.24851666666666658,0.004082251233360826,0.9990569346849484,0.1,1.0000,waveform_sym_0.3
164,waveform,pair,0.0,0.24851666666666658,0.004082251233360826,0.9990569346849484,0.1,1.0000,waveform_pair_0.0
165,waveform,pair,0.1,0.23698333333333324,0.003222496567412344,0.9993534590740579,0.1,1.0000,waveform_pair_0.1
166,waveform,pair,0.2,0.23713333333333325,0.0032210000418880186,0.999354874997954,0.1,1.0000,waveform_pair_0.2
167,waveform,pair,0.3,0.23713333333333325,0.0032210000418880186,0.999354874997954,0.1,1.0000,waveform_pair_0.3
168,splice,instance,0.0,0.02729885057471261,0.0018188755190309896,0.9848153501723717,0.1,0.0000,splice_instance_0.0
169,splice,instance,0.1,0.02720741901776383,0.002060449199384618,0.9805116405620086,0.1,0.0000,splice_instance_0.1
170,splice,instance,0.2,0.026671891327063855,0.0018074229173008812,0.984305013446676,0.1,0.0000,splice_instance_0.2
171,splice,instance,0.3,0.027586206896551703,0.0020584669423517167,0.981063585438916,0.1,0.0000,splice_instance_0.3
172,splice,sym,0.0,0.05624346917450363,0.001698569538932074,0.9968230013368546,0.1,0.0000,splice_sym_0.0
173,splice,sym,0.1,0.03718652037617564,0.001990497740365745,0.990120228826409,0.1,0.0000,splice_sym_0.1
174,splice,sym,0.2,0.06900470219435738,0.0019736928306368696,0.9971489200762922,0.1,0.0000,splice_sym_0.2
175,splice,sym,0.3,0.04461859979101353,0.0019187992731828714,0.9935893304067992,0.1,0.0000,splice_sym_0.3
176,splice,pair,0.0,0.07130355276907,0.0014044623002888552,0.9986448655447808,0.1,0.0000,splice_pair_0.0
