,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
0,xyguassian200,instance,0.0,0.07600000000000005,0.013846857034556589,0.9008035332787101,0.1,0.0606,xyguassian200_instance_0.0
1,xyguassian200,instance,0.1,0.07666666666666674,0.02065206857697159,0.8143442608341798,0.1,0.1456,xyguassian200_instance_0.1
2,xyguassian200,instance,0.2,0.0666666666666667,0.00683517203291741,0.9651217869521813,0.1,0.0006,xyguassian200_instance_0.2
3,xyguassian200,instance,0.3,0.04466666666666677,0.008735380833534272,0.888151123193961,0.1,0.0001,xyguassian200_instance_0.3
4,xyguassian200,sym,0.0,0.01733333333333335,0.007200088182881507,0.6730017260624837,0.1,0.0000,xyguassian200_sym_0.0
5,xyguassian200,sym,0.1,0.009333333333333345,0.01489611291223923,0.23044421943387947,0.1,0.0001,xyguassian200_sym_0.1
6,xyguassian200,sym,0.2,0.0020000000000000044,0.01482918615112651,0.05090965190008158,0.1,0.0001,xyguassian200_sym_0.2
7,xyguassian200,sym,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_sym_0.3
8,xyguassian200,pair,0.0,-0.01625000000000004,0.0056760251853530085,-0.7344124877258439,0.1,0.0000,xyguassian200_pair_0.0
9,xyguassian200,pair,0.1,0.009333333333333345,0.01489611291223923,0.23044421943387947,0.1,0.0001,xyguassian200_pair_0.1
10,xyguassian200,pair,0.2,0.0020000000000000044,0.01482918615112651,0.05090965190008158,0.1,0.0001,xyguassian200_pair_0.2
11,xyguassian200,pair,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_pair_0.3
132,xyguassian500,instance,0.0,-0.02386666666666666,0.021796305691537322,-0.38240938193011537,0.1,0.0041,xyguassian500_instance_0.0
133,xyguassian500,instance,0.1,-0.013466666666666642,0.021012004631265905,-0.23542974300746544,0.1,0.0017,xyguassian500_instance_0.1
134,xyguassian500,instance,0.2,-0.004133333333333318,0.025416521727403565,-0.06135026472041952,0.1,0.0027,xyguassian500_instance_0.2
135,xyguassian500,instance,0.3,-0.004666666666666704,0.020060754283771652,-0.08758671728388669,0.1,0.0007,xyguassian500_instance_0.3
136,xyguassian500,sym,0.0,0.0617333333333334,0.009028256641756348,0.9326202307113787,0.1,0.0014,xyguassian500_sym_0.0
137,xyguassian500,sym,0.1,0.10093333333333335,0.014453369647936537,0.9351358160505785,0.1,0.5250,xyguassian500_sym_0.1
138,xyguassian500,sym,0.2,0.025733333333333334,0.01041785199605181,0.6824291339159347,0.1,0.0000,xyguassian500_sym_0.2
139,xyguassian500,sym,0.3,0.0017333333333333094,0.006631207284719003,0.09831759203579742,0.1,0.0000,xyguassian500_sym_0.3
140,xyguassian500,pair,0.0,0.0617333333333334,0.009028256641756348,0.9326202307113787,0.1,0.0014,xyguassian500_pair_0.0
141,xyguassian500,pair,0.1,0.10093333333333335,0.014453369647936537,0.9351358160505785,0.1,0.5250,xyguassian500_pair_0.1
142,xyguassian500,pair,0.2,0.025733333333333334,0.01041785199605181,0.6824291339159347,0.1,0.0000,xyguassian500_pair_0.2
143,xyguassian500,pair,0.3,0.0017333333333333094,0.006631207284719003,0.09831759203579742,0.1,0.0000,xyguassian500_pair_0.3
264,xyguassian1000,instance,0.0,0.0140666666666668,0.0024022476247867234,0.9112961839805538,0.1,0.0000,xyguassian1000_instance_0.0
265,xyguassian1000,instance,0.1,0.007933333333333282,0.002313384108129448,0.7917514108553364,0.1,0.0000,xyguassian1000_instance_0.1
266,xyguassian1000,instance,0.2,0.011666666666666714,0.0049811284074635425,0.6628439169569688,0.1,0.0000,xyguassian1000_instance_0.2
267,xyguassian1000,instance,0.3,0.006866666666666716,0.005663266954028652,0.4166138556995751,0.1,0.0000,xyguassian1000_instance_0.3
268,xyguassian1000,sym,0.0,0.04486666666666668,0.0036177984477394056,0.9779917714809078,0.1,0.0000,xyguassian1000_sym_0.0
269,xyguassian1000,sym,0.1,0.02059999999999999,0.0027024190613353536,0.9447141423299337,0.1,0.0000,xyguassian1000_sym_0.1
270,xyguassian1000,sym,0.2,0.012333333333333352,0.002985502891177256,0.8420988450360807,0.1,0.0000,xyguassian1000_sym_0.2
271,xyguassian1000,sym,0.3,0.015533333333333316,0.0017264208932149469,0.9593813349846484,0.1,0.0000,xyguassian1000_sym_0.3
272,xyguassian1000,pair,0.0,0.04486666666666668,0.0036177984477394056,0.9779917714809078,0.1,0.0000,xyguassian1000_pair_0.0
273,xyguassian1000,pair,0.1,0.02059999999999999,0.0027024190613353536,0.9447141423299337,0.1,0.0000,xyguassian1000_pair_0.1
274,xyguassian1000,pair,0.2,0.012333333333333352,0.002985502891177256,0.8420988450360807,0.1,0.0000,xyguassian1000_pair_0.2
275,xyguassian1000,pair,0.3,0.015533333333333316,0.0017264208932149469,0.9593813349846484,0.1,0.0000,xyguassian1000_pair_0.3
396,xyguassian5000,instance,0.0,0.0017999999999999594,0.004647989836887503,0.14482886184435909,0.1,0.0000,xyguassian5000_instance_0.0
397,xyguassian5000,instance,0.1,0.013866666666666739,0.00398364380805041,0.7961327599749352,0.1,0.0000,xyguassian5000_instance_0.1
398,xyguassian5000,instance,0.2,0.009000000000000053,0.004183869250438188,0.6308480091214611,0.1,0.0000,xyguassian5000_instance_0.2
399,xyguassian5000,instance,0.3,0.01559999999999994,0.0030088757590391573,0.8907259627452979,0.1,0.0000,xyguassian5000_instance_0.3
400,xyguassian5000,sym,0.0,-0.003066666666666643,0.00351977031477669,-0.3127852785859867,0.1,0.0000,xyguassian5000_sym_0.0
401,xyguassian5000,sym,0.1,0.0066000000000000884,0.005015995578169045,0.4452943771346365,0.1,0.0000,xyguassian5000_sym_0.1
402,xyguassian5000,sym,0.2,0.03686666666666678,0.005821652704485258,0.922707435396368,0.1,0.0000,xyguassian5000_sym_0.2
403,xyguassian5000,sym,0.3,0.03719999999999998,0.009444720817618242,0.8301050403602319,0.1,0.0001,xyguassian5000_sym_0.3
404,xyguassian5000,pair,0.0,-0.003066666666666643,0.00351977031477669,-0.3127852785859867,0.1,0.0000,xyguassian5000_pair_0.0
405,xyguassian5000,pair,0.1,0.0066000000000000884,0.005015995578169045,0.4452943771346365,0.1,0.0000,xyguassian5000_pair_0.1
406,xyguassian5000,pair,0.2,0.03686666666666678,0.005821652704485258,0.922707435396368,0.1,0.0000,xyguassian5000_pair_0.2
407,xyguassian5000,pair,0.3,0.03719999999999998,0.009444720817618242,0.8301050403602319,0.1,0.0001,xyguassian5000_pair_0.3
528,xyguassian,instance,0.0,-0.0005300000000000209,0.0014886834139192365,-0.13336066914540493,0.1,0.0000,xyguassian_instance_0.0
529,xyguassian,instance,0.1,-0.004703333333333429,0.002776863690869962,-0.5391613038248576,0.1,0.0000,xyguassian_instance_0.1
530,xyguassian,instance,0.2,-0.0004166666666666666,0.0027538164955213038,-0.057094691094018504,0.1,0.0000,xyguassian_instance_0.2
531,xyguassian,instance,0.3,-0.0013166666666665214,0.002343423195910696,-0.20772927147605982,0.1,0.0000,xyguassian_instance_0.3
532,xyguassian,sym,0.0,0.0025699999999998784,0.0013539237511062292,0.5829378166046156,0.1,0.0000,xyguassian_sym_0.0
533,xyguassian,sym,0.1,0.0018766666666667393,0.0019142618453854043,0.3474554076819209,0.1,0.0000,xyguassian_sym_0.1
534,xyguassian,sym,0.2,0.0007966666666667047,0.0007751214275926431,0.3621073576511189,0.1,0.0000,xyguassian_sym_0.2
535,xyguassian,sym,0.3,0.003223333333333374,0.0006993697086791988,0.8672616673697583,0.1,0.0000,xyguassian_sym_0.3
536,xyguassian,pair,0.0,0.0025699999999998784,0.0013539237511062292,0.5829378166046156,0.1,0.0000,xyguassian_pair_0.0
537,xyguassian,pair,0.1,0.0018766666666667393,0.0019142618453854043,0.3474554076819209,0.1,0.0000,xyguassian_pair_0.1
538,xyguassian,pair,0.2,0.0007966666666667047,0.0007751214275926431,0.3621073576511189,0.1,0.0000,xyguassian_pair_0.2
539,xyguassian,pair,0.3,0.003223333333333374,0.0006993697086791988,0.8672616673697583,0.1,0.0000,xyguassian_pair_0.3
