dataset,noise_type,initial_noise,corr/p-value,slope,stderr
usps,sym,0.0,0.9999999999995949,0.3321777777777778,0.002975139002972922
usps,sym,0.2,0.9999989385845395,0.18915555555555555,0.007420023119391183
usps,sym,0.4,9.370002400156978e-06,0.0456000000000001,0.006053665546517163
usps,pair,0.0,0.9999999999995949,0.3321777777777778,0.002975139002972922
usps,pair,0.2,0.9999989385845395,0.18915555555555555,0.007420023119391183
usps,pair,0.4,9.370002400156978e-06,0.0456000000000001,0.006053665546517163
usps,instance,0.0,0.9999999999893304,0.28257777777777776,0.0035239067625658415
usps,instance,0.2,0.9999999338266727,0.19048888888888893,0.005258576600750612
usps,instance,0.4,0.0005307030053574938,0.05226666666666674,0.00955908388163241
coil,sym,0.0,0.999999979151122,0.20299999999999987,0.005165264075421942
coil,sym,0.2,0.9999940211395031,0.14866666666666667,0.005095997899471349
coil,sym,0.4,0.989124620952598,0.11473333333333345,0.00518445875485903
coil,pair,0.0,0.9999999927931039,0.2031777777777778,0.004521275072088173
coil,pair,0.2,0.9999999861555265,0.16237777777777776,0.0029694624481615144
coil,pair,0.4,0.9999771908413003,0.13355555555555554,0.004219993842480173
coil,instance,0.0,0.9999999860465133,0.20553333333333326,0.005028869038812257
coil,instance,0.2,0.9999992553903703,0.16888888888888892,0.005473295761266855
coil,instance,0.4,0.8043724851163099,0.10451111111111105,0.004977487236418848
bci,sym,0.0,0.02276352661853302,0.08416666666666665,0.006691916469274454
bci,sym,0.2,0.0012290695737072301,0.07350000000000001,0.006097423343394458
bci,sym,0.4,0.00010429653754866413,0.03650000000000002,0.00991811714082103
bci,pair,0.0,0.02276352661853302,0.08416666666666665,0.006691916469274454
bci,pair,0.2,0.0012290695737072301,0.07350000000000001,0.006097423343394458
bci,pair,0.4,0.00010429653754866413,0.03650000000000002,0.00991811714082103
bci,instance,0.0,0.00013199721548226277,0.05850000000000012,0.006710865390224579
bci,instance,0.2,1.8318657407072156e-05,0.05716666666666672,0.005225471802196962
bci,instance,0.4,0.000733799152705624,0.03016666666666672,0.01473877476188173
coil2,sym,0.0,1.1057966080360088e-05,0.05039999999999992,0.005645552530486772
coil2,sym,0.2,1.6163676766785507e-05,0.006311111111111092,0.01123385326331451
coil2,sym,0.4,1.0547238466409193e-08,0.015822222222222338,0.003871200893144851
coil2,pair,0.0,1.1057966080360088e-05,0.05039999999999992,0.005645552530486772
coil2,pair,0.2,1.6163676766785507e-05,0.006311111111111092,0.01123385326331451
coil2,pair,0.4,1.0547238466409193e-08,0.015822222222222338,0.003871200893144851
coil2,instance,0.0,3.4071434673643175e-07,0.03760000000000009,0.004478199856694265
coil2,instance,0.2,5.971370341196021e-11,0.028711111111111194,0.0017076650518919906
coil2,instance,0.4,3.3343779308562565e-07,0.006488888888888978,0.006692169913714597
digit1,sym,0.0,0.9999999999999439,0.7301333333333333,0.006304206671099096
digit1,sym,0.2,0.9999999999983147,0.4391999999999999,0.005195557275472518
digit1,sym,0.4,0.9993055967648655,0.14115555555555567,0.00860806124518995
digit1,pair,0.0,0.9999999999999439,0.7301333333333333,0.006304206671099096
digit1,pair,0.2,0.9999999999983147,0.4391999999999999,0.005195557275472518
digit1,pair,0.4,0.9993055967648655,0.14115555555555567,0.00860806124518995
digit1,instance,0.0,0.999999999999833,0.6005333333333331,0.005740522952004881
digit1,instance,0.2,0.9999999999977395,0.43608888888888897,0.005340717991571158
digit1,instance,0.4,0.9992056238770552,0.13288888888888892,0.007032568896160786
