noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.2594666666666666,0.008986409491869116
instance,0.01,0.2,0.3205333333333333,0.011713240371477071
instance,0.01,0.3,0.3814666666666667,0.012740137797964015
instance,0.01,0.4,0.43599999999999994,0.017776388834631163
instance,0.01,0.5,0.4893333333333333,0.013274871834493268
instance,0.01,0.6,0.564,0.01777638883463113
instance,0.01,0.7000000000000001,0.6185333333333334,0.012740137797963996
instance,0.01,0.8,0.6794666666666667,0.011713240371477049
instance,0.01,0.9,0.7405333333333333,0.008986409491869136
instance,0.2,0.1,0.3252,0.007621606713081491
instance,0.2,0.2,0.3689333333333333,0.007797435475847187
instance,0.2,0.3,0.41493333333333327,0.012923707758310752
instance,0.2,0.4,0.45426666666666665,0.017755124455898504
instance,0.2,0.5,0.4893333333333333,0.013274871834493268
instance,0.2,0.6,0.5457333333333334,0.01775512445589848
instance,0.2,0.7000000000000001,0.5850666666666667,0.012923707758310777
instance,0.2,0.8,0.6310666666666667,0.007797435475847173
instance,0.2,0.9,0.6748000000000001,0.0076216067130815334
instance,0.4,0.1,0.44506666666666667,0.018261069702146908
instance,0.4,0.2,0.45759999999999995,0.019169420092080683
instance,0.4,0.3,0.4796,0.016469500430931254
instance,0.4,0.4,0.48906666666666665,0.01456479774433319
instance,0.4,0.5,0.4893333333333333,0.013274871834493268
instance,0.4,0.6,0.5109333333333334,0.014564797744333162
instance,0.4,0.7000000000000001,0.5204,0.01646950043093125
instance,0.4,0.8,0.5424,0.019169420092080672
instance,0.4,0.9,0.5549333333333333,0.01826106970214687
pair,0.01,0.1,0.2105333333333333,0.004531372124791053
pair,0.01,0.2,0.2806666666666666,0.008096638534327415
pair,0.01,0.3,0.35146666666666665,0.012012955968915856
pair,0.01,0.4,0.4225333333333333,0.019272317510414312
pair,0.01,0.5,0.48933333333333334,0.011065461781798552
pair,0.01,0.6,0.5774666666666667,0.019272317510414277
pair,0.01,0.7000000000000001,0.6485333333333333,0.012012955968915886
pair,0.01,0.8,0.7193333333333334,0.008096638534327448
pair,0.01,0.9,0.7894666666666666,0.004531372124791057
pair,0.2,0.1,0.3228,0.0067560672320844195
pair,0.2,0.2,0.36946666666666667,0.007921840414673545
pair,0.2,0.3,0.4136,0.007432660657156662
pair,0.2,0.4,0.4556,0.008964126034118199
pair,0.2,0.5,0.48933333333333334,0.011065461781798552
pair,0.2,0.6,0.5444,0.0089641260341182
pair,0.2,0.7000000000000001,0.5864,0.007432660657156659
pair,0.2,0.8,0.6305333333333334,0.007921840414673555
pair,0.2,0.9,0.6772,0.006756067232084405
pair,0.4,0.1,0.4381333333333333,0.011864044654145348
pair,0.4,0.2,0.4584,0.011091538316312254
pair,0.4,0.3,0.4793333333333333,0.0051854497287013674
pair,0.4,0.4,0.49013333333333337,0.00973424653250348
pair,0.4,0.5,0.48933333333333334,0.011065461781798552
pair,0.4,0.6,0.5098666666666667,0.009734246532503488
pair,0.4,0.7000000000000001,0.5206666666666667,0.005185449728701384
pair,0.4,0.8,0.5416000000000001,0.011091538316312224
pair,0.4,0.9,0.5618666666666667,0.011864044654145397
sym,0.01,0.1,0.2105333333333333,0.004531372124791053
sym,0.01,0.2,0.2806666666666666,0.008096638534327415
sym,0.01,0.3,0.35146666666666665,0.012012955968915856
sym,0.01,0.4,0.4225333333333333,0.019272317510414312
sym,0.01,0.5,0.48933333333333334,0.011065461781798552
sym,0.01,0.6,0.5774666666666667,0.019272317510414277
sym,0.01,0.7000000000000001,0.6485333333333333,0.012012955968915886
sym,0.01,0.8,0.7193333333333334,0.008096638534327448
sym,0.01,0.9,0.7894666666666666,0.004531372124791057
sym,0.2,0.1,0.3228,0.0067560672320844195
sym,0.2,0.2,0.36946666666666667,0.007921840414673545
sym,0.2,0.3,0.4136,0.007432660657156662
sym,0.2,0.4,0.4556,0.008964126034118199
sym,0.2,0.5,0.48933333333333334,0.011065461781798552
sym,0.2,0.6,0.5444,0.0089641260341182
sym,0.2,0.7000000000000001,0.5864,0.007432660657156659
sym,0.2,0.8,0.6305333333333334,0.007921840414673555
sym,0.2,0.9,0.6772,0.006756067232084405
sym,0.4,0.1,0.4381333333333333,0.011864044654145348
sym,0.4,0.2,0.4584,0.011091538316312254
sym,0.4,0.3,0.4793333333333333,0.0051854497287013674
sym,0.4,0.4,0.49013333333333337,0.00973424653250348
sym,0.4,0.5,0.48933333333333334,0.011065461781798552
sym,0.4,0.6,0.5098666666666667,0.009734246532503488
sym,0.4,0.7000000000000001,0.5206666666666667,0.005185449728701384
sym,0.4,0.8,0.5416000000000001,0.011091538316312224
sym,0.4,0.9,0.5618666666666667,0.011864044654145397
