noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.554,0.016936858
instance,0.01,0.2,0.59,0.012142017
instance,0.01,0.3,0.611,0.013938641
instance,0.01,0.4,0.62575,0.023867192
instance,0.01,0.5,0.62975,0.018986838
instance,0.01,0.6,0.64925,0.022140783
instance,0.01,0.7,0.664,0.010796825
instance,0.01,0.8,0.68975,0.00988144
instance,0.01,0.9,0.7195,0.012727922
instance,0.2,0.1,0.587,0.00944155
instance,0.2,0.2,0.60025,0.015471171
instance,0.2,0.3,0.611,0.00512696
instance,0.2,0.4,0.617,0.032932832
instance,0.2,0.5,0.62525,0.032670432
instance,0.2,0.6,0.65525,0.02252459
instance,0.2,0.7,0.66175,0.012980755
instance,0.2,0.8,0.67525,0.015526475
instance,0.2,0.9,0.6965,0.017196345
instance,0.4,0.1,0.626,0.035458896
instance,0.4,0.2,0.623142857,0.032472699
instance,0.4,0.3,0.623714286,0.019813415
instance,0.4,0.4,0.640571429,0.032014877
instance,0.4,0.5,0.634857143,0.019385807
instance,0.4,0.6,0.647142857,0.018933467
instance,0.4,0.7,0.662285714,0.022728208
instance,0.4,0.8,0.689714286,0.007782765
instance,0.4,0.9,0.677428571,0.01680136
instance,0.6,0.1,0.650571429,0.020549592
instance,0.6,0.2,0.676571429,0.027681866
instance,0.6,0.3,0.674857143,0.011710801
instance,0.6,0.4,0.670571429,0.037836742
instance,0.6,0.5,0.653714286,0.027938708
instance,0.6,0.6,0.655714286,0.012351981
instance,0.6,0.7,0.661428571,0.008059304
instance,0.6,0.8,0.686857143,0.014088158
instance,0.6,0.9,0.664,0.014696938
instance,0.8,0.1,0.694857143,0.024272265
instance,0.8,0.2,0.694285714,0.035598288
instance,0.8,0.3,0.676857143,0.037127836
instance,0.8,0.4,0.681714286,0.029403596
instance,0.8,0.5,0.666857143,0.023856715
instance,0.8,0.6,0.676,0.017549929
instance,0.8,0.7,0.667714286,0.023278848
instance,0.8,0.8,0.654,0.024926559
instance,0.8,0.9,0.667714286,0.03139912
pair,0.01,0.1,0.5376,0.022378561
pair,0.01,0.2,0.5516,0.031125552
pair,0.01,0.3,0.5788,0.020327322
pair,0.01,0.4,0.6024,0.012116105
pair,0.01,0.5,0.6208,0.017866169
pair,0.01,0.6,0.6424,0.033418558
pair,0.01,0.7,0.6752,0.01460137
pair,0.01,0.8,0.7,0.011401754
pair,0.01,0.9,0.724,0.021118712
pair,0.2,0.1,0.5732,0.020717143
pair,0.2,0.2,0.5764,0.009736529
pair,0.2,0.3,0.598,0.020688161
pair,0.2,0.4,0.6188,0.007694154
pair,0.2,0.5,0.62,0.015556349
pair,0.2,0.6,0.6656,0.033298649
pair,0.2,0.7,0.6672,0.021288495
pair,0.2,0.8,0.7008,0.019266551
