noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.657836991,0.004287128
instance,0.01,0.2,0.654231975,0.006199401
instance,0.01,0.3,0.660109718,0.005573362
instance,0.01,0.4,0.65846395,0.008338205
instance,0.01,0.5,0.661128527,0.010725517
instance,0.01,0.6,0.664184953,0.002852708
instance,0.01,0.7,0.667163009,0.0068355
instance,0.01,0.8,0.670532916,0.004479784
instance,0.01,0.9,0.672178683,0.006285491
instance,0.2,0.1,0.653605016,0.012597216
instance,0.2,0.2,0.653918495,0.008318846
instance,0.2,0.3,0.660893417,0.012306196
instance,0.2,0.4,0.66661442,0.009687484
instance,0.2,0.5,0.657601881,0.007705599
instance,0.2,0.6,0.661833856,0.012313681
instance,0.2,0.7,0.665517241,0.009751465
instance,0.2,0.8,0.664811912,0.006495726
instance,0.2,0.9,0.67523511,0.011641955
instance,0.4,0.1,0.655799373,0.01923179
instance,0.4,0.2,0.652664577,0.017990119
instance,0.4,0.3,0.653996865,0.013377516
instance,0.4,0.4,0.663087774,0.014888735
instance,0.4,0.5,0.661206896,0.006852327
instance,0.4,0.6,0.662695925,0.016059617
instance,0.4,0.7,0.66700627,0.012482114
instance,0.4,0.8,0.665752351,0.007257155
instance,0.4,0.9,0.671943574,0.009141103
instance,0.6,0.1,0.659326019,0.019856373
instance,0.6,0.2,0.656426332,0.018432345
instance,0.6,0.3,0.652586207,0.016028993
instance,0.6,0.4,0.660893417,0.018850773
instance,0.6,0.5,0.657680251,0.011606289
instance,0.6,0.6,0.662068966,0.003815254
instance,0.6,0.7,0.661912226,0.013492945
instance,0.6,0.8,0.668260188,0.003885045
instance,0.6,0.9,0.672962383,0.015361301
instance,0.8,0.1,0.655877743,0.028045862
instance,0.8,0.2,0.661990596,0.023179812
instance,0.8,0.3,0.665438871,0.015733625
instance,0.8,0.4,0.666222571,0.012561818
instance,0.8,0.5,0.668103448,0.015538699
instance,0.8,0.6,0.660266458,0.008593931
instance,0.8,0.7,0.671394984,0.006963465
instance,0.8,0.8,0.667946709,0.013442209
instance,0.8,0.9,0.673981191,0.015402229
pair,0.01,0.1,0.64161442,0.038807548
pair,0.01,0.2,0.639655172,0.030659064
pair,0.01,0.3,0.646473354,0.020543905
pair,0.01,0.4,0.655329154,0.019585814
pair,0.01,0.5,0.653996865,0.010940254
pair,0.01,0.6,0.668887147,0.00906774
pair,0.01,0.7,0.668416928,0.012333615
pair,0.01,0.8,0.66700627,0.009667652
pair,0.01,0.9,0.684404389,0.015729232
pair,0.2,0.1,0.64137931,0.031509673
pair,0.2,0.2,0.648981191,0.021761589
pair,0.2,0.3,0.650862069,0.023862639
pair,0.2,0.4,0.657210031,0.014042216
pair,0.2,0.5,0.663322884,0.009848606
pair,0.2,0.6,0.669827586,0.004851661
pair,0.2,0.7,0.670611285,0.015291172
pair,0.2,0.8,0.676724138,0.010411701
pair,0.2,0.9,0.668495298,0.013945109
pair,0.4,0.1,0.648197492,0.023959604
pair,0.4,0.2,0.653605016,0.024166349
pair,0.4,0.3,0.655956113,0.022074384
pair,0.4,0.4,0.653996865,0.014471932
pair,0.4,0.5,0.665360502,0.017700585
pair,0.4,0.6,0.659717868,0.011229754
pair,0.4,0.7,0.668808777,0.006411262
pair,0.4,0.8,0.669984326,0.007269838
pair,0.4,0.9,0.675,0.020073637
pair,0.6,0.1,0.663557994,0.012380833
pair,0.6,0.2,0.662774295,0.007565842
pair,0.6,0.3,0.666144201,0.012304325
pair,0.6,0.4,0.661755486,0.008226041
pair,0.6,0.5,0.664263323,0.014342442
pair,0.6,0.6,0.667946709,0.008838791
pair,0.6,0.7,0.674216301,0.009246321
pair,0.6,0.8,0.667319749,0.010521725
pair,0.6,0.9,0.675548589,0.009164589
pair,0.8,0.1,0.664263323,0.010941657
pair,0.8,0.2,0.657445141,0.010952177
pair,0.8,0.3,0.66637931,0.005835796
pair,0.8,0.4,0.662695925,0.00812273
pair,0.8,0.5,0.659247649,0.006653369
pair,0.8,0.6,0.672727273,0.005425383
pair,0.8,0.7,0.662931035,0.010613988
pair,0.8,0.8,0.671316614,0.005354162
pair,0.8,0.9,0.668495298,0.008952711
sym,0.01,0.1,0.639655172,0.038451801
sym,0.01,0.2,0.642868339,0.026573061
sym,0.01,0.3,0.652351097,0.022128919
sym,0.01,0.4,0.657131662,0.016969845
sym,0.01,0.5,0.655172414,0.01521416
sym,0.01,0.6,0.665047022,0.013041586
sym,0.01,0.7,0.665830721,0.012776939
sym,0.01,0.8,0.67523511,0.008997193
sym,0.01,0.9,0.682758621,0.011970987
sym,0.2,0.1,0.644592477,0.027239885
sym,0.2,0.2,0.651410658,0.023305331
sym,0.2,0.3,0.651959248,0.018006755
sym,0.2,0.4,0.654623824,0.021287566
sym,0.2,0.5,0.666222571,0.009430476
sym,0.2,0.6,0.665125392,0.005210273
sym,0.2,0.7,0.670376175,0.006732518
sym,0.2,0.8,0.677507837,0.011699842
sym,0.2,0.9,0.672727273,0.018419846
sym,0.4,0.1,0.652899687,0.01124615
sym,0.4,0.2,0.652664577,0.015388765
sym,0.4,0.3,0.663087774,0.014350469
sym,0.4,0.4,0.663636364,0.006376441
sym,0.4,0.5,0.666144201,0.005658123
sym,0.4,0.6,0.668965517,0.008997193
sym,0.4,0.7,0.664733542,0.00633416
sym,0.4,0.8,0.667789969,0.010094975
sym,0.4,0.9,0.670532915,0.008155743
sym,0.6,0.1,0.662068965,0.011243419
sym,0.6,0.2,0.665595611,0.003754401
sym,0.6,0.3,0.663479624,0.007645586
sym,0.6,0.4,0.668103448,0.005422552
sym,0.6,0.5,0.657288401,0.008250271
sym,0.6,0.6,0.659717868,0.011945307
sym,0.6,0.7,0.665438871,0.011146725
sym,0.6,0.8,0.669278997,0.013198409
sym,0.6,0.9,0.665673981,0.011834894
sym,0.8,0.1,0.669122257,0.018166357
sym,0.8,0.2,0.66684953,0.01251283
sym,0.8,0.3,0.666065831,0.016018931
sym,0.8,0.4,0.663322884,0.010049241
sym,0.8,0.5,0.662617555,0.009749103
sym,0.8,0.6,0.665282132,0.010234702
sym,0.8,0.7,0.657366771,0.009861071
sym,0.8,0.8,0.665047022,0.004754154
sym,0.8,0.9,0.664811912,0.008596611
