noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.54488,0.004809573785690425
instance,0.01,0.2,0.56352,0.005226088403385449
instance,0.01,0.3,0.5834400000000001,0.004689136381040732
instance,0.01,0.4,0.60616,0.008470419115958807
instance,0.01,0.5,0.6278400000000001,0.007785114000449846
instance,0.01,0.6,0.65076,0.005277120426899513
instance,0.01,0.7000000000000001,0.6714399999999999,0.004701914503688938
instance,0.01,0.8,0.69468,0.0054947247428783754
instance,0.01,0.9,0.71852,0.005633116366630522
instance,0.2,0.1,0.55992,0.013238277833615657
instance,0.2,0.2,0.57288,0.010682321844992291
instance,0.2,0.3,0.5942000000000001,0.007021395872616797
instance,0.2,0.4,0.619,0.00310483493925198
instance,0.2,0.5,0.63548,0.00839595140529054
instance,0.2,0.6,0.6561199999999999,0.010209407426486614
instance,0.2,0.7000000000000001,0.67524,0.005380334562088139
instance,0.2,0.8,0.69112,0.0028163806560903798
instance,0.2,0.9,0.7075199999999999,0.005070700148894647
instance,0.4,0.1,0.5852,0.01873018953454556
instance,0.4,0.2,0.6006,0.01616353921639689
instance,0.4,0.3,0.6162799999999999,0.011527879249888101
instance,0.4,0.4,0.62996,0.011962775597661245
instance,0.4,0.5,0.6354,0.00919130023446088
instance,0.4,0.6,0.66604,0.008726282140751575
instance,0.4,0.7000000000000001,0.6726,0.005690342696182706
instance,0.4,0.8,0.68708,0.007451979602763268
instance,0.4,0.9,0.69972,0.010619416179809538
pair,0.01,0.1,0.5276400000000001,0.004665618930002776
pair,0.01,0.2,0.5518000000000001,0.004244997055358222
pair,0.01,0.3,0.5776399999999999,0.00443034987331703
pair,0.01,0.4,0.5997600000000001,0.003409985337211896
pair,0.01,0.5,0.6204000000000001,0.006555913361233542
pair,0.01,0.6,0.65364,0.006493689244181625
pair,0.01,0.7000000000000001,0.67496,0.004264739147943274
pair,0.01,0.8,0.69608,0.004013975585376667
pair,0.01,0.9,0.72116,0.006969074544012296
pair,0.2,0.1,0.52736,0.009813663943706238
pair,0.2,0.2,0.5544,0.007237402849088912
pair,0.2,0.3,0.57448,0.0047108385665398985
pair,0.2,0.4,0.5990800000000001,0.007464047159550917
pair,0.2,0.5,0.6208,0.008215838362577478
pair,0.2,0.6,0.64956,0.0057348060124122495
pair,0.2,0.7000000000000001,0.67372,0.0049428736581062106
pair,0.2,0.8,0.70128,0.007938009826146656
pair,0.2,0.9,0.72312,0.005570637306448864
pair,0.4,0.1,0.53312,0.006576625274409366
pair,0.4,0.2,0.5516,0.01062167595062096
pair,0.4,0.3,0.5792400000000001,0.006793231925968673
pair,0.4,0.4,0.6043200000000001,0.005108032889479086
pair,0.4,0.5,0.62896,0.009390846607202127
pair,0.4,0.6,0.65044,0.010473203903295284
pair,0.4,0.7000000000000001,0.67608,0.004683161325429698
pair,0.4,0.8,0.6998800000000001,0.005199230712326596
pair,0.4,0.9,0.71908,0.0059776249464147235
sym,0.01,0.1,0.52676,0.005421070005082035
sym,0.01,0.2,0.55328,0.00435109181700409
sym,0.01,0.3,0.5736800000000001,0.008641296199066425
sym,0.01,0.4,0.59856,0.008436112848937014
sym,0.01,0.5,0.6254,0.004993996395673476
sym,0.01,0.6,0.6495599999999999,0.0093245911438518
sym,0.01,0.7000000000000001,0.6770400000000001,0.003835101041693655
sym,0.01,0.8,0.69364,0.00471889817648149
sym,0.01,0.9,0.72416,0.005597142127907788
sym,0.2,0.1,0.56592,0.0024963974042608037
sym,0.2,0.2,0.58288,0.0041511444205182555
sym,0.2,0.3,0.59784,0.005805859109554776
sym,0.2,0.4,0.6176,0.0036959437225152583
sym,0.2,0.5,0.63408,0.003488839348551325
sym,0.2,0.6,0.6586000000000001,0.007962411694957773
sym,0.2,0.7000000000000001,0.67344,0.00734084463805088
sym,0.2,0.8,0.6924,0.006268971207463007
sym,0.2,0.9,0.7086,0.004758150901348123
sym,0.4,0.1,0.60936,0.005887953804166571
sym,0.4,0.2,0.617,0.005988321968631944
sym,0.4,0.3,0.6266,0.001777638883463093
sym,0.4,0.4,0.64128,0.0037751821148124766
sym,0.4,0.5,0.65144,0.006769638099632819
sym,0.4,0.6,0.66092,0.0044443222205416254
sym,0.4,0.7000000000000001,0.66784,0.010219980430509574
sym,0.4,0.8,0.68008,0.0042180564244685146
sym,0.4,0.9,0.68808,0.003167333263172631
