noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.49992000000000003,0.0012402620690805694
instance,0.01,0.2,0.49939999999999996,0.0025487742151866005
instance,0.01,0.3,0.5014299999999999,0.00259147641316678
instance,0.01,0.4,0.50085,0.004602580797769876
instance,0.01,0.5,0.4981,0.003967996975805304
instance,0.01,0.6,0.49915000000000004,0.004602580797769904
instance,0.01,0.7000000000000001,0.49857000000000007,0.0025914764131668246
instance,0.01,0.8,0.5006,0.0025487742151865935
instance,0.01,0.9,0.50008,0.0012402620690805752
instance,0.2,0.1,0.49932999999999994,0.002340566170822835
instance,0.2,0.2,0.49890999999999996,0.0026271181930016237
instance,0.2,0.3,0.50204,0.003986759335600786
instance,0.2,0.4,0.50312,0.005542743003243073
instance,0.2,0.5,0.499,0.004359759167660523
instance,0.2,0.6,0.49688,0.005542743003243065
instance,0.2,0.7000000000000001,0.49795999999999996,0.003986759335600776
instance,0.2,0.8,0.50109,0.0026271181930015803
instance,0.2,0.9,0.5006700000000001,0.0023405661708228126
instance,0.4,0.1,0.4991,0.0035434799279803883
instance,0.4,0.2,0.49935999999999997,0.0023230906138160014
instance,0.4,0.3,0.50145,0.00306838719851323
instance,0.4,0.4,0.50295,0.004104113789845518
instance,0.4,0.5,0.50058,0.004453874717591408
instance,0.4,0.6,0.49705000000000005,0.004104113789845487
instance,0.4,0.7000000000000001,0.49855,0.0030683871985132697
instance,0.4,0.8,0.50064,0.0023230906138159966
instance,0.4,0.9,0.5009,0.0035434799279803926
instance,0.6,0.1,0.49768999999999997,0.002399843744913434
instance,0.6,0.2,0.49834999999999996,0.0005937171043518799
instance,0.6,0.3,0.49978,0.0027938772342391734
instance,0.6,0.4,0.4992,0.004772054065075118
instance,0.6,0.5,0.499,0.004359759167660523
instance,0.6,0.6,0.5008,0.0047720540650751115
instance,0.6,0.7000000000000001,0.50022,0.002793877234239206
instance,0.6,0.8,0.5016499999999999,0.0005937171043519407
instance,0.6,0.9,0.50231,0.0023998437449133914
pair,0.01,0.1,0.49801,0.0023058078844517904
pair,0.01,0.2,0.50047,0.0029844597501055906
pair,0.01,0.3,0.4992599999999999,0.003349141681087865
pair,0.01,0.4,0.50032,0.004822939974745708
pair,0.01,0.5,0.49850000000000005,0.005293037880083631
pair,0.01,0.6,0.49968,0.004822939974745701
pair,0.01,0.7000000000000001,0.50074,0.003349141681087844
pair,0.01,0.8,0.49953000000000003,0.0029844597501055216
