noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.25468999999999997,0.0014306467069126337
instance,0.01,0.2,0.31609,0.002007299180491049
instance,0.01,0.3,0.37944,0.002312844568923726
instance,0.01,0.4,0.44082,0.004208117156163783
instance,0.01,0.5,0.50101,0.005389735615037115
instance,0.01,0.6,0.55918,0.004208117156163831
instance,0.01,0.7000000000000001,0.62056,0.002312844568923728
instance,0.01,0.8,0.68391,0.00200729918049105
instance,0.01,0.9,0.74531,0.0014306467069126704
instance,0.2,0.1,0.32582,0.004311554244121244
instance,0.2,0.2,0.36994,0.0035922485994151158
instance,0.2,0.3,0.41559,0.0026361430158472004
instance,0.2,0.4,0.45887,0.0017534252193920352
instance,0.2,0.5,0.50101,0.005389735615037115
instance,0.2,0.6,0.5411300000000001,0.001753425219392052
instance,0.2,0.7000000000000001,0.58441,0.0026361430158471652
instance,0.2,0.8,0.6300600000000001,0.003592248599415067
instance,0.2,0.9,0.67418,0.004311554244121271
instance,0.4,0.1,0.44095000000000006,0.004117493169393235
instance,0.4,0.2,0.45783000000000007,0.0024172815309764927
instance,0.4,0.3,0.47444,0.0020842864486437774
instance,0.4,0.4,0.48844000000000004,0.0009633275663033933
instance,0.4,0.5,0.50101,0.005389735615037115
instance,0.4,0.6,0.51156,0.0009633275663034082
instance,0.4,0.7000000000000001,0.52556,0.002084286448643707
instance,0.4,0.8,0.5421699999999999,0.0024172815309764857
instance,0.4,0.9,0.55905,0.004117493169393238
instance,0.6,0.1,0.4418,0.0034642820323986436
instance,0.6,0.2,0.4545,0.0026720778431774768
instance,0.6,0.3,0.46810999999999997,0.003226724345214502
instance,0.6,0.4,0.48509,0.0024344917334014633
instance,0.6,0.5,0.49899000000000004,0.005389735615037187
instance,0.6,0.6,0.51491,0.0024344917334014637
instance,0.6,0.7000000000000001,0.53189,0.003226724345214522
instance,0.6,0.8,0.5455,0.002672077843177473
instance,0.6,0.9,0.5582,0.003464282032398676
pair,0.01,0.1,0.20936,0.0012675764276760678
pair,0.01,0.2,0.2828,0.0022008521077073787
pair,0.01,0.3,0.35625,0.0038198494734740618
pair,0.01,0.4,0.42935,0.00445926002830066
pair,0.01,0.5,0.50097,0.005392309338307628
pair,0.01,0.6,0.57065,0.0044592600283006704
pair,0.01,0.7000000000000001,0.64375,0.0038198494734740522
pair,0.01,0.8,0.7172,0.0022008521077073752
pair,0.01,0.9,0.79064,0.0012675764276760138
pair,0.2,0.1,0.32384,0.001945314884536704
pair,0.2,0.2,0.36638000000000004,0.002297988250622724
pair,0.2,0.3,0.41059,0.0027612044473381636
pair,0.2,0.4,0.45627000000000006,0.003406170870640531
pair,0.2,0.5,0.50097,0.005392309338307628
pair,0.2,0.6,0.5437299999999999,0.0034061708706404994
pair,0.2,0.7000000000000001,0.58941,0.002761204447338183
pair,0.2,0.8,0.63362,0.002297988250622708
pair,0.2,0.9,0.6761600000000001,0.0019453148845366697
pair,0.4,0.1,0.44268,0.0031166087338644313
pair,0.4,0.2,0.45608000000000004,0.0032022648235272362
pair,0.4,0.3,0.47126999999999997,0.0038174926326058627
pair,0.4,0.4,0.48575,0.0026587120942290743
pair,0.4,0.5,0.50097,0.005392309338307628
pair,0.4,0.6,0.51425,0.0026587120942291593
pair,0.4,0.7000000000000001,0.52873,0.003817492632605887
pair,0.4,0.8,0.54392,0.0032022648235272132
pair,0.4,0.9,0.55732,0.0031166087338644357
pair,0.6,0.1,0.44268,0.0031166087338644313
pair,0.6,0.2,0.45608000000000004,0.0032022648235272362
pair,0.6,0.3,0.47126999999999997,0.0038174926326058627
pair,0.6,0.4,0.48575,0.0026587120942290743
pair,0.6,0.5,0.49903000000000003,0.005392309338307641
pair,0.6,0.6,0.51425,0.0026587120942291593
pair,0.6,0.7000000000000001,0.52873,0.003817492632605887
pair,0.6,0.8,0.54392,0.0032022648235272132
pair,0.6,0.9,0.55732,0.0031166087338644357
sym,0.01,0.1,0.20936,0.0012675764276760678
sym,0.01,0.2,0.2828,0.0022008521077073787
sym,0.01,0.3,0.35625,0.0038198494734740618
sym,0.01,0.4,0.42935,0.00445926002830066
sym,0.01,0.5,0.50097,0.005392309338307628
sym,0.01,0.6,0.57065,0.0044592600283006704
sym,0.01,0.7000000000000001,0.64375,0.0038198494734740522
sym,0.01,0.8,0.7172,0.0022008521077073752
sym,0.01,0.9,0.79064,0.0012675764276760138
sym,0.2,0.1,0.32384,0.001945314884536704
sym,0.2,0.2,0.36638000000000004,0.002297988250622724
sym,0.2,0.3,0.41059,0.0027612044473381636
sym,0.2,0.4,0.45627000000000006,0.003406170870640531
sym,0.2,0.5,0.50097,0.005392309338307628
sym,0.2,0.6,0.5437299999999999,0.0034061708706404994
sym,0.2,0.7000000000000001,0.58941,0.002761204447338183
sym,0.2,0.8,0.63362,0.002297988250622708
sym,0.2,0.9,0.6761600000000001,0.0019453148845366697
sym,0.4,0.1,0.44271000000000005,0.0031421330334662906
sym,0.4,0.2,0.45609,0.0032127480448986296
sym,0.4,0.3,0.47128,0.0038232185393984423
sym,0.4,0.4,0.48574,0.002654571528514539
sym,0.4,0.5,0.50092,0.00529841957568479
sym,0.4,0.6,0.5142599999999999,0.0026545715285145573
sym,0.4,0.7000000000000001,0.5287200000000001,0.00382321853939847
sym,0.4,0.8,0.54391,0.003212748044898626
sym,0.4,0.9,0.5572900000000001,0.0031421330334662403
sym,0.6,0.1,0.44268,0.0031166087338644313
sym,0.6,0.2,0.45608000000000004,0.0032022648235272362
sym,0.6,0.3,0.47126999999999997,0.0038174926326058627
sym,0.6,0.4,0.48575,0.0026587120942290743
sym,0.6,0.5,0.49903000000000003,0.005392309338307641
sym,0.6,0.6,0.51425,0.0026587120942291593
sym,0.6,0.7000000000000001,0.52873,0.003817492632605887
sym,0.6,0.8,0.54392,0.0032022648235272132
sym,0.6,0.9,0.55732,0.0031166087338644357
