noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.4785333333333333,0.02133541656495134
instance,0.01,0.2,0.5032,0.018834955682335838
instance,0.01,0.3,0.5365333333333333,0.014042791745233563
instance,0.01,0.4,0.5757333333333333,0.010355889360380646
instance,0.01,0.5,0.6045333333333334,0.009326187740860534
instance,0.01,0.6,0.6396,0.012583940382708226
instance,0.01,0.7000000000000001,0.6742666666666667,0.01303499563141898
instance,0.01,0.8,0.7109333333333334,0.019093919916501646
instance,0.01,0.9,0.7353333333333334,0.019223827807061628
instance,0.1,0.1,0.4785333333333333,0.02133541656495134
instance,0.1,0.2,0.5032,0.018834955682335838
instance,0.1,0.3,0.5365333333333333,0.014042791745233563
instance,0.1,0.4,0.5757333333333333,0.010355889360380646
instance,0.1,0.5,0.6045333333333334,0.009326187740860534
instance,0.1,0.6,0.6396,0.012583940382708226
instance,0.1,0.7000000000000001,0.6742666666666667,0.01303499563141898
instance,0.1,0.8,0.7109333333333334,0.019093919916501646
instance,0.1,0.9,0.7353333333333334,0.019223827807061628
instance,0.2,0.1,0.4785333333333333,0.02133541656495134
instance,0.2,0.2,0.5032,0.018834955682335838
instance,0.2,0.3,0.5365333333333333,0.014042791745233563
instance,0.2,0.4,0.5757333333333333,0.010355889360380646
instance,0.2,0.5,0.6045333333333334,0.009326187740860534
instance,0.2,0.6,0.6396,0.012583940382708226
instance,0.2,0.7000000000000001,0.6742666666666667,0.01303499563141898
instance,0.2,0.8,0.7109333333333334,0.019093919916501646
instance,0.2,0.9,0.7353333333333334,0.019223827807061628
instance,0.3,0.1,0.4817333333333333,0.026447432137481085
instance,0.3,0.2,0.504,0.02041785710815139
instance,0.3,0.3,0.5384,0.017566382034379692
instance,0.3,0.4,0.5791999999999999,0.01618915961033462
instance,0.3,0.5,0.6076,0.013069047402163624
instance,0.3,0.6,0.6394666666666666,0.012529077291555706
instance,0.3,0.7000000000000001,0.6741333333333334,0.01302476274042814
instance,0.3,0.8,0.7121333333333333,0.018573577409260116
instance,0.3,0.9,0.7382666666666667,0.015695717745791538
pair,0.01,0.1,0.46626666666666666,0.03944503911914796
pair,0.01,0.2,0.4953333333333333,0.03522309848191476
pair,0.01,0.3,0.5338666666666667,0.033387955246698714
pair,0.01,0.4,0.5746666666666667,0.030309514457784802
pair,0.01,0.5,0.6129333333333333,0.021523114190201316
pair,0.01,0.6,0.6437333333333333,0.012298148008722441
pair,0.01,0.7000000000000001,0.6809333333333333,0.005804213029247664
pair,0.01,0.8,0.7145333333333334,0.0034123957045519245
pair,0.01,0.9,0.7418666666666667,0.013444536271495413
pair,0.1,0.1,0.4648,0.037370219872691846
pair,0.1,0.2,0.4926666666666667,0.031421860755425246
pair,0.1,0.3,0.5288,0.02679303392052993
pair,0.1,0.4,0.5676,0.022816173600710907
pair,0.1,0.5,0.6070666666666666,0.01859868573612423
pair,0.1,0.6,0.6413333333333334,0.009718253158075462
pair,0.1,0.7000000000000001,0.6812,0.005781195570314321
pair,0.1,0.8,0.7153333333333334,0.0038873012632301726
pair,0.1,0.9,0.7452,0.009349985145561564
pair,0.2,0.1,0.46533333333333327,0.03698047532895644
pair,0.2,0.2,0.49640000000000006,0.02765099958008348
pair,0.2,0.3,0.53,0.025508168626278697
pair,0.2,0.4,0.5696,0.02071821528135193
pair,0.2,0.5,0.6096,0.016038841742608598
pair,0.2,0.6,0.6432,0.007263301973314573
pair,0.2,0.7000000000000001,0.6833333333333333,0.0026666666666666757
pair,0.2,0.8,0.7178666666666667,0.004676180777800074
pair,0.2,0.9,0.7470666666666667,0.009148163142887697
pair,0.3,0.1,0.46533333333333327,0.03698047532895644
pair,0.3,0.2,0.49640000000000006,0.02765099958008348
pair,0.3,0.3,0.53,0.025508168626278697
pair,0.3,0.4,0.5696,0.02071821528135193
pair,0.3,0.5,0.6096,0.016038841742608598
pair,0.3,0.6,0.6432,0.007263301973314573
pair,0.3,0.7000000000000001,0.6833333333333333,0.0026666666666666757
pair,0.3,0.8,0.7178666666666667,0.004676180777800074
pair,0.3,0.9,0.7470666666666667,0.009148163142887697
sym,0.01,0.1,0.46626666666666666,0.03944503911914796
sym,0.01,0.2,0.4953333333333333,0.03522309848191476
sym,0.01,0.3,0.5338666666666667,0.033387955246698714
sym,0.01,0.4,0.5746666666666667,0.030309514457784802
sym,0.01,0.5,0.6129333333333333,0.021523114190201316
sym,0.01,0.6,0.6437333333333333,0.012298148008722441
sym,0.01,0.7000000000000001,0.6809333333333333,0.005804213029247664
sym,0.01,0.8,0.7145333333333334,0.0034123957045519245
sym,0.01,0.9,0.7418666666666667,0.013444536271495413
sym,0.1,0.1,0.46613333333333334,0.03928924082295874
sym,0.1,0.2,0.4982666666666667,0.03871433842906269
sym,0.1,0.3,0.5361333333333334,0.03584348693354981
sym,0.1,0.4,0.5732,0.02913340961088412
sym,0.1,0.5,0.6088,0.018192794666509554
sym,0.1,0.6,0.6393333333333333,0.011935009193312114
sym,0.1,0.7000000000000001,0.6744,0.011475577932674633
sym,0.1,0.8,0.71,0.011962905629950926
sym,0.1,0.9,0.7388,0.016821943341296147
sym,0.2,0.1,0.4676,0.03865976949980147
sym,0.2,0.2,0.4981333333333334,0.03196317325367499
sym,0.2,0.3,0.5304,0.034420923869065485
sym,0.2,0.4,0.5728,0.029440712551763323
sym,0.2,0.5,0.6093333333333334,0.022519127672072755
sym,0.2,0.6,0.6430666666666667,0.01185654999474035
sym,0.2,0.7000000000000001,0.6794666666666667,0.008786353054595518
sym,0.2,0.8,0.7137333333333333,0.007387677427837352
sym,0.2,0.9,0.7404,0.011847175003162378
sym,0.3,0.1,0.46613333333333334,0.035597752738059166
