noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.19866666666666663,0.03105550586360563
instance,0.01,0.2,0.2653333333333333,0.03812260921465543
instance,0.01,0.3,0.344,0.05974017817925296
instance,0.01,0.4,0.43200000000000005,0.07504072968136116
instance,0.01,0.5,0.5293333333333333,0.06824791409103854
instance,0.01,0.6,0.5606115288220551,0.13702422264043737
instance,0.01,0.7000000000000001,0.5970200501253132,0.1533725497578601
instance,0.01,0.8,0.6661746031746032,0.16403685238165058
instance,0.01,0.9,0.732952380952381,0.19999387745730657
instance,0.1,0.1,0.19866666666666663,0.03105550586360563
instance,0.1,0.2,0.2653333333333333,0.03812260921465543
instance,0.1,0.3,0.344,0.05974017817925296
instance,0.1,0.4,0.43200000000000005,0.07504072968136116
instance,0.1,0.5,0.5293333333333333,0.06824791409103854
instance,0.1,0.6,0.5606115288220551,0.13702422264043737
instance,0.1,0.7000000000000001,0.5970200501253132,0.1533725497578601
instance,0.1,0.8,0.6661746031746032,0.16403685238165058
instance,0.1,0.9,0.732952380952381,0.19999387745730657
instance,0.2,0.1,0.19866666666666663,0.03105550586360563
instance,0.2,0.2,0.2653333333333333,0.03812260921465543
instance,0.2,0.3,0.344,0.05974017817925296
instance,0.2,0.4,0.43200000000000005,0.07504072968136116
instance,0.2,0.5,0.5293333333333333,0.06824791409103854
instance,0.2,0.6,0.5606115288220551,0.13702422264043737
instance,0.2,0.7000000000000001,0.5970200501253132,0.1533725497578601
instance,0.2,0.8,0.6661746031746032,0.16403685238165058
instance,0.2,0.9,0.732952380952381,0.19999387745730657
instance,0.3,0.1,0.19866666666666663,0.03105550586360563
instance,0.3,0.2,0.2653333333333333,0.03812260921465543
instance,0.3,0.3,0.344,0.05974017817925296
instance,0.3,0.4,0.43200000000000005,0.07504072968136116
instance,0.3,0.5,0.5293333333333333,0.06824791409103854
instance,0.3,0.6,0.5606115288220551,0.13702422264043737
instance,0.3,0.7000000000000001,0.5970200501253132,0.1533725497578601
instance,0.3,0.8,0.6661746031746032,0.16403685238165058
instance,0.3,0.9,0.732952380952381,0.19999387745730657
pair,0.01,0.1,0.2022222222222222,0.02775554665954844
pair,0.01,0.2,0.2711111111111111,0.03790827135384881
pair,0.01,0.3,0.3444444444444444,0.08388704928078614
pair,0.01,0.4,0.4511111111111111,0.09895752923649925
pair,0.01,0.5,0.5466666666666667,0.08743251365736002
pair,0.01,0.6,0.511812865497076,0.14881178435604392
pair,0.01,0.7000000000000001,0.5175730994152047,0.13617415515984482
pair,0.01,0.8,0.5808465608465608,0.14134662915160154
pair,0.01,0.9,0.626031746031746,0.16045946877224068
pair,0.1,0.1,0.19866666666666663,0.03105550586360563
pair,0.1,0.2,0.2653333333333333,0.03812260921465543
pair,0.1,0.3,0.344,0.05974017817925296
pair,0.1,0.4,0.43200000000000005,0.07504072968136116
pair,0.1,0.5,0.5293333333333333,0.06824791409103854
pair,0.1,0.6,0.5606115288220551,0.13702422264043737
pair,0.1,0.7000000000000001,0.5970200501253132,0.1533725497578601
pair,0.1,0.8,0.6661746031746032,0.16403685238165058
pair,0.1,0.9,0.732952380952381,0.19999387745730657
pair,0.2,0.1,0.19866666666666663,0.03105550586360563
pair,0.2,0.2,0.2653333333333333,0.03812260921465543
pair,0.2,0.3,0.344,0.05974017817925296
pair,0.2,0.4,0.43200000000000005,0.07504072968136116
pair,0.2,0.5,0.5293333333333333,0.06824791409103854
pair,0.2,0.6,0.5606115288220551,0.13702422264043737
pair,0.2,0.7000000000000001,0.5970200501253132,0.1533725497578601
pair,0.2,0.8,0.6661746031746032,0.16403685238165058
pair,0.2,0.9,0.732952380952381,0.19999387745730657
pair,0.3,0.1,0.19866666666666663,0.03105550586360563
pair,0.3,0.2,0.2653333333333333,0.03812260921465543
pair,0.3,0.3,0.344,0.05974017817925296
pair,0.3,0.4,0.43200000000000005,0.07504072968136116
pair,0.3,0.5,0.5293333333333333,0.06824791409103854
pair,0.3,0.6,0.5606115288220551,0.13702422264043737
pair,0.3,0.7000000000000001,0.5970200501253132,0.1533725497578601
pair,0.3,0.8,0.6661746031746032,0.16403685238165058
pair,0.3,0.9,0.732952380952381,0.19999387745730657
sym,0.01,0.1,0.19866666666666663,0.03105550586360563
sym,0.01,0.2,0.2653333333333333,0.03812260921465543
sym,0.01,0.3,0.344,0.05974017817925296
sym,0.01,0.4,0.43200000000000005,0.07504072968136116
sym,0.01,0.5,0.5293333333333333,0.06824791409103854
sym,0.01,0.6,0.5606115288220551,0.13702422264043737
sym,0.01,0.7000000000000001,0.5970200501253132,0.1533725497578601
sym,0.01,0.8,0.6661746031746032,0.16403685238165058
sym,0.01,0.9,0.732952380952381,0.19999387745730657
sym,0.1,0.1,0.19866666666666663,0.03105550586360563
sym,0.1,0.2,0.2653333333333333,0.03812260921465543
sym,0.1,0.3,0.344,0.05974017817925296
sym,0.1,0.4,0.43200000000000005,0.07504072968136116
sym,0.1,0.5,0.5293333333333333,0.06824791409103854
sym,0.1,0.6,0.5606115288220551,0.13702422264043737
sym,0.1,0.7000000000000001,0.5970200501253132,0.1533725497578601
sym,0.1,0.8,0.6661746031746032,0.16403685238165058
sym,0.1,0.9,0.732952380952381,0.19999387745730657
sym,0.2,0.1,0.19866666666666663,0.03105550586360563
sym,0.2,0.2,0.2653333333333333,0.03812260921465543
sym,0.2,0.3,0.344,0.05974017817925296
sym,0.2,0.4,0.43200000000000005,0.07504072968136116
sym,0.2,0.5,0.5293333333333333,0.06824791409103854
sym,0.2,0.6,0.5606115288220551,0.13702422264043737
sym,0.2,0.7000000000000001,0.5970200501253132,0.1533725497578601
sym,0.2,0.8,0.6661746031746032,0.16403685238165058
sym,0.2,0.9,0.732952380952381,0.19999387745730657
sym,0.3,0.1,0.19866666666666663,0.03105550586360563
sym,0.3,0.2,0.2653333333333333,0.03812260921465543
sym,0.3,0.3,0.344,0.05974017817925296
sym,0.3,0.4,0.43200000000000005,0.07504072968136116
sym,0.3,0.5,0.5293333333333333,0.06824791409103854
sym,0.3,0.6,0.5606115288220551,0.13702422264043737
sym,0.3,0.7000000000000001,0.5970200501253132,0.1533725497578601
sym,0.3,0.8,0.6661746031746032,0.16403685238165058
sym,0.3,0.9,0.732952380952381,0.19999387745730657
