noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.4923317683881064,0.006941550897094504
instance,0.01,0.2,0.49428794992175273,0.003012773600653889
instance,0.01,0.3,0.49624413145539903,0.009424654445768364
instance,0.01,0.4,0.49687010954616595,0.010066260039333792
instance,0.01,0.5,0.4911580594679186,0.013655772488466326
instance,0.01,0.6,0.503129890453834,0.0100662600393338
instance,0.01,0.7000000000000001,0.5037558685446009,0.00942465444576839
instance,0.01,0.8,0.5057120500782473,0.0030127736006538932
instance,0.01,0.9,0.5076682316118936,0.006941550897094508
instance,0.2,0.1,0.49241001564945225,0.008689498413140208
instance,0.2,0.2,0.49420970266040687,0.008062695921311341
instance,0.2,0.3,0.49945226917057906,0.010204444923289901
instance,0.2,0.4,0.4964788732394366,0.008682449538799744
instance,0.2,0.5,0.4875586854460094,0.009524816425194763
instance,0.2,0.6,0.5035211267605634,0.008682449538799734
instance,0.2,0.7000000000000001,0.500547730829421,0.010204444923289918
instance,0.2,0.8,0.5057902973395931,0.0080626959213113
instance,0.2,0.9,0.5075899843505478,0.008689498413140205
instance,0.4,0.1,0.4921752738654147,0.007144750535113358
instance,0.4,0.2,0.49162754303599365,0.005619384697736989
instance,0.4,0.3,0.49280125195618146,0.007654646072861089
instance,0.4,0.4,0.4938967136150234,0.0036763724447053257
instance,0.4,0.5,0.4927230046948356,0.014765218822747068
instance,0.4,0.6,0.5061032863849765,0.003676372444705273
instance,0.4,0.7000000000000001,0.5071987480438185,0.007654646072861093
instance,0.4,0.8,0.5083724569640062,0.005619384697737054
instance,0.4,0.9,0.5078247261345853,0.007144750535113289
pair,0.01,0.1,0.4978090766823161,0.008209439246605055
pair,0.01,0.2,0.5003912363067292,0.005723293755214339
pair,0.01,0.3,0.4995305164319249,0.010924533923886629
pair,0.01,0.4,0.49827856025039124,0.008484507538731628
pair,0.01,0.5,0.49162754303599365,0.014020787003772734
pair,0.01,0.6,0.5017214397496088,0.008484507538731622
pair,0.01,0.7000000000000001,0.5004694835680751,0.010924533923886669
pair,0.01,0.8,0.4996087636932707,0.005723293755214308
pair,0.01,0.9,0.5021909233176839,0.008209439246605093
pair,0.2,0.1,0.4932707355242566,0.00489749102450268
pair,0.2,0.2,0.4950704225352113,0.007296321116230939
pair,0.2,0.3,0.49640062597809076,0.004689942677148996
pair,0.2,0.4,0.5001564945226917,0.003383685181602453
pair,0.2,0.5,0.4963223787167449,0.01634927796093821
pair,0.2,0.6,0.49984350547730827,0.003383685181602481
pair,0.2,0.7000000000000001,0.5035993740219092,0.004689942677149016
pair,0.2,0.8,0.5049295774647887,0.007296321116230927
pair,0.2,0.9,0.5067292644757433,0.004897491024502691
pair,0.4,0.1,0.49444444444444446,0.007157593116840786
pair,0.4,0.2,0.4949921752738654,0.006543127509270525
pair,0.4,0.3,0.49710485133020343,0.008689498413140226
pair,0.4,0.4,0.5017996870109547,0.01396883469198422
pair,0.4,0.5,0.4963223787167449,0.01634927796093821
pair,0.4,0.6,0.4982003129890454,0.013968834691984238
pair,0.4,0.7000000000000001,0.5028951486697966,0.008689498413140264
pair,0.4,0.8,0.5050078247261346,0.006543127509270538
pair,0.4,0.9,0.5055555555555555,0.007157593116840773
sym,0.01,0.1,0.4978090766823161,0.008209439246605055
sym,0.01,0.2,0.5003912363067292,0.005723293755214339
sym,0.01,0.3,0.4995305164319249,0.010924533923886629
sym,0.01,0.4,0.49827856025039124,0.008484507538731628
sym,0.01,0.5,0.49162754303599365,0.014020787003772734
sym,0.01,0.6,0.5017214397496088,0.008484507538731622
sym,0.01,0.7000000000000001,0.5004694835680751,0.010924533923886669
sym,0.01,0.8,0.4996087636932707,0.005723293755214308
sym,0.01,0.9,0.5021909233176839,0.008209439246605093
sym,0.2,0.1,0.4932707355242566,0.00489749102450268
sym,0.2,0.2,0.4950704225352113,0.007296321116230939
sym,0.2,0.3,0.49640062597809076,0.004689942677148996
sym,0.2,0.4,0.5001564945226917,0.003383685181602453
sym,0.2,0.5,0.4963223787167449,0.01634927796093821
sym,0.2,0.6,0.49984350547730827,0.003383685181602481
sym,0.2,0.7000000000000001,0.5035993740219092,0.004689942677149016
sym,0.2,0.8,0.5049295774647887,0.007296321116230927
sym,0.2,0.9,0.5067292644757433,0.004897491024502691
sym,0.4,0.1,0.49444444444444446,0.007157593116840786
sym,0.4,0.2,0.4949921752738654,0.006543127509270525
sym,0.4,0.3,0.49710485133020343,0.008689498413140226
sym,0.4,0.4,0.5017996870109547,0.01396883469198422
sym,0.4,0.5,0.4963223787167449,0.01634927796093821
sym,0.4,0.6,0.4982003129890454,0.013968834691984238
sym,0.4,0.7000000000000001,0.5028951486697966,0.008689498413140264
sym,0.4,0.8,0.5050078247261346,0.006543127509270538
sym,0.4,0.9,0.5055555555555555,0.007157593116840773
