noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.49522691705790295,0.014394625317658004
instance,0.01,0.2,0.49405320813771514,0.01387207207782627
instance,0.01,0.3,0.4927230046948357,0.015825980114883058
instance,0.01,0.4,0.4950704225352112,0.016160948485033102
instance,0.01,0.5,0.49827856025039124,0.014778171453290896
instance,0.01,0.6,0.49773082942097024,0.009628706245067472
instance,0.01,0.7000000000000001,0.4991392801251956,0.007295272115993173
instance,0.01,0.8,0.5,0.008620526031506542
instance,0.01,0.9,0.5000782472613458,0.004897491024502731
instance,0.1,0.1,0.5060250391236306,0.013795171925327076
instance,0.1,0.2,0.5053208137715179,0.014186295378290546
instance,0.1,0.3,0.5055555555555555,0.016675572719469726
instance,0.1,0.4,0.5068075117370892,0.01528477684983743
instance,0.1,0.5,0.5075117370892018,0.012311206374505487
instance,0.1,0.6,0.503677621283255,0.009068752944639378
instance,0.1,0.7000000000000001,0.5011737089201878,0.007240514680485852
instance,0.1,0.8,0.5012519561815336,0.008506128743986988
instance,0.1,0.9,0.49992175273865413,0.004897491024502709
instance,0.2,0.1,0.5060250391236306,0.013795171925327076
instance,0.2,0.2,0.5053208137715179,0.014186295378290546
instance,0.2,0.3,0.5055555555555555,0.016675572719469726
instance,0.2,0.4,0.5068075117370892,0.01528477684983743
instance,0.2,0.5,0.5075117370892018,0.012311206374505487
instance,0.2,0.6,0.503677621283255,0.009068752944639378
instance,0.2,0.7000000000000001,0.5011737089201878,0.007240514680485852
instance,0.2,0.8,0.5012519561815336,0.008506128743986988
instance,0.2,0.9,0.49992175273865413,0.004897491024502709
instance,0.3,0.1,0.5060250391236306,0.013795171925327076
instance,0.3,0.2,0.5053208137715179,0.014186295378290546
instance,0.3,0.3,0.5055555555555555,0.016675572719469726
instance,0.3,0.4,0.5068075117370892,0.01528477684983743
instance,0.3,0.5,0.5075117370892018,0.012311206374505487
instance,0.3,0.6,0.503677621283255,0.009068752944639378
instance,0.3,0.7000000000000001,0.5011737089201878,0.007240514680485852
instance,0.3,0.8,0.5012519561815336,0.008506128743986988
instance,0.3,0.9,0.49992175273865413,0.004897491024502709
pair,0.01,0.1,0.4955399061032864,0.01451955894790041
pair,0.01,0.2,0.4953051643192488,0.014459873718760872
pair,0.01,0.3,0.49726134585289516,0.01752939500564935
pair,0.01,0.4,0.49851330203442873,0.016993802836962144
pair,0.01,0.5,0.4993740219092332,0.014886528618339057
pair,0.01,0.6,0.4983568075117371,0.009786383443737745
pair,0.01,0.7000000000000001,0.5019561815336463,0.007025933097053213
pair,0.01,0.8,0.5031298904538342,0.007878337466980545
pair,0.01,0.9,0.5028951486697966,0.003676372444705349
pair,0.1,0.1,0.4960093896713615,0.014689347347895928
pair,0.1,0.2,0.4965571205007825,0.01489372439960583
pair,0.1,0.3,0.4980438184663537,0.017659888581052233
pair,0.1,0.4,0.5008607198748043,0.01704776011779789
pair,0.1,0.5,0.5004694835680751,0.014893724399605767
pair,0.1,0.6,0.501017214397496,0.009892168439560036
pair,0.1,0.7000000000000001,0.5033646322378716,0.006324247465496174
pair,0.1,0.8,0.5061032863849766,0.005267906433165068
pair,0.1,0.9,0.5032081377151799,0.003335848786743714
pair,0.2,0.1,0.49569640062597803,0.01457847487002089
pair,0.2,0.2,0.4953051643192488,0.014459873718760853
pair,0.2,0.3,0.4935054773082942,0.016245966920886902
pair,0.2,0.4,0.4974178403755868,0.01682907418740402
pair,0.2,0.5,0.4993740219092332,0.01488652861833907
pair,0.2,0.6,0.5003912363067292,0.00994771685061906
pair,0.2,0.7000000000000001,0.500547730829421,0.007332941585620258
pair,0.2,0.8,0.5029733959311424,0.00795374847827828
pair,0.2,0.9,0.5003912363067292,0.004878702626502362
pair,0.3,0.1,0.4906885758998435,0.011282945782671918
pair,0.3,0.2,0.49123630672926444,0.011859042999739057
pair,0.3,0.3,0.4894366197183098,0.01331066184366511
pair,0.3,0.4,0.4946009389671362,0.015972315059716566
pair,0.3,0.5,0.492018779342723,0.011936234374462352
pair,0.3,0.6,0.49585289514866976,0.008811941019991637
pair,0.3,0.7000000000000001,0.49600938967136143,0.005851566468151582
pair,0.3,0.8,0.49968701095461654,0.008613420713149916
pair,0.3,0.9,0.49992175273865413,0.004897491024502733
sym,0.01,0.1,0.4955399061032864,0.01451955894790041
sym,0.01,0.2,0.4953051643192488,0.014459873718760872
sym,0.01,0.3,0.49726134585289516,0.01752939500564935
sym,0.01,0.4,0.49851330203442873,0.016993802836962144
sym,0.01,0.5,0.4993740219092332,0.014886528618339057
sym,0.01,0.6,0.4983568075117371,0.009786383443737745
sym,0.01,0.7000000000000001,0.5019561815336463,0.007025933097053213
sym,0.01,0.8,0.5031298904538342,0.007878337466980545
sym,0.01,0.9,0.5028951486697966,0.003676372444705349
sym,0.1,0.1,0.4960093896713615,0.014689347347895928
sym,0.1,0.2,0.4965571205007825,0.01489372439960583
sym,0.1,0.3,0.4980438184663537,0.017659888581052233
sym,0.1,0.4,0.5008607198748043,0.01704776011779789
sym,0.1,0.5,0.5004694835680751,0.014893724399605767
sym,0.1,0.6,0.501017214397496,0.009892168439560036
sym,0.1,0.7000000000000001,0.5033646322378716,0.006324247465496174
sym,0.1,0.8,0.5061032863849766,0.005267906433165068
sym,0.1,0.9,0.5032081377151799,0.003335848786743714
sym,0.2,0.1,0.49569640062597803,0.01457847487002089
sym,0.2,0.2,0.4953051643192488,0.014459873718760853
sym,0.2,0.3,0.4935054773082942,0.016245966920886902
sym,0.2,0.4,0.4974178403755868,0.01682907418740402
sym,0.2,0.5,0.4993740219092332,0.01488652861833907
sym,0.2,0.6,0.5003912363067292,0.00994771685061906
sym,0.2,0.7000000000000001,0.500547730829421,0.007332941585620258
sym,0.2,0.8,0.5029733959311424,0.00795374847827828
sym,0.2,0.9,0.5003912363067292,0.004878702626502362
sym,0.3,0.1,0.4906885758998435,0.011282945782671918
sym,0.3,0.2,0.49123630672926444,0.011859042999739057
sym,0.3,0.3,0.4894366197183098,0.01331066184366511
