noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.7864199999999999,0.00524697531917201
instance,0.01,0.2,0.8068899999999999,0.004087389142227608
instance,0.01,0.3,0.8274100000000001,0.0028786715686233
instance,0.01,0.4,0.8482900000000001,0.0030065345499429206
instance,0.01,0.5,0.86914,0.001844383365789207
instance,0.01,0.6,0.88765,0.003257107612591247
instance,0.01,0.7000000000000001,0.90833,0.0020495731262875293
instance,0.01,0.8,0.92929,0.0014638989036132048
instance,0.01,0.9,0.94995,0.0010018732454757007
instance,0.2,0.1,0.81092,0.0064928422127755354
instance,0.2,0.2,0.8288800000000001,0.006294501568829782
instance,0.2,0.3,0.8468199999999999,0.0052160329753559095
instance,0.2,0.4,0.86366,0.004865362268115301
instance,0.2,0.5,0.88135,0.004653896217149694
instance,0.2,0.6,0.89709,0.004023897364496216
instance,0.2,0.7000000000000001,0.9168200000000001,0.0017764430753615373
instance,0.2,0.8,0.9320600000000001,0.0026027389419609514
instance,0.2,0.9,0.95171,0.0012254590976445907
instance,0.4,0.1,0.84345,0.007677646123650176
instance,0.4,0.2,0.85815,0.007387827826905523
instance,0.4,0.3,0.87033,0.006540317270591711
instance,0.4,0.4,0.88545,0.006181727104944089
instance,0.4,0.5,0.8988099999999999,0.00321177521006683
instance,0.4,0.6,0.91112,0.0029741805594146633
instance,0.4,0.7000000000000001,0.9259299999999999,0.004102225006018086
instance,0.4,0.8,0.93969,0.0025202678429087767
instance,0.4,0.9,0.9528800000000001,0.0018092125358840647
pair,0.01,0.1,0.7689,0.011258163704618955
pair,0.01,0.2,0.79287,0.010299550961085646
pair,0.01,0.3,0.81425,0.008743569065318764
pair,0.01,0.4,0.83642,0.006995051822538589
pair,0.01,0.5,0.85847,0.005631007902676049
pair,0.01,0.6,0.87965,0.006739343439831519
pair,0.01,0.7000000000000001,0.90367,0.00360010416515965
pair,0.01,0.8,0.9267899999999999,0.0009613792175827314
pair,0.01,0.9,0.9490500000000001,0.0013633598204435744
pair,0.2,0.1,0.8057399999999999,0.010399603357820938
pair,0.2,0.2,0.82431,0.010320695228520218
pair,0.2,0.3,0.84328,0.00769866871608331
pair,0.2,0.4,0.85978,0.008251484714886098
pair,0.2,0.5,0.8770300000000001,0.005647853574589147
pair,0.2,0.6,0.8966799999999999,0.004483246591478102
pair,0.2,0.7000000000000001,0.914,0.0031054387773710394
pair,0.2,0.8,0.93287,0.0020474374227311973
pair,0.2,0.9,0.9507099999999999,0.0022400892839348836
pair,0.4,0.1,0.83794,0.005730335941286503
pair,0.4,0.2,0.85344,0.006110380511883065
pair,0.4,0.3,0.8661999999999999,0.004619117881154363
pair,0.4,0.4,0.88222,0.005363720723527622
pair,0.4,0.5,0.89591,0.003060310441768926
pair,0.4,0.6,0.9100400000000001,0.003529412132352916
pair,0.4,0.7000000000000001,0.9242000000000001,0.002782310191190059
pair,0.4,0.8,0.93832,0.0024221890925359263
pair,0.4,0.9,0.95321,0.0017447779228314075
sym,0.01,0.1,0.7683199999999999,0.011941084540358993
sym,0.01,0.2,0.7902899999999999,0.0103445879569947
sym,0.01,0.3,0.81464,0.008832001471920137
sym,0.01,0.4,0.8368500000000001,0.007223226425912466
sym,0.01,0.5,0.85929,0.006038460068593696
sym,0.01,0.6,0.87959,0.004909735227076914
sym,0.01,0.7000000000000001,0.90406,0.0035803980225667595
sym,0.01,0.8,0.92653,0.0012512993247021835
sym,0.01,0.9,0.94824,0.0018565424853743651
sym,0.2,0.1,0.8058299999999999,0.010641052579514903
sym,0.2,0.2,0.82506,0.009251378275694916
sym,0.2,0.3,0.8431899999999999,0.007680527325646308
sym,0.2,0.4,0.8603799999999999,0.007580699176197345
sym,0.2,0.5,0.8773899999999999,0.004713199550199422
sym,0.2,0.6,0.89652,0.003342828143952352
sym,0.2,0.7000000000000001,0.9136,0.0021644860821912943
sym,0.2,0.8,0.93337,0.001706824536969187
sym,0.2,0.9,0.9509599999999999,0.0010865081684000217
sym,0.4,0.1,0.8476100000000001,0.007266395254870174
sym,0.4,0.2,0.85972,0.006962722168807251
sym,0.4,0.3,0.8745100000000001,0.004479174031001763
sym,0.4,0.4,0.8873200000000001,0.00481684544074229
sym,0.4,0.5,0.90134,0.004809807688463265
sym,0.4,0.6,0.9126900000000001,0.0028998706867720487
sym,0.4,0.7000000000000001,0.9276899999999999,0.001851823425707778
sym,0.4,0.8,0.94086,0.0011802542099056273
sym,0.4,0.9,0.9528000000000001,0.000795298686029349
