noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.27186392629340894,0.0029021732263137955
instance,0.01,0.2,0.3279588944011339,0.004808386514922705
instance,0.01,0.3,0.3834868887313962,0.006984101678912509
instance,0.01,0.4,0.4420269312544295,0.007757945156055494
instance,0.01,0.5,0.502338766832034,0.008457783637892673
instance,0.01,0.6,0.5579730687455705,0.0077579451560554746
instance,0.01,0.7000000000000001,0.6165131112686039,0.006984101678912517
instance,0.01,0.8,0.672041105598866,0.004808386514922741
instance,0.01,0.9,0.7281360737065911,0.002902173226313762
instance,0.2,0.1,0.3403968816442239,0.004287958830203977
instance,0.2,0.2,0.3777108433734939,0.0031803561945396683
instance,0.2,0.3,0.41488306165839833,0.005571436997032888
instance,0.2,0.4,0.45563430191353643,0.006505883200640987
instance,0.2,0.5,0.502338766832034,0.008457783637892673
instance,0.2,0.6,0.5443656980864635,0.006505883200640913
instance,0.2,0.7000000000000001,0.5851169383416017,0.005571436997032905
instance,0.2,0.8,0.6222891566265061,0.003180356194539701
instance,0.2,0.9,0.659603118355776,0.004287958830204011
instance,0.4,0.1,0.44829907866761154,0.0027913473555362116
instance,0.4,0.2,0.46194188518781,0.005346882780766943
instance,0.4,0.3,0.4718284904323175,0.0073492045187654575
instance,0.4,0.4,0.4827427356484762,0.008682328336086568
instance,0.4,0.5,0.502338766832034,0.008457783637892673
instance,0.4,0.6,0.5172572643515239,0.0086823283360865
instance,0.4,0.7000000000000001,0.5281715095676824,0.007349204518765445
instance,0.4,0.8,0.5380581148121899,0.005346882780766907
instance,0.4,0.9,0.5517009213323883,0.0027913473555362107
pair,0.01,0.1,0.23107725017717926,0.0034864277466332577
pair,0.01,0.2,0.2982990786676116,0.00832987734817854
pair,0.01,0.3,0.3653082919914954,0.01008475595156694
pair,0.01,0.4,0.43185683912119066,0.008994009683569911
pair,0.01,0.5,0.502338766832034,0.008457783637892673
pair,0.01,0.6,0.5681431608788093,0.00899400968356993
pair,0.01,0.7000000000000001,0.6346917080085046,0.010084755951566958
pair,0.01,0.8,0.7017009213323884,0.008329877348178506
pair,0.01,0.9,0.7689227498228207,0.003486427746633245
pair,0.2,0.1,0.3344436569808646,0.0013235187382695042
pair,0.2,0.2,0.37742735648476256,0.004439040008085062
pair,0.2,0.3,0.41793054571226074,0.0054197756529508175
pair,0.2,0.4,0.4592487597448618,0.005340420578703606
pair,0.2,0.5,0.502338766832034,0.008457783637892673
pair,0.2,0.6,0.5407512402551382,0.005340420578703595
pair,0.2,0.7000000000000001,0.5820694542877393,0.005419775652950858
pair,0.2,0.8,0.6225726435152374,0.00443904000808504
pair,0.2,0.9,0.6655563430191354,0.0013235187382695391
pair,0.4,0.1,0.4432317505315379,0.006649065091974826
pair,0.4,0.2,0.459355067328136,0.008356216352132666
pair,0.4,0.3,0.47498228206945425,0.007524803225422398
pair,0.4,0.4,0.4870304748405386,0.0061700642110522055
pair,0.4,0.5,0.502338766832034,0.008457783637892673
pair,0.4,0.6,0.5129695251594614,0.006170064211052168
pair,0.4,0.7000000000000001,0.5250177179305457,0.007524803225422403
pair,0.4,0.8,0.5406449326718639,0.00835621635213266
pair,0.4,0.9,0.556768249468462,0.006649065091974826
sym,0.01,0.1,0.23107725017717926,0.0034864277466332577
sym,0.01,0.2,0.2982990786676116,0.00832987734817854
sym,0.01,0.3,0.3653082919914954,0.01008475595156694
sym,0.01,0.4,0.43185683912119066,0.008994009683569911
sym,0.01,0.5,0.502338766832034,0.008457783637892673
sym,0.01,0.6,0.5681431608788093,0.00899400968356993
sym,0.01,0.7000000000000001,0.6346917080085046,0.010084755951566958
sym,0.01,0.8,0.7017009213323884,0.008329877348178506
sym,0.01,0.9,0.7689227498228207,0.003486427746633245
sym,0.2,0.1,0.3344436569808646,0.0013235187382695042
sym,0.2,0.2,0.37742735648476256,0.004439040008085062
sym,0.2,0.3,0.41793054571226074,0.0054197756529508175
sym,0.2,0.4,0.4592487597448618,0.005340420578703606
sym,0.2,0.5,0.502338766832034,0.008457783637892673
sym,0.2,0.6,0.5407512402551382,0.005340420578703595
sym,0.2,0.7000000000000001,0.5820694542877393,0.005419775652950858
sym,0.2,0.8,0.6225726435152374,0.00443904000808504
sym,0.2,0.9,0.6655563430191354,0.0013235187382695391
sym,0.4,0.1,0.4432317505315379,0.006649065091974826
sym,0.4,0.2,0.459355067328136,0.008356216352132666
sym,0.4,0.3,0.47498228206945425,0.007524803225422398
sym,0.4,0.4,0.4870304748405386,0.0061700642110522055
sym,0.4,0.5,0.502338766832034,0.008457783637892673
sym,0.4,0.6,0.5129695251594614,0.006170064211052168
sym,0.4,0.7000000000000001,0.5250177179305457,0.007524803225422403
sym,0.4,0.8,0.5406449326718639,0.00835621635213266
sym,0.4,0.9,0.556768249468462,0.006649065091974826
