noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.24610205527994328,0.0030094414867936057
instance,0.01,0.2,0.3001063075832742,0.005623035863970723
instance,0.01,0.3,0.36523742026931255,0.003034373426687826
instance,0.01,0.4,0.43451452870304746,0.0031386252518221802
instance,0.01,0.5,0.5010985116938341,0.004538696136824375
instance,0.01,0.6,0.5696669029057406,0.00871462857487698
instance,0.01,0.7000000000000001,0.6385896527285613,0.004415996479000552
instance,0.01,0.8,0.705598866052445,0.005018586234216097
instance,0.01,0.9,0.7554925584691708,0.0034424803734453596
instance,0.1,0.1,0.24610205527994328,0.0030094414867936057
instance,0.1,0.2,0.3001063075832742,0.005623035863970723
instance,0.1,0.3,0.36523742026931255,0.003034373426687826
instance,0.1,0.4,0.43451452870304746,0.0031386252518221802
instance,0.1,0.5,0.5010985116938341,0.004538696136824375
instance,0.1,0.6,0.5696669029057406,0.00871462857487698
instance,0.1,0.7000000000000001,0.6385896527285613,0.004415996479000552
instance,0.1,0.8,0.705598866052445,0.005018586234216097
instance,0.1,0.9,0.7554925584691708,0.0034424803734453596
instance,0.2,0.1,0.24610205527994328,0.0030094414867936057
instance,0.2,0.2,0.3001063075832742,0.005623035863970723
instance,0.2,0.3,0.36523742026931255,0.003034373426687826
instance,0.2,0.4,0.43451452870304746,0.0031386252518221802
instance,0.2,0.5,0.5010985116938341,0.004538696136824375
instance,0.2,0.6,0.5696669029057406,0.00871462857487698
instance,0.2,0.7000000000000001,0.6385896527285613,0.004415996479000552
instance,0.2,0.8,0.705598866052445,0.005018586234216097
instance,0.2,0.9,0.7554925584691708,0.0034424803734453596
instance,0.3,0.1,0.24610205527994328,0.0030094414867936057
instance,0.3,0.2,0.3001063075832742,0.005623035863970723
instance,0.3,0.3,0.36523742026931255,0.003034373426687826
instance,0.3,0.4,0.43451452870304746,0.0031386252518221802
instance,0.3,0.5,0.5010985116938341,0.004538696136824375
instance,0.3,0.6,0.5696669029057406,0.00871462857487698
instance,0.3,0.7000000000000001,0.6385896527285613,0.004415996479000552
instance,0.3,0.8,0.705598866052445,0.005018586234216097
instance,0.3,0.9,0.7554925584691708,0.0034424803734453596
pair,0.01,0.1,0.24610205527994328,0.0030094414867936057
pair,0.01,0.2,0.3001063075832742,0.005623035863970723
pair,0.01,0.3,0.36523742026931255,0.003034373426687826
pair,0.01,0.4,0.43451452870304746,0.0031386252518221802
pair,0.01,0.5,0.5010985116938341,0.004538696136824375
pair,0.01,0.6,0.5696669029057406,0.00871462857487698
pair,0.01,0.7000000000000001,0.6385896527285613,0.004415996479000552
pair,0.01,0.8,0.705598866052445,0.005018586234216097
pair,0.01,0.9,0.7554925584691708,0.0034424803734453596
pair,0.1,0.1,0.24610205527994328,0.0030094414867936057
pair,0.1,0.2,0.3001063075832742,0.005623035863970723
pair,0.1,0.3,0.36523742026931255,0.003034373426687826
pair,0.1,0.4,0.43451452870304746,0.0031386252518221802
pair,0.1,0.5,0.5010985116938341,0.004538696136824375
pair,0.1,0.6,0.5696669029057406,0.00871462857487698
pair,0.1,0.7000000000000001,0.6385896527285613,0.004415996479000552
pair,0.1,0.8,0.705598866052445,0.005018586234216097
pair,0.1,0.9,0.7554925584691708,0.0034424803734453596
pair,0.2,0.1,0.24610205527994328,0.0030094414867936057
pair,0.2,0.2,0.3001063075832742,0.005623035863970723
pair,0.2,0.3,0.36523742026931255,0.003034373426687826
pair,0.2,0.4,0.43451452870304746,0.0031386252518221802
pair,0.2,0.5,0.5010985116938341,0.004538696136824375
pair,0.2,0.6,0.5696669029057406,0.00871462857487698
pair,0.2,0.7000000000000001,0.6385896527285613,0.004415996479000552
pair,0.2,0.8,0.705598866052445,0.005018586234216097
pair,0.2,0.9,0.7554925584691708,0.0034424803734453596
pair,0.3,0.1,0.24610205527994328,0.0030094414867936057
pair,0.3,0.2,0.3001063075832742,0.005623035863970723
pair,0.3,0.3,0.36523742026931255,0.003034373426687826
pair,0.3,0.4,0.43451452870304746,0.0031386252518221802
pair,0.3,0.5,0.5010985116938341,0.004538696136824375
pair,0.3,0.6,0.5696669029057406,0.00871462857487698
pair,0.3,0.7000000000000001,0.6385896527285613,0.004415996479000552
pair,0.3,0.8,0.705598866052445,0.005018586234216097
pair,0.3,0.9,0.7554925584691708,0.0034424803734453596
sym,0.01,0.1,0.24610205527994328,0.0030094414867936057
sym,0.01,0.2,0.3001063075832742,0.005623035863970723
sym,0.01,0.3,0.36523742026931255,0.003034373426687826
sym,0.01,0.4,0.43451452870304746,0.0031386252518221802
sym,0.01,0.5,0.5010985116938341,0.004538696136824375
sym,0.01,0.6,0.5696669029057406,0.00871462857487698
sym,0.01,0.7000000000000001,0.6385896527285613,0.004415996479000552
sym,0.01,0.8,0.705598866052445,0.005018586234216097
sym,0.01,0.9,0.7554925584691708,0.0034424803734453596
sym,0.1,0.1,0.24610205527994328,0.0030094414867936057
sym,0.1,0.2,0.3001063075832742,0.005623035863970723
sym,0.1,0.3,0.36523742026931255,0.003034373426687826
sym,0.1,0.4,0.43451452870304746,0.0031386252518221802
sym,0.1,0.5,0.5010985116938341,0.004538696136824375
sym,0.1,0.6,0.5696669029057406,0.00871462857487698
