noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.285084,0.0029126414128759328
instance,0.1,0.2,0.363568,0.002684496228345279
instance,0.1,0.3,0.438312,0.0020445830870864734
instance,0.1,0.4,0.516624,0.0006208703568379365
instance,0.1,0.5,0.592604,0.0023100822496180265
instance,0.1,0.6,0.6701280000000001,0.0021541401997084582
instance,0.1,0.7000000000000001,0.746372,0.0017060246188141217
instance,0.1,0.8,0.822256,0.0021939644482078086
instance,0.1,0.9,0.9005839999999999,0.0019604795331754727
instance,0.2,0.1,0.34604,0.0029545558041776825
instance,0.2,0.2,0.415492,0.0031344728424409826
instance,0.2,0.3,0.48488800000000004,0.003520755600719824
instance,0.2,0.4,0.554316,0.0020622027058463718
instance,0.2,0.5,0.6231199999999999,0.0020007498594276996
instance,0.2,0.6,0.6933239999999999,0.003044713451213429
instance,0.2,0.7000000000000001,0.761292,0.0016969737770513704
instance,0.2,0.8,0.830776,0.0018710638684983007
instance,0.2,0.9,0.9005839999999999,0.0019604795331754727
instance,0.3,0.1,0.42152,0.004031252906975694
instance,0.3,0.2,0.482028,0.003075340631539868
instance,0.3,0.3,0.541772,0.0025359258664243364
instance,0.3,0.4,0.601728,0.0038687620759100517
instance,0.3,0.5,0.66198,0.0020990950431078723
instance,0.3,0.6,0.721696,0.0015075410442173828
instance,0.3,0.7000000000000001,0.779964,0.0011997833137695954
instance,0.3,0.8,0.8397880000000001,0.002426874533221686
instance,0.3,0.9,0.9005839999999999,0.0019604795331754727
instance,0.4,0.1,0.501904,0.004176012452088716
instance,0.4,0.2,0.552608,0.0035093190222605583
instance,0.4,0.3,0.602428,0.0025889998068752426
instance,0.4,0.4,0.651848,0.003603181927130481
instance,0.4,0.5,0.701264,0.002609957854065783
instance,0.4,0.6,0.751356,0.0009553428703873831
instance,0.4,0.7000000000000001,0.80184,0.0023085926448812395
instance,0.4,0.8,0.8503679999999999,0.0014797702524378723
instance,0.4,0.9,0.9005839999999999,0.0019604795331754727
instance,0.5,0.1,0.582264,0.0040125154205311025
instance,0.5,0.2,0.62134,0.0033911649915626947
instance,0.5,0.3,0.661872,0.003645589115630053
instance,0.5,0.4,0.701616,0.002531616084638411
instance,0.5,0.5,0.740424,0.00322544260528693
instance,0.5,0.6,0.780984,0.002282253272535745
instance,0.5,0.7000000000000001,0.8212160000000001,0.0015933235704024254
instance,0.5,0.8,0.8604240000000001,0.0017065403599095278
instance,0.5,0.9,0.9005839999999999,0.0019604795331754727
instance,0.6,0.1,0.635472,0.02511339323946487
instance,0.6,0.2,0.66882,0.02219709890954225
instance,0.6,0.3,0.7014,0.018656628848749704
instance,0.6,0.4,0.7353799999999999,0.015111134967301404
instance,0.6,0.5,0.7682960000000001,0.012248701155632763
instance,0.6,0.6,0.800696,0.009047600786948965
instance,0.6,0.7000000000000001,0.833924,0.005721108284240076
instance,0.6,0.8,0.866128,0.0026433539301425495
instance,0.6,0.9,0.899748,0.0009865698150663238
instance,0.7,0.1,0.6344960000000001,0.03527536080609239
instance,0.7,0.2,0.667896,0.02938809078521435
instance,0.7,0.3,0.70136,0.025971819343280505
instance,0.7,0.4,0.733284,0.022202321500239527
instance,0.7,0.5,0.767628,0.01745245312269884
instance,0.7,0.6,0.8002559999999999,0.01421480495821169
instance,0.7,0.7000000000000001,0.8337239999999999,0.009100004395603305
instance,0.7,0.8,0.866964,0.0048304119907105455
instance,0.7,0.9,0.899368,0.00035877569594386453
instance,0.8,0.1,0.62774,0.03923240242452659
instance,0.8,0.2,0.66304,0.03436206338391221
instance,0.8,0.3,0.696264,0.03055879382436422
instance,0.8,0.4,0.730396,0.02560219287483008
instance,0.8,0.5,0.764176,0.019920940740838528
instance,0.8,0.6,0.796988,0.01516828006070565
instance,0.8,0.7000000000000001,0.831908,0.00874709780441487
instance,0.8,0.8,0.86646,0.005437922397386683
instance,0.8,0.9,0.8997959999999999,0.0012389027403311651
instance,0.9,0.1,0.606044,0.04552509066437981
instance,0.9,0.2,0.641236,0.0407689180626614
instance,0.9,0.3,0.679076,0.033581847477469104
instance,0.9,0.4,0.715172,0.02795698696211732
instance,0.9,0.5,0.7518,0.02290163749603946
instance,0.9,0.6,0.7890159999999999,0.016362881164391586
instance,0.9,0.7000000000000001,0.8273360000000001,0.012053691550724218
instance,0.9,0.8,0.8637119999999999,0.006546321104253927
instance,0.9,0.9,0.90032,0.001789022079237752
pair,0.1,0.1,0.26471999999999996,0.0021216503010628323
pair,0.1,0.2,0.34371999999999997,0.0022040417418914726
pair,0.1,0.3,0.421876,0.0028580202938397765
pair,0.1,0.4,0.5013799999999999,0.0010787956247593766
pair,0.1,0.5,0.5820879999999999,0.0012968885842662026
pair,0.1,0.6,0.660776,0.0029006688883773295
pair,0.1,0.7000000000000001,0.7386039999999999,0.0016524164124094305
pair,0.1,0.8,0.821828,0.002499983999948806
pair,0.1,0.9,0.9005839999999999,0.0019604795331754727
pair,0.2,0.1,0.342816,0.002025902268126485
pair,0.2,0.2,0.41307600000000005,0.0024367765593094398
pair,0.2,0.3,0.48346800000000006,0.0025594765089759944
pair,0.2,0.4,0.551868,0.0017027389700127215
pair,0.2,0.5,0.62114,0.0028638435711470195
pair,0.2,0.6,0.691392,0.0024392047884505175
pair,0.2,0.7000000000000001,0.761744,0.0015007598075641275
pair,0.2,0.8,0.831008,0.0021797522795033463
pair,0.2,0.9,0.9005839999999999,0.0019604795331754727
pair,0.3,0.1,0.42160000000000003,0.0021657331322210605
pair,0.3,0.2,0.48258799999999996,0.0015984117116688197
pair,0.3,0.3,0.542092,0.0025213726420345133
pair,0.3,0.4,0.602284,0.002589803081317184
pair,0.3,0.5,0.662448,0.0013838786073930404
pair,0.3,0.6,0.721012,0.0012725250488693793
pair,0.3,0.7000000000000001,0.7810360000000001,0.001034156661246258
pair,0.3,0.8,0.8405799999999999,0.0012692517480783682
pair,0.3,0.9,0.9005839999999999,0.0019604795331754727
pair,0.4,0.1,0.5032840000000001,0.002273209185270916
pair,0.4,0.2,0.5535439999999999,0.002838041578271866
pair,0.4,0.3,0.6019639999999999,0.0017040187792392385
pair,0.4,0.4,0.653224,0.002364292706075099
pair,0.4,0.5,0.699912,0.0005583189052862081
pair,0.4,0.6,0.7511,0.0017469974241538255
pair,0.4,0.7000000000000001,0.80002,0.0012750686256041376
pair,0.4,0.8,0.850176,0.0015250836042657186
pair,0.4,0.9,0.9005839999999999,0.0019604795331754727
pair,0.5,0.1,0.580944,0.0003106122985331116
pair,0.5,0.2,0.6211439999999999,0.0006656425467171058
pair,0.5,0.3,0.661544,0.0012654959502108073
pair,0.5,0.4,0.70072,0.0012107848694132362
pair,0.5,0.5,0.741504,0.0005563092665056304
pair,0.5,0.6,0.780856,0.0015650175717863233
pair,0.5,0.7000000000000001,0.8215640000000001,0.0006124377519388953
pair,0.5,0.8,0.859684,0.0008988214505673181
pair,0.5,0.9,0.901248,0.0012487273521469484
pair,0.6,0.1,0.503808,0.0019555357322227716
pair,0.6,0.2,0.5545720000000001,0.0024087590165893106
pair,0.6,0.3,0.6039559999999999,0.0014085027511510301
pair,0.6,0.4,0.6524840000000001,0.0017490225841880873
pair,0.6,0.5,0.7021599999999999,0.001055177710151244
pair,0.6,0.6,0.7529480000000001,0.0016410118829551829
pair,0.6,0.7000000000000001,0.801916,0.0016806784344424502
pair,0.6,0.8,0.8509,0.001435548675594113
pair,0.6,0.9,0.9000640000000001,0.001290069765555308
pair,0.7,0.1,0.423308,0.002778150463887801
pair,0.7,0.2,0.48261199999999993,0.00272567789733121
pair,0.7,0.3,0.5431239999999999,0.0018958586445196586
pair,0.7,0.4,0.600544,0.001084195554316652
pair,0.7,0.5,0.663272,0.0012251204022462314
pair,0.7,0.6,0.721448,0.002019534599852193
pair,0.7,0.7000000000000001,0.781596,0.001342639192039275
pair,0.7,0.8,0.8404640000000001,0.002085780429479606
pair,0.7,0.9,0.9000640000000001,0.001290069765555308
pair,0.8,0.1,0.34260799999999997,0.0029659602155120354
pair,0.8,0.2,0.413568,0.0033002605957711834
pair,0.8,0.3,0.482096,0.0018020210875569645
pair,0.8,0.4,0.552468,0.0013651080543312629
pair,0.8,0.5,0.620376,0.002949793213091403
pair,0.8,0.6,0.6905319999999999,0.003208133413684709
pair,0.8,0.7000000000000001,0.762176,0.0015272458872100905
pair,0.8,0.8,0.830772,0.0011186241549331843
pair,0.8,0.9,0.9000640000000001,0.001290069765555308
pair,0.9,0.1,0.262104,0.0027098118015833066
pair,0.9,0.2,0.343188,0.0024442422138568954
pair,0.9,0.3,0.42261999999999994,0.0013612494260788583
pair,0.9,0.4,0.502076,0.0024128986717224642
pair,0.9,0.5,0.58194,0.0006374950980203762
pair,0.9,0.6,0.6623,0.0019916324962201528
pair,0.9,0.7000000000000001,0.741572,0.0020300541864688953
pair,0.9,0.8,0.8210560000000001,0.002884524224200595
pair,0.9,0.9,0.9000640000000001,0.001290069765555308
sym,0.1,0.1,0.26164,0.0034906732874905423
sym,0.1,0.2,0.342036,0.0023207067888899938
sym,0.1,0.3,0.421948,0.0021813115320834103
sym,0.1,0.4,0.5006999999999999,0.0008720091742636926
sym,0.1,0.5,0.581868,0.0023597711753473145
sym,0.1,0.6,0.6615679999999999,0.0010354322768776516
sym,0.1,0.7000000000000001,0.7421960000000001,0.002836385023229445
sym,0.1,0.8,0.819396,0.002319974137786883
sym,0.1,0.9,0.9005839999999999,0.0019604795331754727
sym,0.2,0.1,0.341352,0.0025256127969267217
sym,0.2,0.2,0.41104,0.0017743731287415264
sym,0.2,0.3,0.48090400000000005,0.002830314470160503
sym,0.2,0.4,0.5513,0.002606031465658056
sym,0.2,0.5,0.620108,0.001974770872784989
sym,0.2,0.6,0.690044,0.001480702535960496
sym,0.2,0.7000000000000001,0.761012,0.002226863264774013
sym,0.2,0.8,0.8308439999999999,0.002011834983292609
sym,0.2,0.9,0.9005839999999999,0.0019604795331754727
sym,0.3,0.1,0.42046799999999995,0.0026401742366745466
sym,0.3,0.2,0.481128,0.0031522563347545127
sym,0.3,0.3,0.540516,0.0018051814313248193
sym,0.3,0.4,0.599944,0.0014654965028958313
sym,0.3,0.5,0.660764,0.0013170725112915877
sym,0.3,0.6,0.7221599999999999,0.001464991467551966
sym,0.3,0.7000000000000001,0.7805519999999999,0.002162711261356924
