noise_type,initial_noise,noise_rate,mean,std
instance,0.0,0.1,0.4951486697965571,0.004844067965346249
instance,0.0,0.2,0.49733959311424103,0.003984084387512052
instance,0.0,0.3,0.4975743348982785,0.009448174552816017
instance,0.0,0.4,0.4967918622848201,0.00793833795573034
instance,0.0,0.5,0.49499217527386535,0.014663273722761288
instance,0.0,0.6,0.5032081377151799,0.00793833795573032
instance,0.0,0.7000000000000001,0.5024256651017215,0.009448174552816012
instance,0.0,0.8,0.502660406885759,0.003984084387512064
instance,0.0,0.9,0.504851330203443,0.00484406796534627
instance,0.1,0.1,0.4953051643192488,0.013425164269775813
instance,0.1,0.2,0.5006259780907667,0.0067174259878982154
instance,0.1,0.3,0.49866979655712046,0.005564640239076429
instance,0.1,0.4,0.4963223787167449,0.005267906433165099
instance,0.1,0.5,0.49499217527386535,0.014663273722761288
instance,0.1,0.6,0.5036776212832551,0.005267906433165075
instance,0.1,0.7000000000000001,0.5013302034428795,0.005564640239076409
instance,0.1,0.8,0.4993740219092331,0.006717425987898214
instance,0.1,0.9,0.5046948356807512,0.01342516426977583
instance,0.2,0.1,0.49467918622848195,0.012939220386781886
instance,0.2,0.2,0.5003129890453835,0.006595552586192976
instance,0.2,0.3,0.49726134585289516,0.0071501044141224985
instance,0.2,0.4,0.49726134585289505,0.005789768617742122
instance,0.2,0.5,0.49499217527386535,0.014663273722761288
instance,0.2,0.6,0.5027386541471048,0.005789768617742087
instance,0.2,0.7000000000000001,0.5027386541471048,0.00715010441412243
instance,0.2,0.8,0.49968701095461654,0.006595552586192988
instance,0.2,0.9,0.505320813771518,0.01293922038678183
instance,0.3,0.1,0.4962441314553991,0.014574799602136517
instance,0.3,0.2,0.5015649452269171,0.009563307168685725
instance,0.3,0.3,0.5000782472613459,0.006750385386126467
instance,0.3,0.4,0.4989827856025039,0.0019872339748357244
instance,0.3,0.5,0.49499217527386535,0.014663273722761288
instance,0.3,0.6,0.501017214397496,0.001987233974835758
instance,0.3,0.7000000000000001,0.49992175273865413,0.0067503853861264305
instance,0.3,0.8,0.498435054773083,0.00956330716868571
instance,0.3,0.9,0.5037558685446009,0.01457479960213651
instance,0.4,0.1,0.4997652582159624,0.013231655852646325
instance,0.4,0.2,0.5055555555555555,0.009370905870154723
instance,0.4,0.3,0.504851330203443,0.006140042205822942
instance,0.4,0.4,0.5028169014084507,0.004498366933272213
instance,0.4,0.5,0.49499217527386535,0.014663273722761288
instance,0.4,0.6,0.4971830985915493,0.004498366933272235
instance,0.4,0.7000000000000001,0.4951486697965571,0.006140042205822916
instance,0.4,0.8,0.49444444444444446,0.009370905870154723
instance,0.4,0.9,0.5002347417840376,0.01323165585264632
instance,0.5,0.1,0.5021909233176839,0.009830079839706376
instance,0.5,0.2,0.5059467918622848,0.00333584878674371
instance,0.5,0.3,0.5043035993740219,0.004008979172910659
instance,0.5,0.4,0.5039906103286385,0.006896198871941699
instance,0.5,0.5,0.49499217527386535,0.014663273722761288
instance,0.5,0.6,0.4960093896713615,0.006896198871941735
instance,0.5,0.7000000000000001,0.49569640062597803,0.0040089791729106625
instance,0.5,0.8,0.49405320813771514,0.0033358487867436995
instance,0.5,0.9,0.4978090766823161,0.009830079839706355
pair,0.1,0.1,0.4949139280125195,0.0
pair,0.1,0.2,0.49710485133020343,0.004875564187691539
pair,0.1,0.3,0.4973395931142409,0.008679804735101649
pair,0.1,0.4,0.4965571205007825,0.0058971654714919915
pair,0.1,0.5,0.49499217527386535,0.014663273722761288
pair,0.1,0.6,0.5034428794992175,0.00589716547149199
pair,0.1,0.7000000000000001,0.502660406885759,0.008679804735101689
pair,0.1,0.8,0.5028951486697966,0.004875564187691536
pair,0.1,0.9,0.5050860719874805,0.0
pair,0.2,0.1,0.49710485133020343,0.004875564187691539
pair,0.2,0.2,0.4949139280125195,0.0
pair,0.2,0.3,0.4951486697965571,0.008737805493047658
pair,0.2,0.4,0.4943661971830986,0.006858362413811318
pair,0.2,0.5,0.49499217527386535,0.014663273722761288
pair,0.2,0.6,0.5056338028169014,0.006858362413811305
pair,0.2,0.7000000000000001,0.5048513302034429,0.008737805493047639
pair,0.2,0.8,0.5050860719874805,0.0
pair,0.2,0.9,0.5028951486697966,0.004875564187691536
pair,0.3,0.1,0.4973395931142409,0.008679804735101649
pair,0.3,0.2,0.4951486697965571,0.008737805493047658
pair,0.3,0.3,0.4949139280125195,0.0
pair,0.3,0.4,0.494131455399061,0.00375260682575327
pair,0.3,0.5,0.49499217527386535,0.014663273722761288
pair,0.3,0.6,0.505868544600939,0.003752606825753305
pair,0.3,0.7000000000000001,0.5050860719874805,0.0
pair,0.3,0.8,0.5048513302034429,0.008737805493047639
pair,0.3,0.9,0.502660406885759,0.008679804735101689
pair,0.4,0.1,0.4965571205007825,0.0058971654714919915
pair,0.4,0.2,0.4943661971830986,0.006858362413811318
pair,0.4,0.3,0.494131455399061,0.00375260682575327
pair,0.4,0.4,0.4949139280125195,0.0
pair,0.4,0.5,0.49499217527386535,0.014663273722761288
pair,0.4,0.6,0.5050860719874805,0.0
pair,0.4,0.7000000000000001,0.505868544600939,0.003752606825753305
pair,0.4,0.8,0.5056338028169014,0.006858362413811305
pair,0.4,0.9,0.5034428794992175,0.00589716547149199
sym,0.1,0.1,0.4949139280125195,0.0
sym,0.1,0.2,0.49710485133020343,0.004875564187691539
sym,0.1,0.3,0.4973395931142409,0.008679804735101649
sym,0.1,0.4,0.4965571205007825,0.0058971654714919915
sym,0.1,0.5,0.49499217527386535,0.014663273722761288
sym,0.1,0.6,0.5034428794992175,0.00589716547149199
sym,0.1,0.7000000000000001,0.502660406885759,0.008679804735101689
sym,0.1,0.8,0.5028951486697966,0.004875564187691536
sym,0.1,0.9,0.5050860719874805,0.0
sym,0.2,0.1,0.49710485133020343,0.004875564187691539
sym,0.2,0.2,0.4949139280125195,0.0
sym,0.2,0.3,0.4951486697965571,0.008737805493047658
sym,0.2,0.4,0.4943661971830986,0.006858362413811318
sym,0.2,0.5,0.49499217527386535,0.014663273722761288
sym,0.2,0.6,0.5056338028169014,0.006858362413811305
sym,0.2,0.7000000000000001,0.5048513302034429,0.008737805493047639
sym,0.2,0.8,0.5050860719874805,0.0
sym,0.2,0.9,0.5028951486697966,0.004875564187691536
sym,0.3,0.1,0.4973395931142409,0.008679804735101649
sym,0.3,0.2,0.4951486697965571,0.008737805493047658
sym,0.3,0.3,0.4949139280125195,0.0
sym,0.3,0.4,0.494131455399061,0.00375260682575327
sym,0.3,0.5,0.49499217527386535,0.014663273722761288
sym,0.3,0.6,0.505868544600939,0.003752606825753305
sym,0.3,0.7000000000000001,0.5050860719874805,0.0
sym,0.3,0.8,0.5048513302034429,0.008737805493047639
sym,0.3,0.9,0.502660406885759,0.008679804735101689
sym,0.4,0.1,0.4965571205007825,0.0058971654714919915
sym,0.4,0.2,0.4943661971830986,0.006858362413811318
sym,0.4,0.3,0.494131455399061,0.00375260682575327
sym,0.4,0.4,0.4949139280125195,0.0
sym,0.4,0.5,0.49499217527386535,0.014663273722761288
sym,0.4,0.6,0.5050860719874805,0.0
sym,0.4,0.7000000000000001,0.505868544600939,0.003752606825753305
sym,0.4,0.8,0.5056338028169014,0.006858362413811305
sym,0.4,0.9,0.5034428794992175,0.00589716547149199
