noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.6514890282131661,0.00962866072715767
instance,0.1,0.2,0.653448275862069,0.01008812790284075
instance,0.1,0.3,0.6637931034482759,0.007398592315242631
instance,0.1,0.4,0.6536050156739812,0.0066556770185983395
instance,0.1,0.5,0.663244514106583,0.010966887620915043
instance,0.1,0.6,0.6579153605015675,0.012942903264039001
instance,0.1,0.7000000000000001,0.6608934169278997,0.005875130035733952
instance,0.1,0.8,0.6692006269592476,0.006185764031558318
instance,0.1,0.9,0.6728056426332288,0.008986947446065563
instance,0.2,0.1,0.6498432601880878,0.007339206751375024
instance,0.2,0.2,0.6478840125391849,0.009833783849690246
instance,0.2,0.3,0.6593260188087775,0.011665670475830866
instance,0.2,0.4,0.6594827586206897,0.006139670695921828
instance,0.2,0.5,0.6627742946708464,0.00790817980257284
instance,0.2,0.6,0.6605799373040753,0.006895883766455961
instance,0.2,0.7000000000000001,0.6631661442006269,0.007581047949206994
instance,0.2,0.8,0.6702194357366771,0.00639447528553643
instance,0.2,0.9,0.6751567398119123,0.009862627702706262
instance,0.3,0.1,0.6490595611285267,0.012971344030647676
instance,0.3,0.2,0.6482758620689655,0.008502322166216594
instance,0.3,0.3,0.6492946708463949,0.00990147238910134
instance,0.3,0.4,0.6536050156739812,0.007977771579742297
instance,0.3,0.5,0.6652037617554859,0.010794014349028946
instance,0.3,0.6,0.6635579937304075,0.01385840554788871
instance,0.3,0.7000000000000001,0.6664576802507837,0.005516595680369311
instance,0.3,0.8,0.6685736677115988,0.008216702497904668
instance,0.3,0.9,0.6804858934169279,0.011754179655744844
instance,0.4,0.1,0.6489028213166144,0.01443209001622482
instance,0.4,0.2,0.6505485893416928,0.01030571712906793
instance,0.4,0.3,0.6519592476489028,0.005411213588073395
instance,0.4,0.4,0.6624608150470219,0.0092546198687576
instance,0.4,0.5,0.6627742946708464,0.0060616475251888255
instance,0.4,0.6,0.665282131661442,0.012518963907082204
instance,0.4,0.7000000000000001,0.663244514106583,0.004906732239027767
instance,0.4,0.8,0.6758620689655173,0.013082728552630615
instance,0.4,0.9,0.6755485893416928,0.008999752412112705
instance,0.5,0.1,0.6425548589341693,0.01471758874145605
instance,0.5,0.2,0.6536833855799373,0.013651331280382544
instance,0.5,0.3,0.6510188087774293,0.009946342171133741
instance,0.5,0.4,0.6474137931034483,0.011502635990177885
instance,0.5,0.5,0.6624608150470219,0.011958153706997923
instance,0.5,0.6,0.6644200626959248,0.005232328489906114
instance,0.5,0.7000000000000001,0.6620689655172414,0.010632777602878974
instance,0.5,0.8,0.668025078369906,0.005044063951420367
instance,0.5,0.9,0.6804858934169279,0.007751294790291041
instance,0.6,0.1,0.640282131661442,0.010348834362260367
instance,0.6,0.2,0.6471786833855799,0.012771529789057327
instance,0.6,0.3,0.6559561128526645,0.006644132036760643
instance,0.6,0.4,0.6586206896551724,0.007770090631940733
instance,0.6,0.5,0.6592476489028213,0.007545520314677663
instance,0.6,0.6,0.659639498432602,0.00751493437477976
instance,0.6,0.7000000000000001,0.6617554858934169,0.010193361306974494
