noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.41212,0.03385926018093126
instance,0.1,0.2,0.42815000000000003,0.027163946694101722
instance,0.1,0.3,0.44523999999999997,0.022197223925527265
instance,0.1,0.4,0.46342999999999995,0.015265099082547728
instance,0.1,0.5,0.49679,0.0035597401590565627
instance,0.1,0.6,0.53657,0.015265099082547761
instance,0.1,0.7000000000000001,0.55476,0.022197223925527282
instance,0.1,0.8,0.5718500000000001,0.027163946694101666
instance,0.1,0.9,0.58788,0.03385926018093127
instance,0.2,0.1,0.42801999999999996,0.02861403938628727
instance,0.2,0.2,0.43949,0.024203083481242626
instance,0.2,0.3,0.45242000000000004,0.02162240157799312
instance,0.2,0.4,0.46649,0.016290810292922828
instance,0.2,0.5,0.49679,0.0035597401590565627
instance,0.2,0.6,0.5335099999999999,0.016290810292922803
instance,0.2,0.7000000000000001,0.54758,0.02162240157799315
instance,0.2,0.8,0.5605100000000001,0.024203083481242664
instance,0.2,0.9,0.57198,0.02861403938628731
instance,0.3,0.1,0.44783,0.019116570037535502
instance,0.3,0.2,0.45416,0.01712211289531757
instance,0.3,0.3,0.46207000000000004,0.01751794080364472
instance,0.3,0.4,0.47034000000000004,0.013312606807083273
instance,0.3,0.5,0.49679,0.0035597401590565627
instance,0.3,0.6,0.52966,0.013312606807083254
instance,0.3,0.7000000000000001,0.53793,0.017517940803644723
instance,0.3,0.8,0.5458399999999999,0.01712211289531752
instance,0.3,0.9,0.55217,0.019116570037535478
instance,0.4,0.1,0.46963,0.012237064598995952
instance,0.4,0.2,0.46962000000000004,0.011911055788636039
instance,0.4,0.3,0.47225,0.014099556730620974
instance,0.4,0.4,0.47484000000000004,0.012345971002719879
instance,0.4,0.5,0.49679,0.0035597401590565627
instance,0.4,0.6,0.52516,0.012345971002719882
instance,0.4,0.7000000000000001,0.5277499999999999,0.01409955673062105
instance,0.4,0.8,0.53038,0.011911055788636027
instance,0.4,0.9,0.53037,0.01223706459899593
instance,0.5,0.1,0.50254,0.010718990157659444
instance,0.5,0.2,0.50597,0.017039021392087083
instance,0.5,0.3,0.50788,0.02075399359159584
instance,0.5,0.4,0.50871,0.022913598582501176
instance,0.5,0.5,0.50339,0.0033446599229219162
instance,0.5,0.6,0.49128999999999995,0.02291359858250119
instance,0.5,0.7000000000000001,0.49212,0.02075399359159578
instance,0.5,0.8,0.49402999999999997,0.01703902139208705
instance,0.5,0.9,0.49745999999999996,0.010718990157659434
instance,0.6,0.1,0.48732,0.006090217565900242
instance,0.6,0.2,0.49937000000000004,0.0034818457748728437
instance,0.6,0.3,0.5079,0.007359432722703528
instance,0.6,0.4,0.51551,0.009154875750112602
instance,0.6,0.5,0.5032099999999999,0.003559740159056575
instance,0.6,0.6,0.48449,0.0091548757501126
instance,0.6,0.7000000000000001,0.49210000000000004,0.0073594327227035706
instance,0.6,0.8,0.5006299999999999,0.0034818457748728845
instance,0.6,0.9,0.51268,0.006090217565900287
instance,0.7,0.1,0.46691000000000005,0.013105409188575539
instance,0.7,0.2,0.48488,0.006726124441310902
instance,0.7,0.3,0.49801,0.004396504293185682
instance,0.7,0.4,0.51102,0.007675822431505346
instance,0.7,0.5,0.5032099999999999,0.003559740159056575
instance,0.7,0.6,0.48898,0.007675822431505277
instance,0.7,0.7000000000000001,0.5019899999999999,0.004396504293185649
instance,0.7,0.8,0.51512,0.0067261244413109045
