,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
0,pair0047,instance,0.0,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.0
1,pair0047,instance,0.1,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.1
2,pair0047,instance,0.2,-0.23555555555555555,0.02616102762005273,-0.9594376594117413,0.1,0.9996,pair0047_instance_0.2
3,pair0047,instance,0.3,-0.14875816993464047,0.0475739349236262,-0.7633951343102238,0.1,0.8323,pair0047_instance_0.3
4,pair0047,sym,0.0,-0.11529411764705885,0.017004186327383795,-0.9315885051121783,0.1,0.8027,pair0047_sym_0.0
5,pair0047,sym,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.1
6,pair0047,sym,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.2
7,pair0047,sym,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_sym_0.3
8,pair0047,pair,0.0,-0.22418300653594772,0.022645903449765227,-0.9660917830792958,0.1,0.9997,pair0047_pair_0.0
9,pair0047,pair,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.1
10,pair0047,pair,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.2
11,pair0047,pair,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_pair_0.3
0,pair0047,instance,0.0,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.0
1,pair0047,instance,0.1,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.1
2,pair0047,instance,0.2,-0.23555555555555555,0.02616102762005273,-0.9594376594117413,0.1,0.9996,pair0047_instance_0.2
3,pair0047,instance,0.3,-0.14875816993464047,0.0475739349236262,-0.7633951343102238,0.1,0.8323,pair0047_instance_0.3
4,pair0047,sym,0.0,-0.11529411764705885,0.017004186327383795,-0.9315885051121783,0.1,0.8027,pair0047_sym_0.0
5,pair0047,sym,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.1
6,pair0047,sym,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.2
7,pair0047,sym,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_sym_0.3
8,pair0047,pair,0.0,-0.22418300653594772,0.022645903449765227,-0.9660917830792958,0.1,0.9997,pair0047_pair_0.0
9,pair0047,pair,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.1
10,pair0047,pair,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.2
11,pair0047,pair,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_pair_0.3
12,pair0070,instance,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_instance_0.0
13,pair0070,instance,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.1
14,pair0070,instance,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.2
15,pair0070,instance,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.3
16,pair0070,sym,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_sym_0.0
17,pair0070,sym,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.1
18,pair0070,sym,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.2
19,pair0070,sym,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.3
20,pair0070,pair,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_pair_0.0
21,pair0070,pair,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.1
22,pair0070,pair,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.2
23,pair0070,pair,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.3
0,pair0047,instance,0.0,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.0
1,pair0047,instance,0.1,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.1
2,pair0047,instance,0.2,-0.23555555555555555,0.02616102762005273,-0.9594376594117413,0.1,0.9996,pair0047_instance_0.2
3,pair0047,instance,0.3,-0.14875816993464047,0.0475739349236262,-0.7633951343102238,0.1,0.8323,pair0047_instance_0.3
4,pair0047,sym,0.0,-0.11529411764705885,0.017004186327383795,-0.9315885051121783,0.1,0.8027,pair0047_sym_0.0
5,pair0047,sym,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.1
6,pair0047,sym,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.2
7,pair0047,sym,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_sym_0.3
8,pair0047,pair,0.0,-0.22418300653594772,0.022645903449765227,-0.9660917830792958,0.1,0.9997,pair0047_pair_0.0
9,pair0047,pair,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.1
10,pair0047,pair,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.2
11,pair0047,pair,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_pair_0.3
12,pair0070,instance,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_instance_0.0
13,pair0070,instance,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.1
14,pair0070,instance,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.2
15,pair0070,instance,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.3
16,pair0070,sym,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_sym_0.0
17,pair0070,sym,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.1
18,pair0070,sym,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.2
19,pair0070,sym,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.3
20,pair0070,pair,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_pair_0.0
21,pair0070,pair,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.1
22,pair0070,pair,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.2
23,pair0070,pair,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.3
24,pair0071,instance,0.0,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.0
25,pair0071,instance,0.1,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.1
26,pair0071,instance,0.2,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.2
27,pair0071,instance,0.3,-0.16333333333333339,0.040769350224101886,-0.8344553849509774,0.1,0.9205,pair0071_instance_0.3
28,pair0071,sym,0.0,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_sym_0.0
29,pair0071,sym,0.1,0.00777777777777777,0.01671597643910631,0.17320508075688748,0.1,0.0003,pair0071_sym_0.1
30,pair0071,sym,0.2,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_sym_0.2
31,pair0071,sym,0.3,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_sym_0.3
32,pair0071,pair,0.0,-0.19444444444444456,0.032867109906109006,-0.9128709291752769,0.1,0.9896,pair0071_pair_0.0
33,pair0071,pair,0.1,0.00777777777777777,0.01671597643910631,0.17320508075688748,0.1,0.0003,pair0071_pair_0.1
34,pair0071,pair,0.2,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_pair_0.2
35,pair0071,pair,0.3,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_pair_0.3
0,pair0047,instance,0.0,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.0
1,pair0047,instance,0.1,-0.10745098039215693,0.017641132824788318,-0.9172066127019272,0.1,0.6581,pair0047_instance_0.1
2,pair0047,instance,0.2,-0.23555555555555555,0.02616102762005273,-0.9594376594117413,0.1,0.9996,pair0047_instance_0.2
3,pair0047,instance,0.3,-0.14875816993464047,0.0475739349236262,-0.7633951343102238,0.1,0.8323,pair0047_instance_0.3
4,pair0047,sym,0.0,-0.11529411764705885,0.017004186327383795,-0.9315885051121783,0.1,0.8027,pair0047_sym_0.0
5,pair0047,sym,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.1
6,pair0047,sym,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_sym_0.2
7,pair0047,sym,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_sym_0.3
8,pair0047,pair,0.0,-0.22418300653594772,0.022645903449765227,-0.9660917830792958,0.1,0.9997,pair0047_pair_0.0
9,pair0047,pair,0.1,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.1
10,pair0047,pair,0.2,-0.11529411764705885,0.03023764222039425,-0.8215838362577494,0.1,0.6867,pair0047_pair_0.2
11,pair0047,pair,0.3,0.012810457516339894,0.02753219648793985,0.17320508075688773,0.1,0.0066,pair0047_pair_0.3
12,pair0070,instance,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_instance_0.0
13,pair0070,instance,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.1
14,pair0070,instance,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.2
15,pair0070,instance,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_instance_0.3
16,pair0070,sym,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_sym_0.0
17,pair0070,sym,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.1
18,pair0070,sym,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.2
19,pair0070,sym,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_sym_0.3
20,pair0070,pair,0.0,-0.040142253834185466,0.005920391930897803,-0.9315885051121777,0.1,0.0000,pair0070_pair_0.0
21,pair0070,pair,0.1,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.1
22,pair0070,pair,0.2,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.2
23,pair0070,pair,0.3,0.004460250426020587,0.00958595670435523,0.17320508075688767,0.1,0.0000,pair0070_pair_0.3
24,pair0071,instance,0.0,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.0
25,pair0071,instance,0.1,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.1
26,pair0071,instance,0.2,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_instance_0.2
27,pair0071,instance,0.3,-0.16333333333333339,0.040769350224101886,-0.8344553849509774,0.1,0.9205,pair0071_instance_0.3
28,pair0071,sym,0.0,-0.06999999999999998,0.010323970270197316,-0.9315885051121778,0.1,0.0099,pair0071_sym_0.0
29,pair0071,sym,0.1,0.00777777777777777,0.01671597643910631,0.17320508075688748,0.1,0.0003,pair0071_sym_0.1
30,pair0071,sym,0.2,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_sym_0.2
31,pair0071,sym,0.3,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_sym_0.3
32,pair0071,pair,0.0,-0.19444444444444456,0.032867109906109006,-0.9128709291752769,0.1,0.9896,pair0071_pair_0.0
33,pair0071,pair,0.1,0.00777777777777777,0.01671597643910631,0.17320508075688748,0.1,0.0003,pair0071_pair_0.1
34,pair0071,pair,0.2,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_pair_0.2
35,pair0071,pair,0.3,0.08555555555555551,0.03206859931035959,0.7100469468046927,0.1,0.3322,pair0071_pair_0.3
36,pair0107,instance,0.0,-0.1,0.014748528957424732,-0.9315885051121781,0.1,0.5000,pair0107_instance_0.0
37,pair0107,instance,0.1,-0.1,0.014748528957424732,-0.9315885051121781,0.1,0.5000,pair0107_instance_0.1
38,pair0107,instance,0.2,-0.12222222222222225,0.04035410574744624,-0.7531185165696034,0.1,0.7016,pair0107_instance_0.2
39,pair0107,instance,0.3,-0.011111111111111108,0.023879966341580433,-0.17320508075688776,0.1,0.0029,pair0107_instance_0.3
40,pair0107,sym,0.0,-0.0444444444444445,0.02195607822354121,-0.6076436202502002,0.1,0.0176,pair0107_sym_0.0
41,pair0107,sym,0.1,0.06666666666666676,0.0344606550009181,0.5902432522055577,0.1,0.1809,pair0107_sym_0.1
