,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
0,g241c,instance,0.0,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.0
1,g241c,instance,0.1,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.1
2,g241c,instance,0.2,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.2
3,g241c,instance,0.3,0.3303777777777778,0.005329921748358024,0.9990903064238844,0.1,1.0000,g241c_instance_0.3
4,g241c,sym,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_sym_0.0
5,g241c,sym,0.1,0.3447555555555555,0.0035521544579811453,0.9996286467628597,0.1,1.0000,g241c_sym_0.1
6,g241c,sym,0.2,0.3510666666666666,0.005136921259228655,0.9992514740926761,0.1,1.0000,g241c_sym_0.2
7,g241c,sym,0.3,0.36064444444444443,0.004512591307187226,0.9994524739823433,0.1,1.0000,g241c_sym_0.3
8,g241c,pair,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_pair_0.0
9,g241c,pair,0.1,0.36135555555555554,0.004718525163418434,0.9994037579916523,0.1,1.0000,g241c_pair_0.1
10,g241c,pair,0.2,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.2
11,g241c,pair,0.3,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.3
0,g241c,instance,0.0,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.0
1,g241c,instance,0.1,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.1
2,g241c,instance,0.2,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.2
3,g241c,instance,0.3,0.3303777777777778,0.005329921748358024,0.9990903064238844,0.1,1.0000,g241c_instance_0.3
4,g241c,sym,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_sym_0.0
5,g241c,sym,0.1,0.3447555555555555,0.0035521544579811453,0.9996286467628597,0.1,1.0000,g241c_sym_0.1
6,g241c,sym,0.2,0.3510666666666666,0.005136921259228655,0.9992514740926761,0.1,1.0000,g241c_sym_0.2
7,g241c,sym,0.3,0.36064444444444443,0.004512591307187226,0.9994524739823433,0.1,1.0000,g241c_sym_0.3
8,g241c,pair,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_pair_0.0
9,g241c,pair,0.1,0.36135555555555554,0.004718525163418434,0.9994037579916523,0.1,1.0000,g241c_pair_0.1
10,g241c,pair,0.2,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.2
11,g241c,pair,0.3,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.3
12,xyguassian,instance,0.0,-0.004528333333333392,0.0024438123190608806,-0.5736603926767883,0.1,0.0000,xyguassian_instance_0.0
13,xyguassian,instance,0.1,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.1
14,xyguassian,instance,0.2,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.2
15,xyguassian,instance,0.3,-0.004671666666666648,0.00038474429768765747,-0.9770738761142238,0.1,0.0000,xyguassian_instance_0.3
16,xyguassian,sym,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_sym_0.0
17,xyguassian,sym,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_sym_0.1
18,xyguassian,sym,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_sym_0.2
19,xyguassian,sym,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_sym_0.3
20,xyguassian,pair,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_pair_0.0
21,xyguassian,pair,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_pair_0.1
22,xyguassian,pair,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_pair_0.2
23,xyguassian,pair,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_pair_0.3
0,g241c,instance,0.0,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.0
1,g241c,instance,0.1,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.1
2,g241c,instance,0.2,0.3316222222222223,0.0048903629331439194,0.9992397306453897,0.1,1.0000,g241c_instance_0.2
3,g241c,instance,0.3,0.3303777777777778,0.005329921748358024,0.9990903064238844,0.1,1.0000,g241c_instance_0.3
4,g241c,sym,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_sym_0.0
5,g241c,sym,0.1,0.3447555555555555,0.0035521544579811453,0.9996286467628597,0.1,1.0000,g241c_sym_0.1
6,g241c,sym,0.2,0.3510666666666666,0.005136921259228655,0.9992514740926761,0.1,1.0000,g241c_sym_0.2
7,g241c,sym,0.3,0.36064444444444443,0.004512591307187226,0.9994524739823433,0.1,1.0000,g241c_sym_0.3
8,g241c,pair,0.0,0.35386666666666666,0.005757947246734316,0.9990746182305014,0.1,1.0000,g241c_pair_0.0
9,g241c,pair,0.1,0.36135555555555554,0.004718525163418434,0.9994037579916523,0.1,1.0000,g241c_pair_0.1
10,g241c,pair,0.2,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.2
11,g241c,pair,0.3,0.36193333333333333,0.004528966150407342,0.9994524141786068,0.1,1.0000,g241c_pair_0.3
12,xyguassian,instance,0.0,-0.004528333333333392,0.0024438123190608806,-0.5736603926767883,0.1,0.0000,xyguassian_instance_0.0
13,xyguassian,instance,0.1,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.1
14,xyguassian,instance,0.2,-0.004228333333333454,0.001565907152943666,-0.7142775017887809,0.1,0.0000,xyguassian_instance_0.2
15,xyguassian,instance,0.3,-0.004671666666666648,0.00038474429768765747,-0.9770738761142238,0.1,0.0000,xyguassian_instance_0.3
16,xyguassian,sym,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_sym_0.0
17,xyguassian,sym,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_sym_0.1
18,xyguassian,sym,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_sym_0.2
19,xyguassian,sym,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_sym_0.3
20,xyguassian,pair,0.0,0.004051666666666675,0.0005873711724113474,0.933676847501305,0.1,0.0000,xyguassian_pair_0.0
21,xyguassian,pair,0.1,0.0020316666666666907,0.0015833674599496923,0.436367598367326,0.1,0.0000,xyguassian_pair_0.1
22,xyguassian,pair,0.2,-0.001671666666666719,0.0015978711449197882,-0.3677163229387582,0.1,0.0000,xyguassian_pair_0.2
23,xyguassian,pair,0.3,0.0003483333333332468,0.000600413988571217,0.21418911740388938,0.1,0.0000,xyguassian_pair_0.3
24,yxguassian,instance,0.0,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.0
25,yxguassian,instance,0.1,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.1
26,yxguassian,instance,0.2,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.2
27,yxguassian,instance,0.3,0.7080683333333332,0.008558123380371369,0.9994890929900224,0.1,1.0000,yxguassian_instance_0.3
28,yxguassian,sym,0.0,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_sym_0.0
29,yxguassian,sym,0.1,0.7079316666666665,0.008562999315375474,0.9994883137449901,0.1,1.0000,yxguassian_sym_0.1
30,yxguassian,sym,0.2,0.7079316666666665,0.008562999315375474,0.9994883137449901,0.1,1.0000,yxguassian_sym_0.2
31,yxguassian,sym,0.3,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_sym_0.3
32,yxguassian,pair,0.0,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_pair_0.0
33,yxguassian,pair,0.1,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_pair_0.1
34,yxguassian,pair,0.2,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_pair_0.2
35,yxguassian,pair,0.3,0.708048333333333,0.008573102370745747,0.9994872754131422,0.1,1.0000,yxguassian_pair_0.3
