noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.4860263626477372,0.0004641784389243357
instance,0.01,0.2,0.4889279269589742,0.0012349483997490481
instance,0.01,0.3,0.49252739635989917,0.001151757334953022
instance,0.01,0.4,0.4954887128192258,0.0021273107422465857
instance,0.01,0.5,0.49801025346861216,0.0021301619843012935
instance,0.01,0.6,0.5045112871807742,0.002127310742246627
instance,0.01,0.7000000000000001,0.5074726036401008,0.001151757334953074
instance,0.01,0.8,0.5110720730410259,0.0012349483997490778
instance,0.01,0.9,0.5139736373522628,0.0004641784389243563
instance,0.2,0.1,0.4886339463903727,0.0010553183449136204
instance,0.2,0.2,0.4911865581567657,0.0013851934685025773
instance,0.2,0.3,0.4941980664204878,0.0014223772631159297
instance,0.2,0.4,0.496528400195987,0.0016163370231439436
instance,0.2,0.5,0.49801025346861216,0.0021301619843012935
instance,0.2,0.6,0.5034715998040129,0.001616337023143903
instance,0.2,0.7000000000000001,0.5058019335795121,0.001422377263115917
instance,0.2,0.8,0.5088134418432343,0.0013851934685025597
instance,0.2,0.9,0.5113660536096273,0.0010553183449135914
instance,0.4,0.1,0.49504893700928543,0.002011144045805634
instance,0.4,0.2,0.49602409206610976,0.0024367362626119358
instance,0.4,0.3,0.4966598549217844,0.0022487615948313883
instance,0.4,0.4,0.49824448188912385,0.0018580247269577468
instance,0.4,0.5,0.49801025346861216,0.0021301619843012935
instance,0.4,0.6,0.501755518110876,0.001858024726957798
instance,0.4,0.7000000000000001,0.5033401450782156,0.0022487615948313814
instance,0.4,0.8,0.5039759079338901,0.002436736262611917
instance,0.4,0.9,0.5049510629907145,0.0020111440458055966
pair,0.01,0.1,0.48429355035313515,0.0015372777374040494
pair,0.01,0.2,0.487754394770492,0.0025262993397644467
pair,0.01,0.3,0.49215693304174285,0.0018251596598063404
pair,0.01,0.4,0.49570621063827247,0.0021951478696081313
pair,0.01,0.5,0.49801742372638297,0.0020482980587113926
pair,0.01,0.6,0.5042937893617275,0.0021951478696081296
pair,0.01,0.7000000000000001,0.5078430669582572,0.0018251596598063543
pair,0.01,0.8,0.512245605229508,0.00252629933976447
pair,0.01,0.9,0.5157064496468647,0.0015372777374040812
pair,0.2,0.1,0.4896330023064329,0.0013469835974261244
pair,0.2,0.2,0.4917792994658157,0.0019069942762220112
pair,0.2,0.3,0.49474300601106613,0.0013338146405975104
pair,0.2,0.4,0.49739839147217335,0.0016121878100092185
pair,0.2,0.5,0.49801742372638297,0.0020482980587113926
pair,0.2,0.6,0.5026016085278265,0.0016121878100092907
pair,0.2,0.7000000000000001,0.5052569939889339,0.0013338146405975318
pair,0.2,0.8,0.5082207005341842,0.0019069942762220203
pair,0.2,0.9,0.5103669976935671,0.0013469835974261593
pair,0.4,0.1,0.4959213183713954,0.002409447860052249
pair,0.4,0.2,0.4960551631831164,0.002858559251361537
pair,0.4,0.3,0.497145042364273,0.0017616368222854297
pair,0.4,0.4,0.4981656090536455,0.00154883745802387
pair,0.4,0.5,0.49801742372638297,0.0020482980587113926
pair,0.4,0.6,0.5018343909463545,0.001548837458023859
pair,0.4,0.7000000000000001,0.5028549576357271,0.0017616368222854344
pair,0.4,0.8,0.5039448368168836,0.0028585592513615575
pair,0.4,0.9,0.5040786816286046,0.002409447860052274
sym,0.01,0.1,0.48429355035313515,0.0015372777374040494
sym,0.01,0.2,0.487754394770492,0.0025262993397644467
sym,0.01,0.3,0.49215693304174285,0.0018251596598063404
sym,0.01,0.4,0.49570621063827247,0.0021951478696081313
sym,0.01,0.5,0.49801742372638297,0.0020482980587113926
sym,0.01,0.6,0.5042937893617275,0.0021951478696081296
sym,0.01,0.7000000000000001,0.5078430669582572,0.0018251596598063543
sym,0.01,0.8,0.512245605229508,0.00252629933976447
sym,0.01,0.9,0.5157064496468647,0.0015372777374040812
sym,0.2,0.1,0.4896330023064329,0.0013469835974261244
sym,0.2,0.2,0.4917792994658157,0.0019069942762220112
sym,0.2,0.3,0.49474300601106613,0.0013338146405975104
sym,0.2,0.4,0.49739839147217335,0.0016121878100092185
sym,0.2,0.5,0.49801742372638297,0.0020482980587113926
sym,0.2,0.6,0.5026016085278265,0.0016121878100092907
sym,0.2,0.7000000000000001,0.5052569939889339,0.0013338146405975318
sym,0.2,0.8,0.5082207005341842,0.0019069942762220203
sym,0.2,0.9,0.5103669976935671,0.0013469835974261593
sym,0.4,0.1,0.4959213183713954,0.002409447860052249
sym,0.4,0.2,0.4960551631831164,0.002858559251361537
sym,0.4,0.3,0.497145042364273,0.0017616368222854297
sym,0.4,0.4,0.4981656090536455,0.00154883745802387
sym,0.4,0.5,0.49801742372638297,0.0020482980587113926
sym,0.4,0.6,0.5018343909463545,0.001548837458023859
sym,0.4,0.7000000000000001,0.5028549576357271,0.0017616368222854344
sym,0.4,0.8,0.5039448368168836,0.0028585592513615575
sym,0.4,0.9,0.5040786816286046,0.002409447860052274
