noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.5019047619047619,0.048748510065027534
instance,0.01,0.2,0.5257142857142857,0.051573868824999286
instance,0.01,0.3,0.5676190476190477,0.0647163705470266
instance,0.01,0.4,0.6171428571428572,0.06250623551661108
instance,0.01,0.5,0.6657142857142857,0.06506581353293715
instance,0.01,0.6,0.7133333333333333,0.07956799456840163
instance,0.01,0.7000000000000001,0.7571428571428571,0.06503095373213175
instance,0.01,0.8,0.78,0.04197504927816955
instance,0.01,0.9,0.8123809523809523,0.04648653280710769
instance,0.1,0.1,0.5019047619047619,0.048748510065027534
instance,0.1,0.2,0.5257142857142857,0.051573868824999286
instance,0.1,0.3,0.5676190476190477,0.0647163705470266
instance,0.1,0.4,0.6171428571428572,0.06250623551661108
instance,0.1,0.5,0.6657142857142857,0.06506581353293715
instance,0.1,0.6,0.7133333333333333,0.07956799456840163
instance,0.1,0.7000000000000001,0.7571428571428571,0.06503095373213175
instance,0.1,0.8,0.78,0.04197504927816955
instance,0.1,0.9,0.8123809523809523,0.04648653280710769
instance,0.2,0.1,0.519047619047619,0.0731537690273201
instance,0.2,0.2,0.539047619047619,0.06627435589602598
instance,0.2,0.3,0.5819047619047619,0.08507699593953262
instance,0.2,0.4,0.6323809523809524,0.0774743026667304
instance,0.2,0.5,0.6828571428571429,0.07350937435398179
instance,0.2,0.6,0.7295238095238095,0.08105036087354837
instance,0.2,0.7000000000000001,0.7742857142857142,0.06839593946388482
instance,0.2,0.8,0.7942857142857143,0.051441797241167264
instance,0.2,0.9,0.8152380952380952,0.0505525029603436
instance,0.3,0.1,0.5199999999999999,0.07264051205029952
instance,0.3,0.2,0.5399999999999999,0.06569012668403205
instance,0.3,0.3,0.5838095238095239,0.08408504495200385
instance,0.3,0.4,0.6323809523809524,0.0774743026667304
instance,0.3,0.5,0.6857142857142857,0.07276527042826728
instance,0.3,0.6,0.7295238095238095,0.08105036087354837
instance,0.3,0.7000000000000001,0.7742857142857142,0.06839593946388482
instance,0.3,0.8,0.7961904761904762,0.05317578771483289
instance,0.3,0.9,0.8152380952380952,0.0505525029603436
pair,0.01,0.1,0.49523809523809526,0.023650260993256095
pair,0.01,0.2,0.5214285714285715,0.021117674120079546
pair,0.01,0.3,0.5642857142857143,0.019245008972987518
pair,0.01,0.4,0.6154761904761905,0.023769808145828474
pair,0.01,0.5,0.6678571428571428,0.017975796274454142
pair,0.01,0.6,0.7142857142857143,0.007776157913597363
pair,0.01,0.7000000000000001,0.7702380952380952,0.011251941967268139
pair,0.01,0.8,0.830952380952381,0.013746434980705387
pair,0.01,0.9,0.8738095238095238,0.021117674120079463
pair,0.1,0.1,0.5152380952380952,0.03423938668999535
pair,0.1,0.2,0.5428571428571429,0.03719166512336501
pair,0.1,0.3,0.5847619047619048,0.04074142787849036
pair,0.1,0.4,0.6352380952380953,0.03758588049651639
pair,0.1,0.5,0.6923809523809524,0.045996154823021905
pair,0.1,0.6,0.7438095238095238,0.05306907320287633
pair,0.1,0.7000000000000001,0.7923809523809524,0.03992623584048496
pair,0.1,0.8,0.8247619047619047,0.025951288749407064
pair,0.1,0.9,0.8523809523809524,0.05128728387747143
pair,0.2,0.1,0.5247619047619048,0.02113556287730682
pair,0.2,0.2,0.5542857142857143,0.031153194731040244
pair,0.2,0.3,0.599047619047619,0.03830300486131468
pair,0.2,0.4,0.6504761904761904,0.04423704442854699
pair,0.2,0.5,0.7038095238095238,0.04953296618646032
pair,0.2,0.6,0.7504761904761905,0.050237531028201644
pair,0.2,0.7000000000000001,0.7961904761904762,0.03725258517258657
pair,0.2,0.8,0.8323809523809524,0.02460573463383586
pair,0.2,0.9,0.8609523809523809,0.03946926816209919
pair,0.3,0.1,0.5361904761904761,0.04550049213558574
pair,0.3,0.2,0.5619047619047619,0.049829641753467525
pair,0.3,0.3,0.5980952380952381,0.044108709245369186
pair,0.3,0.4,0.6476190476190476,0.039698409525078714
pair,0.3,0.5,0.6980952380952381,0.04280420010332231
pair,0.3,0.6,0.7457142857142858,0.04780914437337573
pair,0.3,0.7000000000000001,0.7895238095238095,0.03373902777889212
pair,0.3,0.8,0.8228571428571427,0.015576597365520091
pair,0.3,0.9,0.8504761904761905,0.03343521844103229
sym,0.01,0.1,0.5066666666666666,0.03274999783628459
sym,0.01,0.2,0.5342857142857144,0.03407341679999684
sym,0.01,0.3,0.580952380952381,0.0408248290463863
sym,0.01,0.4,0.6333333333333334,0.04492371967646002
sym,0.01,0.5,0.6895238095238095,0.05088780955197161
sym,0.01,0.6,0.74,0.05789191586830146
sym,0.01,0.7000000000000001,0.7904761904761906,0.046291004988627614
sym,0.01,0.8,0.8219047619047618,0.023473823893078546
sym,0.01,0.9,0.8523809523809524,0.05128728387747143
sym,0.1,0.1,0.5152380952380952,0.042511836420315516
sym,0.1,0.2,0.5428571428571429,0.04259177099999604
sym,0.1,0.3,0.5914285714285714,0.049647281977060434
sym,0.1,0.4,0.64,0.050462711587576974
sym,0.1,0.5,0.6980952380952381,0.05266158590837811
sym,0.1,0.6,0.7476190476190476,0.05259695722470125
sym,0.1,0.7000000000000001,0.7895238095238095,0.03932537680392874
sym,0.1,0.8,0.8285714285714286,0.01614840472172684
sym,0.1,0.9,0.8609523809523809,0.03932537680392867
sym,0.2,0.1,0.5152380952380952,0.028452131897694632
sym,0.2,0.2,0.5419047619047619,0.03056534578263089
sym,0.2,0.3,0.5819047619047619,0.0371000974872047
sym,0.2,0.4,0.6323809523809525,0.0457242052729821
sym,0.2,0.5,0.6914285714285715,0.04706824302152979
sym,0.2,0.6,0.7371428571428572,0.056283216446066237
sym,0.2,0.7000000000000001,0.7761904761904762,0.05793107171712593
sym,0.2,0.8,0.8133333333333332,0.045100039971625046
sym,0.2,0.9,0.8438095238095238,0.041839776450454794
sym,0.3,0.1,0.5095238095238095,0.03794613678692674
sym,0.3,0.2,0.5361904761904762,0.0377364052498266
sym,0.3,0.3,0.580952380952381,0.0408248290463863
sym,0.3,0.4,0.6333333333333334,0.04492371967646002
sym,0.3,0.5,0.6857142857142857,0.04285714285714285
sym,0.3,0.6,0.7333333333333334,0.04312088161017817
sym,0.3,0.7000000000000001,0.7828571428571428,0.02985224384506191
sym,0.3,0.8,0.8171428571428571,0.033094381626464886
sym,0.3,0.9,0.8657142857142857,0.02573191635448816
