noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.4721153846153846,0.022395797497792518
instance,0.01,0.2,0.4788461538461538,0.04016653571962585
instance,0.01,0.3,0.4990384615384616,0.034232659844072914
instance,0.01,0.4,0.5028846153846154,0.013850827202776883
instance,0.01,0.5,0.5048076923076923,0.02782653101632269
instance,0.01,0.6,0.49711538461538457,0.013850827202776902
instance,0.01,0.7000000000000001,0.5009615384615385,0.03423265984407292
instance,0.01,0.8,0.5211538461538462,0.040166535719625834
instance,0.01,0.9,0.5278846153846153,0.02239579749779253
instance,0.2,0.1,0.4875,0.019996763791428306
instance,0.2,0.2,0.475,0.027492266260568825
instance,0.2,0.3,0.4990384615384615,0.0337224575322119
instance,0.2,0.4,0.5028846153846154,0.00873360679066581
instance,0.2,0.5,0.4971153846153847,0.028156827816050636
instance,0.2,0.6,0.49711538461538457,0.00873360679066585
instance,0.2,0.7000000000000001,0.5009615384615385,0.03372245753221194
instance,0.2,0.8,0.525,0.027492266260568835
instance,0.2,0.9,0.5125,0.019996763791428316
instance,0.4,0.1,0.46442307692307694,0.01466149104036241
instance,0.4,0.2,0.46730769230769226,0.033893378330797225
instance,0.4,0.3,0.47980769230769227,0.011478208063762822
instance,0.4,0.4,0.49326923076923074,0.012989669313563766
instance,0.4,0.5,0.5067307692307692,0.027323600458428538
instance,0.4,0.6,0.5067307692307692,0.01298966931356374
instance,0.4,0.7000000000000001,0.5201923076923076,0.011478208063762813
instance,0.4,0.8,0.5326923076923077,0.03389337833079727
instance,0.4,0.9,0.5355769230769231,0.01466149104036241
pair,0.01,0.1,0.4651442307692307,0.021987856945532406
pair,0.01,0.2,0.47475961538461536,0.03813462831503461
pair,0.01,0.3,0.5,0.03640325862692486
pair,0.01,0.4,0.5060096153846154,0.023998363993384543
pair,0.01,0.5,0.4963942307692307,0.021634615384615398
pair,0.01,0.6,0.4939903846153846,0.02399836399338454
pair,0.01,0.7000000000000001,0.49999999999999994,0.0364032586269249
pair,0.01,0.8,0.5252403846153846,0.03813462831503457
pair,0.01,0.9,0.5348557692307693,0.02198785694553246
pair,0.2,0.1,0.4865384615384615,0.025755952376882447
pair,0.2,0.2,0.510576923076923,0.03571956850193599
pair,0.2,0.3,0.5,0.025890215418915872
pair,0.2,0.4,0.49423076923076925,0.015726372340188595
pair,0.2,0.5,0.5134615384615384,0.020510316353559162
pair,0.2,0.6,0.5057692307692307,0.015726372340188595
pair,0.2,0.7000000000000001,0.5,0.02589021541891588
pair,0.2,0.8,0.4894230769230769,0.035719568501935986
pair,0.2,0.9,0.5134615384615384,0.02575595237688249
pair,0.4,0.1,0.4788461538461538,0.012536927702312796
pair,0.4,0.2,0.49519230769230765,0.03078425114150411
pair,0.4,0.3,0.49615384615384617,0.034401045807689073
pair,0.4,0.4,0.5,0.03500052831384865
pair,0.4,0.5,0.5096153846153846,0.02305688232361882
pair,0.4,0.6,0.5,0.03500052831384865
pair,0.4,0.7000000000000001,0.5038461538461538,0.034401045807689073
pair,0.4,0.8,0.5048076923076923,0.030784251141504102
pair,0.4,0.9,0.5211538461538462,0.01253692770231276
sym,0.01,0.1,0.46538461538461534,0.019049627650152803
sym,0.01,0.2,0.47788461538461535,0.03375671092604225
sym,0.01,0.3,0.5038461538461538,0.03267816436147392
sym,0.01,0.4,0.5057692307692307,0.020790142606192004
sym,0.01,0.5,0.5038461538461538,0.025073855404625603
sym,0.01,0.6,0.49423076923076914,0.020790142606191993
sym,0.01,0.7000000000000001,0.49615384615384617,0.032678164361473944
sym,0.01,0.8,0.5221153846153845,0.033756710926042224
sym,0.01,0.9,0.5346153846153847,0.01904962765015286
sym,0.2,0.1,0.4865384615384615,0.025755952376882447
sym,0.2,0.2,0.510576923076923,0.03571956850193599
sym,0.2,0.3,0.5,0.025890215418915872
sym,0.2,0.4,0.49423076923076925,0.015726372340188595
sym,0.2,0.5,0.5134615384615384,0.020510316353559162
sym,0.2,0.6,0.5057692307692307,0.015726372340188595
sym,0.2,0.7000000000000001,0.5,0.02589021541891588
sym,0.2,0.8,0.4894230769230769,0.035719568501935986
sym,0.2,0.9,0.5134615384615384,0.02575595237688249
sym,0.4,0.1,0.4788461538461538,0.012536927702312796
sym,0.4,0.2,0.49519230769230765,0.03078425114150411
sym,0.4,0.3,0.49615384615384617,0.034401045807689073
sym,0.4,0.4,0.5,0.03500052831384865
sym,0.4,0.5,0.5096153846153846,0.02305688232361882
sym,0.4,0.6,0.5,0.03500052831384865
sym,0.4,0.7000000000000001,0.5038461538461538,0.034401045807689073
sym,0.4,0.8,0.5048076923076923,0.030784251141504102
sym,0.4,0.9,0.5211538461538462,0.01253692770231276
