noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.6542319749216301,0.004170943288631726
instance,0.01,0.2,0.6531347962382446,0.006743911416352917
instance,0.01,0.3,0.6573667711598746,0.006885856625858569
instance,0.01,0.4,0.6612852664576803,0.009439426631420016
instance,0.01,0.5,0.6663009404388714,0.004690751489543985
instance,0.01,0.6,0.6677115987460815,0.009033810253447112
instance,0.01,0.7000000000000001,0.6690438871473354,0.009648573600987982
instance,0.01,0.8,0.6733542319749216,0.008416103296968321
instance,0.01,0.9,0.6671630094043887,0.00703476319436096
instance,0.2,0.1,0.6480407523510971,0.008046761520466905
instance,0.2,0.2,0.6484326018808777,0.0037008523364004536
instance,0.2,0.3,0.6587774294670846,0.009864184427158019
instance,0.2,0.4,0.6579153605015674,0.009990241993716264
instance,0.2,0.5,0.6605015673981192,0.0065428311801698025
instance,0.2,0.6,0.6642633228840126,0.010530477681047281
instance,0.2,0.7000000000000001,0.670846394984326,0.0052863391705454815
instance,0.2,0.8,0.6650470219435737,0.009691445775797548
instance,0.2,0.9,0.6742163009404389,0.008614453429731002
instance,0.4,0.1,0.6443573667711598,0.009027859406165647
instance,0.4,0.2,0.6470219435736677,0.014207990610204727
instance,0.4,0.3,0.6526645768025079,0.009656527252986564
instance,0.4,0.4,0.6669278996865204,0.012721538464536001
instance,0.4,0.5,0.6608934169278997,0.004096655184540817
instance,0.4,0.6,0.6641065830721004,0.00822604072400946
instance,0.4,0.7000000000000001,0.666692789968652,0.009704112268085442
instance,0.4,0.8,0.6663793103448276,0.010358473947821072
instance,0.4,0.9,0.6775078369905956,0.008381367412306991
pair,0.01,0.1,0.6387931034482758,0.03740203248594724
pair,0.01,0.2,0.6378526645768025,0.029685543839638513
pair,0.01,0.3,0.6455329153605016,0.01986217199891743
pair,0.01,0.4,0.6553291536050156,0.018214892628285524
pair,0.01,0.5,0.6641065830721004,0.01884018081141868
pair,0.01,0.6,0.6660658307210031,0.007595212471271727
pair,0.01,0.7000000000000001,0.6669278996865204,0.010648650659640454
pair,0.01,0.8,0.6681034482758621,0.009326512723677063
pair,0.01,0.9,0.6779780564263322,0.018602331624706932
pair,0.2,0.1,0.6397335423197492,0.029994539405351867
pair,0.2,0.2,0.6474137931034483,0.021051475507046318
pair,0.2,0.3,0.6487460815047023,0.022234828189904778
pair,0.2,0.4,0.6551724137931034,0.01226683059756935
pair,0.2,0.5,0.6669278996865204,0.01261548591849943
pair,0.2,0.6,0.6661442006269592,0.0070369455313746155
pair,0.2,0.7000000000000001,0.6682601880877743,0.015765796909696546
pair,0.2,0.8,0.6755485893416928,0.01185951876992287
pair,0.2,0.9,0.6681818181818182,0.014072254468632072
pair,0.4,0.1,0.6422413793103449,0.017488960505032427
pair,0.4,0.2,0.6452978056426332,0.0195560005285085
pair,0.4,0.3,0.6489028213166144,0.016427330577002016
pair,0.4,0.4,0.6510971786833857,0.014275912491323694
pair,0.4,0.5,0.6578369905956113,0.009430475834790763
pair,0.4,0.6,0.6563479623824452,0.007315107642082491
pair,0.4,0.7000000000000001,0.6643416927899686,0.009053335496901769
pair,0.4,0.8,0.6729623824451411,0.0062976936846295415
pair,0.4,0.9,0.6748432601880878,0.018353037313649703
sym,0.01,0.1,0.6360501567398119,0.036836356881670515
sym,0.01,0.2,0.6409090909090909,0.02523036326786893
sym,0.01,0.3,0.6494514106583071,0.019667958048946384
sym,0.01,0.4,0.6543887147335423,0.016817604807112044
sym,0.01,0.5,0.656191222570533,0.014979213887734192
sym,0.01,0.6,0.6612068965517242,0.012281216911757573
sym,0.01,0.7000000000000001,0.6655172413793103,0.011181795551853314
sym,0.01,0.8,0.6767241379310345,0.00932239596659115
sym,0.01,0.9,0.6783699059561129,0.014459725506286783
sym,0.2,0.1,0.6360501567398119,0.0259352886760627
sym,0.2,0.2,0.6495297805642634,0.02249229954192717
sym,0.2,0.3,0.647962382445141,0.01537878366320437
sym,0.2,0.4,0.6522727272727272,0.01854487669749038
sym,0.2,0.5,0.6633228840125392,0.00806582066966809
sym,0.2,0.6,0.6724137931034483,0.008224173927043579
sym,0.2,0.7000000000000001,0.6695924764890282,0.00710966672729889
sym,0.2,0.8,0.6681818181818182,0.013006217270211827
sym,0.2,0.9,0.6826802507836991,0.00934049612583246
sym,0.4,0.1,0.6496865203761756,0.009084657617060819
sym,0.4,0.2,0.6484326018808777,0.013902101213711111
sym,0.4,0.3,0.6559561128526645,0.013388988685948155
sym,0.4,0.4,0.6568965517241379,0.00926705497966787
sym,0.4,0.5,0.658307210031348,0.0064921792812621
sym,0.4,0.6,0.6712382445141066,0.006070506812237301
sym,0.4,0.7000000000000001,0.6684169278996865,0.009009983282121941
sym,0.4,0.8,0.6713166144200626,0.008089581460756681
sym,0.4,0.9,0.6762539184952978,0.00401908507992415
