noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.6539968652037618,0.005131583406625673
instance,0.01,0.2,0.6552507836990595,0.010305717129067835
instance,0.01,0.3,0.6590909090909091,0.014087521953172082
instance,0.01,0.4,0.660423197492163,0.01745732533803109
instance,0.01,0.5,0.6813031795790416,0.025007402957319676
instance,0.01,0.6,0.6786356289184953,0.02033431917125775
instance,0.01,0.7000000000000001,0.6775393580095528,0.014377822931369705
instance,0.01,0.8,0.6812295361012801,0.023167441932287584
instance,0.01,0.9,0.6833563389856854,0.016781830637632136
instance,0.1,0.1,0.6569749216300941,0.0052906942495517416
instance,0.1,0.2,0.6580721003134796,0.007286715684688268
instance,0.1,0.3,0.6605799373040753,0.006541657683401376
instance,0.1,0.4,0.6619905956112853,0.011563213386158643
instance,0.1,0.5,0.6652149574563367,0.013291011052704272
instance,0.1,0.6,0.6702622942789969,0.016383716310900832
instance,0.1,0.7000000000000001,0.6642933367893936,0.013549329685301216
instance,0.1,0.8,0.6605171949034581,0.012344129173381818
instance,0.1,0.9,0.6642174369966156,0.01292817538403233
instance,0.2,0.1,0.6561128526645768,0.00529069424955176
instance,0.2,0.2,0.6594827586206896,0.007623462562046901
instance,0.2,0.3,0.6623040752351097,0.009295179642145218
instance,0.2,0.4,0.6623824451410659,0.014881514495127647
instance,0.2,0.5,0.6787057769816391,0.020069000325463073
instance,0.2,0.6,0.6805887539184953,0.023293739213714762
instance,0.2,0.7000000000000001,0.6931181010330907,0.03048488306342115
instance,0.2,0.8,0.6885497733140303,0.02540396980234159
instance,0.2,0.9,0.6973472386309866,0.022905123294866908
instance,0.3,0.1,0.6614420062695925,0.011907971315848536
instance,0.3,0.2,0.6663009404388714,0.013051001405649878
instance,0.3,0.3,0.6685736677115988,0.012845853191681997
instance,0.3,0.4,0.6713166144200627,0.02017435315714741
instance,0.3,0.5,0.6852888490819525,0.020786085758617106
instance,0.3,0.6,0.6878771551724138,0.024970919217298482
instance,0.3,0.7000000000000001,0.6958373142684575,0.02706636959175716
instance,0.3,0.8,0.6897330485138184,0.02055356777202738
instance,0.3,0.9,0.7012270249064171,0.01966275113211016
pair,0.01,0.1,0.638871473354232,0.03215148673501468
pair,0.01,0.2,0.6440438871473354,0.02782766274921377
pair,0.01,0.3,0.653448275862069,0.02241365609270445
pair,0.01,0.4,0.6577586206896552,0.019019037672497328
pair,0.01,0.5,0.6805978504254366,0.02484504240506483
pair,0.01,0.6,0.6781654094827586,0.02004085973545587
pair,0.01,0.7000000000000001,0.6816403043817925,0.01817328845792856
pair,0.01,0.8,0.6875675642702943,0.022718548139005826
pair,0.01,0.9,0.6910486466779932,0.016807291450852354
pair,0.1,0.1,0.6435736677115987,0.0356266437668683
pair,0.1,0.2,0.6487460815047023,0.03152574976525715
pair,0.1,0.3,0.6550156739811912,0.023415427597735957
pair,0.1,0.4,0.6608934169278997,0.020189949582172302
pair,0.1,0.5,0.6781683833407971,0.02689688199155713
pair,0.1,0.6,0.6746387637147335,0.020869416616975396
pair,0.1,0.7000000000000001,0.6747437526576545,0.02000838690496112
pair,0.1,0.8,0.6784766551793852,0.02634330200131292
pair,0.1,0.9,0.6774906529475857,0.02173316381024354
pair,0.2,0.1,0.6401253918495298,0.03301852581718129
pair,0.2,0.2,0.6438087774294671,0.027669127655030917
pair,0.2,0.3,0.6505485893416928,0.020031139465459976
pair,0.2,0.4,0.6551724137931034,0.016661670552875592
pair,0.2,0.5,0.6765226153157188,0.027345273006858926
pair,0.2,0.6,0.6736983248432602,0.02094604650398442
pair,0.2,0.7000000000000001,0.6756058216231718,0.019933411396316426
pair,0.2,0.8,0.6806710125461564,0.025502765543253862
pair,0.2,0.9,0.6816442579632597,0.01948682433596266
pair,0.3,0.1,0.639576802507837,0.03424975603798761
pair,0.3,0.2,0.6452978056426332,0.030868442578806624
pair,0.3,0.3,0.6544670846394984,0.024538980417483515
pair,0.3,0.4,0.6572100313479623,0.021209523200022725
pair,0.3,0.5,0.6712606359158084,0.024993433633731785
pair,0.3,0.6,0.6715762147335423,0.028571113431837922
pair,0.3,0.7000000000000001,0.6843695967363431,0.026793107288662615
pair,0.3,0.8,0.6750878103134564,0.017834005505610002
pair,0.3,0.9,0.6818576012266486,0.023022535663645434
sym,0.01,0.1,0.636128526645768,0.030976690513917337
sym,0.01,0.2,0.6403605015673981,0.026115235170376064
sym,0.01,0.3,0.65,0.02118960526001756
sym,0.01,0.4,0.6514890282131661,0.01634440040902375
sym,0.01,0.5,0.6601992834751456,0.01285236468845964
sym,0.01,0.6,0.6647764008620689,0.019839772590840885
sym,0.01,0.7000000000000001,0.6703278195480142,0.016946219198327044
sym,0.01,0.8,0.667413746627596,0.019120630710532712
sym,0.01,0.9,0.6736218257113492,0.021899952923568066
sym,0.1,0.1,0.6344043887147335,0.03025118975802316
sym,0.1,0.2,0.635501567398119,0.025217884364222024
sym,0.1,0.3,0.6438871473354232,0.022834104657973656
sym,0.1,0.4,0.6447492163009405,0.021422381897517075
sym,0.1,0.5,0.6500111957008509,0.021924837146088512
sym,0.1,0.6,0.6535695043103449,0.029597556202810495
sym,0.1,0.7000000000000001,0.6573967850652556,0.032596842569889144
sym,0.1,0.8,0.6537773829912323,0.03049914848921689
sym,0.1,0.9,0.6544211987521015,0.03750145290749346
sym,0.2,0.1,0.6397335423197492,0.03255607011721457
sym,0.2,0.2,0.643730407523511,0.027723735001871308
sym,0.2,0.3,0.6528996865203761,0.02233439199071411
sym,0.2,0.4,0.657601880877743,0.019073051961113363
sym,0.2,0.5,0.6803627407075683,0.025149491706392742
sym,0.2,0.6,0.6783221492946708,0.01974804477051747
sym,0.2,0.7000000000000001,0.6826591131592219,0.01624966998023956
sym,0.2,0.8,0.6872540846464699,0.023294334291762073
sym,0.2,0.9,0.6876003708159242,0.023377286816377765
sym,0.3,0.1,0.6481974921630094,0.04035802865480125
sym,0.3,0.2,0.6510188087774295,0.03532909797416023
sym,0.3,0.3,0.6570532915360502,0.027244675336564952
sym,0.3,0.4,0.6616771159874608,0.025586904169894443
sym,0.3,0.5,0.6656851768920735,0.021841138105358184
sym,0.3,0.6,0.6735538303291536,0.024879462129442236
sym,0.3,0.7000000000000001,0.6758920828708983,0.022256095607148293
sym,0.3,0.8,0.6713322419254016,0.023654336605483363
sym,0.3,0.9,0.6744055247709102,0.027794067079666394
