,output,output,output,output,output,output,output,output,output,output,output,output
noise_type,instance,instance,instance,instance,pair,pair,pair,pair,sym,sym,sym,sym
initial_noise,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3
dataset,,,,,,,,,,,,
balancescale,\makecell{0.1815$\pm$0.0112\\ p=1.0000} &,\makecell{0.1557$\pm$0.0112\\ p=0.9994} &,\makecell{0.1311$\pm$0.0068\\ p=0.9991} &,\makecell{0.1027$\pm$0.0144\\ p=0.5729} &,\makecell{0.2373$\pm$0.0061\\ p=1.0000} &,\makecell{0.1853$\pm$0.0124\\ p=0.9999} &,\makecell{0.1879$\pm$0.0143\\ p=0.9999} &,\makecell{0.1577$\pm$0.0163\\ p=0.9962} &,\makecell{0.2273$\pm$0.0086\\ p=1.0000} &,\makecell{0.1788$\pm$0.0082\\ p=1.0000} &,\makecell{0.1655$\pm$0.013\\ p=0.9995} &,\makecell{0.1285$\pm$0.0111\\ p=0.9832} &
bci,\makecell{0.0585$\pm$0.0067\\ p=0.0001} &,\makecell{0.0622$\pm$0.006\\ p=0.0001} &,\makecell{0.0572$\pm$0.0052\\ p=0.0000} &,\makecell{-0.0232$\pm$0.0176\\ p=0.0012} &,\makecell{0.0842$\pm$0.0067\\ p=0.0228} &,\makecell{0.0695$\pm$0.0108\\ p=0.0114} &,\makecell{0.0735$\pm$0.0061\\ p=0.0012} &,\makecell{0.0628$\pm$0.0072\\ p=0.0004} &,\makecell{0.0842$\pm$0.0067\\ p=0.0228} &,\makecell{0.0695$\pm$0.0108\\ p=0.0114} &,\makecell{0.0735$\pm$0.0061\\ p=0.0012} &,\makecell{0.0628$\pm$0.0072\\ p=0.0004} &
breastcancer,\makecell{-0.0091$\pm$0.0273\\ p=0.0052} &,\makecell{-0.0035$\pm$0.0247\\ p=0.0023} &,\makecell{0.0389$\pm$0.0184\\ p=0.0053} &,\makecell{0.0566$\pm$0.0076\\ p=0.0002} &,\makecell{0.0134$\pm$0.0201\\ p=0.0013} &,\makecell{0.0133$\pm$0.0134\\ p=0.0001} &,\makecell{0.0086$\pm$0.0069\\ p=0.0000} &,\makecell{0.0161$\pm$0.0067\\ p=0.0000} &,\makecell{0.0049$\pm$0.0243\\ p=0.0022} &,\makecell{0.0133$\pm$0.0134\\ p=0.0001} &,\makecell{0.0086$\pm$0.0069\\ p=0.0000} &,\makecell{0.0161$\pm$0.0067\\ p=0.0000} &
cifar10,\makecell{0.8137$\pm$0.0012\\ p=1.0000} &,\makecell{0.7683$\pm$0.0009\\ p=1.0000} &,\makecell{0.6932$\pm$0.0009\\ p=1.0000} &,\makecell{0.5981$\pm$0.0012\\ p=1.0000} &,\makecell{0.888$\pm$0.0012\\ p=1.0000} &,\makecell{0.7956$\pm$0.0008\\ p=1.0000} &,\makecell{0.6968$\pm$0.0012\\ p=1.0000} &,\makecell{0.5975$\pm$0.0006\\ p=1.0000} &,\makecell{0.8881$\pm$0.0014\\ p=1.0000} &,\makecell{0.7983$\pm$0.0006\\ p=1.0000} &,\makecell{0.6994$\pm$0.0009\\ p=1.0000} &,\makecell{0.598$\pm$0.0008\\ p=1.0000} &
coil,\makecell{0.2055$\pm$0.005\\ p=1.0000} &,\makecell{0.1812$\pm$0.0052\\ p=1.0000} &,\makecell{0.1689$\pm$0.0055\\ p=1.0000} &,\makecell{0.1391$\pm$0.0059\\ p=0.9999} &,\makecell{0.2032$\pm$0.0045\\ p=1.0000} &,\makecell{0.1819$\pm$0.0048\\ p=1.0000} &,\makecell{0.1624$\pm$0.003\\ p=1.0000} &,\makecell{0.1481$\pm$0.0032\\ p=1.0000} &,\makecell{0.203$\pm$0.0052\\ p=1.0000} &,\makecell{0.1766$\pm$0.0036\\ p=1.0000} &,\makecell{0.1487$\pm$0.0051\\ p=1.0000} &,\makecell{0.127$\pm$0.0038\\ p=0.9999} &
coil2,\makecell{0.0376$\pm$0.0045\\ p=0.0000} &,\makecell{0.0313$\pm$0.0051\\ p=0.0000} &,\makecell{0.0287$\pm$0.0017\\ p=0.0000} &,\makecell{0.0301$\pm$0.0025\\ p=0.0000} &,\makecell{0.0504$\pm$0.0056\\ p=0.0000} &,\makecell{0.0234$\pm$0.0048\\ p=0.0000} &,\makecell{0.0063$\pm$0.0112\\ p=0.0000} &,\makecell{-0.001$\pm$0.0064\\ p=0.0000} &,\makecell{0.0504$\pm$0.0056\\ p=0.0000} &,\makecell{0.0234$\pm$0.0048\\ p=0.0000} &,\makecell{0.0063$\pm$0.0112\\ p=0.0000} &,\makecell{-0.001$\pm$0.0064\\ p=0.0000} &
digit1,\makecell{0.6005$\pm$0.0057\\ p=1.0000} &,\makecell{0.5539$\pm$0.0054\\ p=1.0000} &,\makecell{0.4361$\pm$0.0053\\ p=1.0000} &,\makecell{0.2844$\pm$0.0064\\ p=1.0000} &,\makecell{0.7301$\pm$0.0063\\ p=1.0000} &,\makecell{0.5932$\pm$0.0055\\ p=1.0000} &,\makecell{0.4392$\pm$0.0052\\ p=1.0000} &,\makecell{0.2864$\pm$0.0062\\ p=1.0000} &,\makecell{0.7301$\pm$0.0063\\ p=1.0000} &,\makecell{0.5932$\pm$0.0055\\ p=1.0000} &,\makecell{0.4392$\pm$0.0052\\ p=1.0000} &,\makecell{0.2864$\pm$0.0062\\ p=1.0000} &
