,output,output,output,output,output,output,output,output,output,output,output,output
noise_type,instance,instance,instance,instance,pair,pair,pair,pair,sym,sym,sym,sym
initial_noise,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3
dataset,,,,,,,,,,,,
balancescale,\makecell{0.1783$\pm$0.0048\\ p=1.0000} &,\makecell{0.1783$\pm$0.0048\\ p=1.0000} &,\makecell{0.1783$\pm$0.0048\\ p=1.0000} &,\makecell{0.1695$\pm$0.0045\\ p=1.0000} &,\makecell{0.2037$\pm$0.0045\\ p=1.0000} &,\makecell{0.2037$\pm$0.0045\\ p=1.0000} &,\makecell{0.2475$\pm$0.0045\\ p=1.0000} &,\makecell{0.1999$\pm$0.0046\\ p=1.0000} &,\makecell{0.2037$\pm$0.0045\\ p=1.0000} &,\makecell{0.2037$\pm$0.0045\\ p=1.0000} &,\makecell{0.2475$\pm$0.0045\\ p=1.0000} &,\makecell{0.1949$\pm$0.0046\\ p=1.0000} &
breastcancer,\makecell{0.0747$\pm$0.0055\\ p=0.0009} &,\makecell{0.0747$\pm$0.0055\\ p=0.0009} &,\makecell{0.0747$\pm$0.0055\\ p=0.0009} &,\makecell{0.0279$\pm$0.0069\\ p=0.0000} &,\makecell{0.0819$\pm$0.0062\\ p=0.0096} &,\makecell{0.0372$\pm$0.009\\ p=0.0001} &,\makecell{0.0167$\pm$0.0132\\ p=0.0001} &,\makecell{0.0167$\pm$0.0132\\ p=0.0001} &,\makecell{0.0747$\pm$0.0055\\ p=0.0009} &,\makecell{0.0372$\pm$0.009\\ p=0.0001} &,\makecell{0.0167$\pm$0.0132\\ p=0.0001} &,\makecell{0.0167$\pm$0.0132\\ p=0.0001} &
iris,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8444$\pm$0.0189\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &,\makecell{0.8478$\pm$0.0147\\ p=1.0000} &
krkp,\makecell{0.0088$\pm$0.0017\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{0.0104$\pm$0.0012\\ p=0.0000} &,\makecell{0.0114$\pm$0.0016\\ p=0.0000} &,\makecell{0.0098$\pm$0.0021\\ p=0.0000} &,\makecell{0.0128$\pm$0.0021\\ p=0.0000} &,\makecell{0.0104$\pm$0.0012\\ p=0.0000} &,\makecell{0.0114$\pm$0.0016\\ p=0.0000} &,\makecell{0.0098$\pm$0.0021\\ p=0.0000} &,\makecell{0.0128$\pm$0.0021\\ p=0.0000} &
letter,\makecell{0.2163$\pm$0.0024\\ p=1.0000} &,\makecell{0.2148$\pm$0.0024\\ p=1.0000} &,\makecell{0.2168$\pm$0.0024\\ p=1.0000} &,\makecell{0.2119$\pm$0.0024\\ p=1.0000} &,\makecell{0.221$\pm$0.0025\\ p=1.0000} &,\makecell{0.2174$\pm$0.0026\\ p=1.0000} &,\makecell{0.2192$\pm$0.0023\\ p=1.0000} &,\makecell{0.2064$\pm$0.0024\\ p=1.0000} &,\makecell{0.221$\pm$0.0025\\ p=1.0000} &,\makecell{0.2165$\pm$0.0024\\ p=1.0000} &,\makecell{0.2198$\pm$0.0025\\ p=1.0000} &,\makecell{0.2206$\pm$0.0024\\ p=1.0000} &
mushroom,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &
segment,\makecell{0.4456$\pm$0.0095\\ p=1.0000} &,\makecell{0.4456$\pm$0.0095\\ p=1.0000} &,\makecell{0.4376$\pm$0.0123\\ p=1.0000} &,\makecell{0.4368$\pm$0.0125\\ p=1.0000} &,\makecell{0.4923$\pm$0.0135\\ p=1.0000} &,\makecell{0.4844$\pm$0.0126\\ p=1.0000} &,\makecell{0.4659$\pm$0.0093\\ p=1.0000} &,\makecell{0.4398$\pm$0.0111\\ p=1.0000} &,\makecell{0.494$\pm$0.0111\\ p=1.0000} &,\makecell{0.4776$\pm$0.01\\ p=1.0000} &,\makecell{0.4573$\pm$0.0113\\ p=1.0000} &,\makecell{0.4816$\pm$0.0106\\ p=1.0000} &
