,output,output,output,output,output,output,output,output,output,output
noise_type,instance,instance,instance,instance,pair,pair,pair,sym,sym,sym
initial_noise,0,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.3
dataset,,,,,,,,,,
coil,\makecell{0.2467$\pm$0.0049\\ p=1.0000} &,\makecell{0.2467$\pm$0.0049\\ p=1.0000} &,\makecell{0.2499$\pm$0.0051\\ p=1.0000} &,\makecell{0.2514$\pm$0.0056\\ p=1.0000} &,\makecell{0.2285$\pm$0.004\\ p=1.0000} &,\makecell{0.2285$\pm$0.004\\ p=1.0000} &,\makecell{0.2172$\pm$0.0034\\ p=1.0000} &,\makecell{0.2285$\pm$0.004\\ p=1.0000} &,\makecell{0.243$\pm$0.0037\\ p=1.0000} &,\makecell{0.2285$\pm$0.004\\ p=1.0000} &
digit1,\makecell{0.7042$\pm$0.0096\\ p=1.0000} &,\makecell{0.7042$\pm$0.0096\\ p=1.0000} &,\makecell{0.7042$\pm$0.0096\\ p=1.0000} &,\makecell{0.7042$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &,\makecell{0.7155$\pm$0.0096\\ p=1.0000} &
g241c,\makecell{0.3316$\pm$0.0049\\ p=1.0000} &,\makecell{0.3316$\pm$0.0049\\ p=1.0000} &,\makecell{0.3316$\pm$0.0049\\ p=1.0000} &,\makecell{0.3304$\pm$0.0053\\ p=1.0000} &,\makecell{0.3614$\pm$0.0047\\ p=1.0000} &,\makecell{0.3619$\pm$0.0045\\ p=1.0000} &,\makecell{0.3619$\pm$0.0045\\ p=1.0000} &,\makecell{0.3448$\pm$0.0036\\ p=1.0000} &,\makecell{0.3511$\pm$0.0051\\ p=1.0000} &,\makecell{0.3606$\pm$0.0045\\ p=1.0000} &
iris,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &,\makecell{0.6624$\pm$0.031\\ p=1.0000} &
krkp,\makecell{0.0088$\pm$0.0017\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{-0.0081$\pm$0.0023\\ p=0.0000} &,\makecell{0.0114$\pm$0.0016\\ p=0.0000} &,\makecell{0.0098$\pm$0.0021\\ p=0.0000} &,\makecell{0.0128$\pm$0.0021\\ p=0.0000} &,\makecell{0.0114$\pm$0.0016\\ p=0.0000} &,\makecell{0.0098$\pm$0.0021\\ p=0.0000} &,\makecell{0.0128$\pm$0.0021\\ p=0.0000} &
letter,\makecell{0.2152$\pm$0.0024\\ p=1.0000} &,\makecell{0.2145$\pm$0.0025\\ p=1.0000} &,\makecell{0.217$\pm$0.0025\\ p=1.0000} &,\makecell{0.21$\pm$0.0024\\ p=1.0000} &,\makecell{0.2218$\pm$0.0025\\ p=1.0000} &,\makecell{0.2185$\pm$0.0023\\ p=1.0000} &,\makecell{0.2088$\pm$0.0024\\ p=1.0000} &,\makecell{0.2217$\pm$0.0024\\ p=1.0000} &,\makecell{0.2213$\pm$0.0026\\ p=1.0000} &,\makecell{0.2179$\pm$0.0023\\ p=1.0000} &
mushroom,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &,\makecell{0.656$\pm$0.0079\\ p=1.0000} &
secstr,\makecell{0.0392$\pm$0.0013\\ p=0.0000} &,\makecell{0.0392$\pm$0.0013\\ p=0.0000} &,\makecell{0.0391$\pm$0.0012\\ p=0.0000} &,\makecell{0.0392$\pm$0.0013\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &,\makecell{0.0402$\pm$0.0012\\ p=0.0000} &
segment,\makecell{0.4133$\pm$0.014\\ p=1.0000} &,\makecell{0.4133$\pm$0.014\\ p=1.0000} &,\makecell{0.4054$\pm$0.0187\\ p=1.0000} &,\makecell{0.4046$\pm$0.0186\\ p=1.0000} &,\makecell{0.453$\pm$0.0152\\ p=1.0000} &,\makecell{0.4456$\pm$0.0123\\ p=1.0000} &,\makecell{0.4202$\pm$0.0128\\ p=1.0000} &,\makecell{0.4573$\pm$0.0124\\ p=1.0000} &,\makecell{0.437$\pm$0.0136\\ p=1.0000} &,\makecell{0.4619$\pm$0.0098\\ p=1.0000} &
splice,\makecell{0.0417$\pm$0.0069\\ p=0.0000} &,\makecell{0.0087$\pm$0.0045\\ p=0.0000} &,\makecell{0.0553$\pm$0.0057\\ p=0.0000} &,\makecell{0.0501$\pm$0.0052\\ p=0.0000} &,\makecell{0.0463$\pm$0.0076\\ p=0.0001} &,\makecell{0.0576$\pm$0.0073\\ p=0.0002} &,\makecell{0.0554$\pm$0.007\\ p=0.0001} &,\makecell{0.0285$\pm$0.0043\\ p=0.0000} &,\makecell{0.067$\pm$0.0078\\ p=0.0015} &,\makecell{0.0359$\pm$0.0048\\ p=0.0000} &
waveform,\makecell{0.2835$\pm$0.0066\\ p=1.0000} &,\makecell{0.2835$\pm$0.0066\\ p=1.0000} &,\makecell{0.2758$\pm$0.011\\ p=1.0000} &,\makecell{0.2755$\pm$0.0108\\ p=1.0000} &,\makecell{0.195$\pm$0.009\\ p=1.0000} &,\makecell{0.1947$\pm$0.009\\ p=1.0000} &,\makecell{0.1949$\pm$0.0091\\ p=1.0000} &,\makecell{0.2413$\pm$0.0054\\ p=1.0000} &,\makecell{0.2357$\pm$0.0074\\ p=1.0000} &,\makecell{0.2357$\pm$0.0075\\ p=1.0000} &
wdbc,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &,\makecell{0.6809$\pm$0.0121\\ p=1.0000} &
xyguassian,\makecell{-0.0045$\pm$0.0024\\ p=0.0000} &,\makecell{-0.0042$\pm$0.0016\\ p=0.0000} &,\makecell{-0.0042$\pm$0.0016\\ p=0.0000} &,\makecell{-0.0047$\pm$0.0004\\ p=0.0000} &,\makecell{0.002$\pm$0.0016\\ p=0.0000} &,\makecell{-0.0017$\pm$0.0016\\ p=0.0000} &,\makecell{0.0003$\pm$0.0006\\ p=0.0000} &,\makecell{0.002$\pm$0.0016\\ p=0.0000} &,\makecell{-0.0017$\pm$0.0016\\ p=0.0000} &,\makecell{0.0003$\pm$0.0006\\ p=0.0000} &
yxguassian,\makecell{0.7081$\pm$0.0086\\ p=1.0000} &,\makecell{0.7081$\pm$0.0086\\ p=1.0000} &,\makecell{0.7081$\pm$0.0086\\ p=1.0000} &,\makecell{0.7081$\pm$0.0086\\ p=1.0000} &,\makecell{0.708$\pm$0.0086\\ p=1.0000} &,\makecell{0.708$\pm$0.0086\\ p=1.0000} &,\makecell{0.708$\pm$0.0086\\ p=1.0000} &,\makecell{0.7079$\pm$0.0086\\ p=1.0000} &,\makecell{0.7079$\pm$0.0086\\ p=1.0000} &,\makecell{0.708$\pm$0.0086\\ p=1.0000} &
