dataset,noise_type,initial_noise,corr/p-value,slope,stderr
balancescale,sym,0.0,0.9999998511406488,0.2363999999999999,0.008796006790000385
balancescale,sym,0.2,0.9996638450429803,0.1690666666666666,0.012869651763273864
balancescale,sym,0.4,0.9350959499042651,0.11506666666666665,0.00892356727492169
balancescale,pair,0.0,0.9999999924198518,0.23726666666666657,0.0060536752578072015
balancescale,pair,0.2,0.9998653596519376,0.18793333333333326,0.014261332632878695
balancescale,pair,0.4,0.999336133777675,0.13639999999999997,0.007557777451076556
balancescale,instance,0.0,0.9999581688612944,0.18153333333333327,0.011164693026248831
balancescale,instance,0.2,0.9991038166730329,0.13106666666666678,0.00677705434598737
balancescale,instance,0.4,0.3833053147580259,0.09613333333333329,0.01259098526934684
krkp,sym,0.0,5.921380102314533e-09,0.003416797078768907,0.004128259882221085
krkp,sym,0.2,8.974748365324049e-11,0.016249347939488776,0.002111464355999521
krkp,sym,0.4,7.420586559388686e-10,0.013745435576421517,0.0028362644222365272
krkp,pair,0.0,5.921380102314533e-09,0.003416797078768907,0.004128259882221085
krkp,pair,0.2,8.974748365324049e-11,0.016249347939488776,0.002111464355999521
krkp,pair,0.4,7.420586559388686e-10,0.013745435576421517,0.0028362644222365272
krkp,instance,0.0,2.5939327869163238e-08,0.019483568075117398,0.004151640821199559
krkp,instance,0.2,4.967021391284181e-07,0.01744913928012534,0.006221541860436966
krkp,instance,0.4,1.309678090176951e-07,0.025639019300991238,0.004716943336257681
waveform,sym,0.0,0.9999999987827016,0.25704999999999995,0.005496611510306876
waveform,sym,0.2,0.9999999973825306,0.1878666666666667,0.0033872387343361087
waveform,sym,0.4,0.9854602048511291,0.10794166666666663,0.002992458002074594
waveform,pair,0.0,0.9999999992126692,0.25433333333333324,0.0051128663307781815
waveform,pair,0.2,0.999999999998166,0.24337500000000006,0.0022194762299802048
waveform,pair,0.4,0.999999999963742,0.24420833333333328,0.003244758186342156
waveform,instance,0.0,0.9999999965469153,0.22360000000000005,0.004934547791313967
waveform,instance,0.2,0.9999999939498615,0.17855,0.0033666254122887295
waveform,instance,0.4,0.99999960446564,0.13036666666666663,0.002221878941739818
splice,sym,0.0,8.190027153972607e-08,0.05261233019853716,0.0028301028462564743
splice,sym,0.2,2.655205995780248e-05,0.05097962382445143,0.006296831249432233
splice,sym,0.4,9.060705809877997e-08,0.035697492163009416,0.0038903771721673134
splice,pair,0.0,5.219708468290408e-06,0.050169801462904985,0.005123318183807063
splice,pair,0.2,5.318750853089578e-06,0.04136624869383492,0.006043717261973249
splice,pair,0.4,5.215915104502475e-08,0.041588296760710575,0.003292681090232308
splice,instance,0.0,2.662637619249465e-08,0.02369383490073138,0.003947673785305021
splice,instance,0.2,6.878749421564605e-08,0.030838557993730493,0.004039164910437074
splice,instance,0.4,2.1101199060979724e-06,0.03598484848484843,0.005832722069631739
