dataset,noise_type,initial_noise,corr/p-value,slope,stderr
cifar10,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10,instance,0.2,1.0,0.6926406666666666,0.0005302577390644554
cifar10,instance,0.4,1.0,0.497722,0.0006011229878783577
cifar10,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10,sym,0.2,1.0,0.6992166666666665,0.0005771179076971382
cifar10,sym,0.4,1.0,0.5009233333333334,0.0013581202860401312
cifar10,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10,pair,0.2,1.0,0.696824,0.0006929943005085315
cifar10,pair,0.4,1.0,0.4955139999999999,0.0011879536181864784
cifar10n_worst,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10n_worst,instance,0.2,1.0,0.5263873333333334,0.0007374797208236525
cifar10n_worst,instance,0.4,1.0,0.5263873333333334,0.0007374797208236525
cifar10n_worst,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10n_worst,sym,0.2,1.0,0.5229733333333334,0.0010581725287139138
cifar10n_worst,sym,0.4,1.0,0.5229733333333334,0.0010581725287139138
cifar10n_worst,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10n_worst,pair,0.2,1.0,0.5263873333333334,0.0007374797208236525
cifar10n_worst,pair,0.4,1.0,0.5263873333333334,0.0007374797208236525
cifar10n_aggre,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10n_aggre,instance,0.2,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_aggre,instance,0.4,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_aggre,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10n_aggre,sym,0.2,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_aggre,sym,0.4,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_aggre,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10n_aggre,pair,0.2,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_aggre,pair,0.4,1.0,0.8253813333333333,0.0008885106496965437
cifar10n_random1,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10n_random1,instance,0.2,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random1,instance,0.4,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random1,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10n_random1,sym,0.2,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random1,sym,0.4,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random1,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10n_random1,pair,0.2,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random1,pair,0.4,1.0,0.7444073333333333,0.0011931405093805047
cifar10n_random2,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10n_random2,instance,0.2,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random2,instance,0.4,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random2,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10n_random2,sym,0.2,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random2,sym,0.4,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random2,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10n_random2,pair,0.2,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random2,pair,0.4,1.0,0.7375479999999999,0.0009179326668855124
cifar10n_random3,instance,0.0,1.0,0.8136959999999998,0.0011909602368483162
cifar10n_random3,instance,0.2,1.0,0.7385206666666667,0.0008253183705201037
cifar10n_random3,instance,0.4,1.0,0.7385206666666667,0.0008253183705201037
cifar10n_random3,sym,0.0,1.0,0.88807,0.0014424799705978818
cifar10n_random3,sym,0.2,1.0,0.7385206666666667,0.0008253183705201037
cifar10n_random3,sym,0.4,1.0,0.7385206666666667,0.0008253183705201037
cifar10n_random3,pair,0.0,1.0,0.8879846666666666,0.0012335704019359988
cifar10n_random3,pair,0.2,1.0,0.7385206666666667,0.0008253183705201037
cifar10n_random3,pair,0.4,1.0,0.7385206666666667,0.0008253183705201037
