dataset,noise_type,initial_noise,corr/p-value,slope,stderr
xyguassian,sym,0.0,7.744378059405006e-13,0.00256999999999997,0.0013539237511061945
xyguassian,sym,0.2,7.765553841200789e-15,0.0007966666666666306,0.000775121427592623
xyguassian,sym,0.4,7.716060030066109e-13,0.0017566666666665545,0.0013646002573771986
xyguassian,pair,0.0,7.744378059405006e-13,0.00256999999999997,0.0013539237511061945
xyguassian,pair,0.2,7.765553841200789e-15,0.0007966666666666306,0.000775121427592623
xyguassian,pair,0.4,7.716060030066109e-13,0.0017566666666665545,0.0013646002573771986
xyguassian,instance,0.0,1.4004353232621725e-12,-0.0005299999999999101,0.0014886834139192634
xyguassian,instance,0.2,1.8734347406734742e-10,-0.00041666666666653724,0.002753816495521368
xyguassian,instance,0.4,6.267830698902799e-11,-0.00010999999999994326,0.0024073776595638727
yxguassian,sym,0.0,1.0,0.7241033333333333,0.0016419463543823922
yxguassian,sym,0.2,1.0,0.4426833333333332,0.0011890561371786044
yxguassian,sym,0.4,0.9999999999981073,0.1441966666666667,0.0006868750646937485
yxguassian,pair,0.0,1.0,0.7241033333333333,0.0016419463543823922
yxguassian,pair,0.2,1.0,0.4426833333333332,0.0011890561371786044
yxguassian,pair,0.4,0.9999999999978647,0.14425000000000002,0.0006981703223010928
yxguassian,instance,0.0,1.0,0.6110899999999999,0.0019551090309177584
yxguassian,instance,0.2,0.9999999999999973,0.4322833333333333,0.002266767621468317
yxguassian,instance,0.4,0.9999995136976713,0.14179666666666665,0.003141395992718645
