noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.8260606060606059,0.0026145816374838118
instance,0.01,0.2,0.8317171717171717,0.006685006912232028
instance,0.01,0.3,0.8456565656565657,0.010958548569790267
instance,0.01,0.4,0.8521212121212122,0.010463203363699852
instance,0.01,0.5,0.8707070707070708,0.011801334793482747
instance,0.01,0.6,0.8747474747474747,0.008049180530560227
instance,0.01,0.7000000000000001,0.8840404040404041,0.007934277529961809
instance,0.01,0.8,0.8963636363636363,0.013065101134953553
instance,0.01,0.9,0.9026262626262627,0.007579123831234032
instance,0.2,0.1,0.8307070707070707,0.008995004792280083
instance,0.2,0.2,0.8418181818181818,0.005651151810383582
instance,0.2,0.3,0.8547474747474748,0.0055967253241192075
instance,0.2,0.4,0.8626262626262626,0.011042025812664367
instance,0.2,0.5,0.8733333333333333,0.007304923123945303
instance,0.2,0.6,0.877171717171717,0.010365231137264898
instance,0.2,0.7000000000000001,0.88989898989899,0.015778282173548784
instance,0.2,0.8,0.8941414141414141,0.01282470323079097
instance,0.2,0.9,0.907878787878788,0.0029793699401519276
instance,0.4,0.1,0.832121212121212,0.005316241360380111
instance,0.4,0.2,0.8408080808080808,0.01107892491571414
instance,0.4,0.3,0.8484848484848484,0.01440943698756272
instance,0.4,0.4,0.8581818181818182,0.010141333654958477
instance,0.4,0.5,0.8690909090909091,0.006530597929391739
instance,0.4,0.6,0.8775757575757576,0.0186991496636357
instance,0.4,0.7000000000000001,0.8846464646464647,0.012420546382981353
instance,0.4,0.8,0.8963636363636363,0.009808907786917316
instance,0.4,0.9,0.9068686868686869,0.012522808494036386
pair,0.01,0.1,0.8258585858585858,0.005605833101216842
pair,0.01,0.2,0.8385858585858585,0.010335658377605235
pair,0.01,0.3,0.8432323232323233,0.010261353615515365
pair,0.01,0.4,0.8642424242424243,0.0068359290164398635
pair,0.01,0.5,0.8745454545454546,0.007332804611265242
pair,0.01,0.6,0.8743434343434343,0.005373509526573887
pair,0.01,0.7000000000000001,0.8858585858585858,0.004628864338339181
pair,0.01,0.8,0.8977777777777778,0.010747019053147804
pair,0.01,0.9,0.9052525252525252,0.005268042347638446
pair,0.2,0.1,0.8228282828282829,0.003683754046224311
pair,0.2,0.2,0.8347474747474747,0.006798512594126793
pair,0.2,0.3,0.8408080808080808,0.005180154103013385
pair,0.2,0.4,0.8531313131313132,0.0025353334137395885
pair,0.2,0.5,0.8636363636363636,0.011649053125930136
pair,0.2,0.6,0.8787878787878789,0.005344952143564828
pair,0.2,0.7000000000000001,0.8971717171717172,0.01043390828979132
pair,0.2,0.8,0.8977777777777778,0.014021861165764838
pair,0.2,0.9,0.9080808080808082,0.006924903636768773
pair,0.4,0.1,0.8224242424242425,0.007402048872954019
pair,0.4,0.2,0.8341414141414141,0.00907405845716189
pair,0.4,0.3,0.8498989898989899,0.01051184706323047
pair,0.4,0.4,0.8511111111111112,0.009437825152968154
pair,0.4,0.5,0.865050505050505,0.01260806769828676
pair,0.4,0.6,0.8765656565656565,0.005458285287315703
pair,0.4,0.7000000000000001,0.8852525252525252,0.012668615834434854
pair,0.4,0.8,0.8987878787878788,0.01323579259014117
pair,0.4,0.9,0.9161616161616161,0.013720280512329423
sym,0.01,0.1,0.8276767676767676,0.0038197313941796306
sym,0.01,0.2,0.8383838383838385,0.004517309045454101
sym,0.01,0.3,0.8462626262626263,0.01026135361551537
sym,0.01,0.4,0.8664646464646465,0.011679668298636148
sym,0.01,0.5,0.8670707070707071,0.005740716055912261
sym,0.01,0.6,0.8755555555555554,0.0049690399499995935
sym,0.01,0.7000000000000001,0.8886868686868686,0.002189846806937236
sym,0.01,0.8,0.9014141414141414,0.008529224982862498
sym,0.01,0.9,0.9084848484848486,0.006798512594126784
sym,0.2,0.1,0.8307070707070707,0.009938079899999086
sym,0.2,0.2,0.8468686868686868,0.006946969237999774
sym,0.2,0.3,0.85010101010101,0.008193656481080102
sym,0.2,0.4,0.8557575757575757,0.007262900206968735
sym,0.2,0.5,0.8672727272727272,0.005696109971665305
sym,0.2,0.6,0.8759595959595959,0.0070851223906061534
sym,0.2,0.7000000000000001,0.8832323232323234,0.013123540823362988
sym,0.2,0.8,0.8959595959595961,0.012015532579161946
sym,0.2,0.9,0.9030303030303031,0.009502468546579202
sym,0.4,0.1,0.8438383838383838,0.004661810407763415
sym,0.4,0.2,0.8545454545454545,0.0037113480951260513
sym,0.4,0.3,0.8591919191919193,0.007304923123945265
sym,0.4,0.4,0.8741414141414141,0.005229163274967568
sym,0.4,0.5,0.8761616161616163,0.012808781805371596
sym,0.4,0.6,0.8822222222222222,0.0077125693611398306
sym,0.4,0.7000000000000001,0.8937373737373736,0.01235878296499615
sym,0.4,0.8,0.9044444444444444,0.007778433659870071
sym,0.4,0.9,0.912929292929293,0.009405336846048367
