noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.5382,0.004320734891196155
instance,0.01,0.2,0.5644,0.0015165750888103144
instance,0.01,0.3,0.58265,0.003967051802031328
instance,0.01,0.4,0.6092,0.01071272607696098
instance,0.01,0.5,0.6346999999999999,0.0013738631664034025
instance,0.01,0.6,0.6454500000000001,0.007291690476151617
instance,0.01,0.7000000000000001,0.6736,0.010078752402951478
instance,0.01,0.8,0.70035,0.005518718148265934
instance,0.01,0.9,0.7171000000000001,0.0020509144301993714
instance,0.2,0.1,0.5620499999999999,0.009277661343248093
instance,0.2,0.2,0.58555,0.005072597953711702
instance,0.2,0.3,0.60415,0.0026433879775772436
instance,0.2,0.4,0.6147,0.00950559046035539
instance,0.2,0.5,0.63495,0.004675066844441918
instance,0.2,0.6,0.6559,0.012420497172013687
instance,0.2,0.7000000000000001,0.6717,0.003989830823481121
instance,0.2,0.8,0.68975,0.005567764362830004
instance,0.2,0.9,0.70765,0.004332291541436253
instance,0.4,0.1,0.59235,0.016938860646454338
instance,0.4,0.2,0.6075,0.01637833935415921
instance,0.4,0.3,0.6199,0.004642197755374061
instance,0.4,0.4,0.6338,0.010303822106383592
instance,0.4,0.5,0.64585,0.009108032169464462
instance,0.4,0.6,0.6609,0.0044916589362951126
instance,0.4,0.7000000000000001,0.6744,0.00636543399934365
instance,0.4,0.8,0.6822,0.00480364444979019
instance,0.4,0.9,0.6978500000000001,0.0064556177086317985
pair,0.01,0.1,0.52385,0.004856052923929015
pair,0.01,0.2,0.5483499999999999,0.004926332307102321
pair,0.01,0.3,0.57195,0.00546694613106802
pair,0.01,0.4,0.6012500000000001,0.005913438086257457
pair,0.01,0.5,0.63355,0.007450671110712126
pair,0.01,0.6,0.6563,0.008082388260904072
pair,0.01,0.7000000000000001,0.67355,0.011355615351005884
pair,0.01,0.8,0.7024,0.00895753872444881
pair,0.01,0.9,0.72525,0.003779054114457738
pair,0.2,0.1,0.5300499999999999,0.007992965657376498
pair,0.2,0.2,0.5511999999999999,0.006238489400487911
pair,0.2,0.3,0.5768,0.005200360564422415
pair,0.2,0.4,0.60215,0.008352769001953782
pair,0.2,0.5,0.62885,0.0055525894859965825
pair,0.2,0.6,0.65035,0.00612780547994141
pair,0.2,0.7000000000000001,0.6771499999999999,0.005215961081143179
pair,0.2,0.8,0.69765,0.006499038390408195
pair,0.2,0.9,0.72305,0.005861420476300916
pair,0.4,0.1,0.5323,0.004128407683356876
pair,0.4,0.2,0.5527,0.004266145801540296
pair,0.4,0.3,0.5771,0.008249242389456173
pair,0.4,0.4,0.60235,0.009434974827735363
pair,0.4,0.5,0.6259,0.011218845751680504
pair,0.4,0.6,0.65575,0.00501248441394085
pair,0.4,0.7000000000000001,0.67355,0.006917821188784818
pair,0.4,0.8,0.69895,0.004711687595755907
pair,0.4,0.9,0.72735,0.005821833903505014
sym,0.01,0.1,0.5219,0.003542597916783667
sym,0.01,0.2,0.5473,0.003581200915893975
sym,0.01,0.3,0.5702,0.005478366544874478
sym,0.01,0.4,0.5991,0.00421900462194581
sym,0.01,0.5,0.6335,0.00699330036534966
sym,0.01,0.6,0.6566,0.009234107969912426
sym,0.01,0.7000000000000001,0.67445,0.010558468165411148
sym,0.01,0.8,0.7,0.008409444095777072
sym,0.01,0.9,0.72645,0.006688142492501171
sym,0.2,0.1,0.56325,0.005043560250457977
sym,0.2,0.2,0.5801499999999999,0.008767126096960124
sym,0.2,0.3,0.5941,0.00105475115548636
sym,0.2,0.4,0.62015,0.006216409735530657
sym,0.2,0.5,0.6376000000000001,0.005100857771002833
sym,0.2,0.6,0.6565,0.009448875594482114
sym,0.2,0.7000000000000001,0.6718999999999999,0.009360154913248007
sym,0.2,0.8,0.6911,0.005808399090971619
sym,0.2,0.9,0.7138500000000001,0.007592348121628752
sym,0.4,0.1,0.6042500000000001,0.003077133406272803
sym,0.4,0.2,0.61425,0.005804093383122003
sym,0.4,0.3,0.62505,0.006027022482121637
sym,0.4,0.4,0.6403000000000001,0.0052985847166955894
sym,0.4,0.5,0.6500999999999999,0.004856052923929039
sym,0.4,0.6,0.6594,0.009577969513419835
sym,0.4,0.7000000000000001,0.67305,0.011626209614487442
sym,0.4,0.8,0.6793,0.004761171074431137
sym,0.4,0.9,0.6886,0.009768572055321067
