noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.53315,0.009223949804720301
instance,0.01,0.2,0.5553,0.013237494098204529
instance,0.01,0.3,0.58465,0.022777867547248545
instance,0.01,0.4,0.61265,0.03092864772342948
instance,0.01,0.5,0.6433,0.032930513965014285
instance,0.01,0.6,0.6727000000000001,0.039884364104245174
instance,0.01,0.7000000000000001,0.6909568431392981,0.07125245619249103
instance,0.01,0.8,0.7367999692403325,0.07794594187952984
instance,0.01,0.9,0.7540893059008678,0.09307253956024235
instance,0.1,0.1,0.53315,0.009223949804720301
instance,0.1,0.2,0.5553,0.013237494098204529
instance,0.1,0.3,0.58465,0.022777867547248545
instance,0.1,0.4,0.61265,0.03092864772342948
instance,0.1,0.5,0.6433,0.032930513965014285
instance,0.1,0.6,0.6727000000000001,0.039884364104245174
instance,0.1,0.7000000000000001,0.6909568431392981,0.07125245619249103
instance,0.1,0.8,0.7367999692403325,0.07794594187952984
instance,0.1,0.9,0.7540893059008678,0.09307253956024235
instance,0.2,0.1,0.53605,0.007561001917735491
instance,0.2,0.2,0.5608500000000001,0.007383681331151789
instance,0.2,0.3,0.59365,0.012691778835135763
instance,0.2,0.4,0.625,0.018456028825291754
instance,0.2,0.5,0.6559,0.015191074682194118
instance,0.2,0.6,0.687,0.017581950972517264
instance,0.2,0.7000000000000001,0.6870316094944383,0.07530273294560068
instance,0.2,0.8,0.7338521234353439,0.08110108032772569
instance,0.2,0.9,0.75777202544761,0.08970585898117665
instance,0.3,0.1,0.5361499999999999,0.007596462992735515
instance,0.3,0.2,0.56095,0.007427566896366533
instance,0.3,0.3,0.59375,0.012714411114951396
instance,0.3,0.4,0.625,0.018456028825291754
instance,0.3,0.5,0.65585,0.015199300970768367
instance,0.3,0.6,0.6869,0.017634837680001462
instance,0.3,0.7000000000000001,0.6874054412701393,0.07488211509984208
instance,0.3,0.8,0.7338521234353439,0.08110108032772569
instance,0.3,0.9,0.757373619073108,0.09041965279809425
pair,0.01,0.1,0.529,0.006139014578904332
pair,0.01,0.2,0.5499499999999999,0.010923598308249917
pair,0.01,0.3,0.5747500000000001,0.022381633095017874
pair,0.01,0.4,0.5997999999999999,0.029854019829831956
