noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.50069,0.0024011455599359617
instance,0.01,0.2,0.50369,0.002312304045751773
instance,0.01,0.3,0.50377,0.0016173280434098852
instance,0.01,0.4,0.50408,0.0027176736375069117
instance,0.01,0.5,0.50358,0.0023317375495539765
instance,0.01,0.6,0.50347,0.002718133550802828
instance,0.01,0.7000000000000001,0.5017799999999999,0.0028468403537957685
instance,0.01,0.8,0.49926999999999994,0.0036456480905320615
instance,0.01,0.9,0.49836,0.0030703012881474613
instance,0.1,0.1,0.5000500000000001,0.002521408336624608
instance,0.1,0.2,0.50117,0.004544859733809176
instance,0.1,0.3,0.50147,0.0042048483920350726
instance,0.1,0.4,0.5024200000000001,0.004568725205131069
instance,0.1,0.5,0.5010399999999999,0.004483915699475175
instance,0.1,0.6,0.50025,0.004728768338584584
instance,0.1,0.7000000000000001,0.49971999999999994,0.0034593351962479784
instance,0.1,0.8,0.49755000000000005,0.0025404231930920723
instance,0.1,0.9,0.49784000000000006,0.002637565165071751
instance,0.2,0.1,0.5000500000000001,0.002521408336624608
instance,0.2,0.2,0.50117,0.004544859733809176
instance,0.2,0.3,0.50147,0.0042048483920350726
instance,0.2,0.4,0.5024200000000001,0.004568725205131069
instance,0.2,0.5,0.5010399999999999,0.004483915699475175
instance,0.2,0.6,0.50025,0.004728768338584584
instance,0.2,0.7000000000000001,0.49971999999999994,0.0034593351962479784
instance,0.2,0.8,0.49755000000000005,0.0025404231930920723
instance,0.2,0.9,0.49784000000000006,0.002637565165071751
instance,0.3,0.1,0.50123,0.002114119201937301
instance,0.3,0.2,0.50075,0.004654433370454454
instance,0.3,0.3,0.49989,0.004512953578312069
instance,0.3,0.4,0.49954,0.005284813147122616
instance,0.3,0.5,0.49917999999999996,0.00454059467470946
instance,0.3,0.6,0.49903,0.004611209168970756
instance,0.3,0.7000000000000001,0.49854000000000004,0.0030660234832760166
instance,0.3,0.8,0.49729,0.002185577726826498
instance,0.3,0.9,0.49762000000000006,0.0023891944249055793
pair,0.01,0.1,0.49869,0.002408941676338374
pair,0.01,0.2,0.49927,0.004475293286478547
pair,0.01,0.3,0.49921,0.004161039533578113
pair,0.01,0.4,0.50076,0.005774880951153894
pair,0.01,0.5,0.50092,0.0038891837189827107
pair,0.01,0.6,0.50031,0.0038764352180837352
pair,0.01,0.7000000000000001,0.50098,0.0032188118926088317
pair,0.01,0.8,0.50201,0.0019966847522831185
pair,0.01,0.9,0.50194,0.0018595698427324569
pair,0.1,0.1,0.49923,0.0026845856291055144
pair,0.1,0.2,0.50157,0.004196814267989503
pair,0.1,0.3,0.50205,0.003583468989680261
pair,0.1,0.4,0.50392,0.0038552885754506083
pair,0.1,0.5,0.50308,0.0020798437441307887
pair,0.1,0.6,0.5023500000000001,0.0028711931317833496
pair,0.1,0.7000000000000001,0.5024200000000001,0.002059308136243855
pair,0.1,0.8,0.50227,0.001611133141611845
pair,0.1,0.9,0.50196,0.001833166659090216
pair,0.2,0.1,0.50061,0.0027355072655724706
pair,0.2,0.2,0.50329,0.0026766116640259746
pair,0.2,0.3,0.50239,0.003309720532008686
pair,0.2,0.4,0.5037800000000001,0.004026257567518496
pair,0.2,0.5,0.50276,0.002581036613455915
pair,0.2,0.6,0.50263,0.0025496568396550703
pair,0.2,0.7000000000000001,0.5023799999999999,0.002116778212283973
pair,0.2,0.8,0.50075,0.0028868235138296843
pair,0.2,0.9,0.5003,0.0028372521918222085
pair,0.3,0.1,0.50007,0.002818155425096327
pair,0.3,0.2,0.50099,0.00441239730758685
