noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.22569,0.001188170863133745
instance,0.01,0.2,0.28073,0.0034850753219980647
instance,0.01,0.3,0.35067,0.002735095976378163
instance,0.01,0.4,0.42529000000000006,0.0034171259853859803
instance,0.01,0.5,0.49972000000000005,0.002445557196223404
instance,0.01,0.6,0.5730000000000001,0.00324037034920394
instance,0.01,0.7000000000000001,0.64701,0.005351565191605188
instance,0.01,0.8,0.71675,0.0038766931784705557
instance,0.01,0.9,0.77568,0.0031224189340958147
instance,0.1,0.1,0.22569,0.001188170863133745
instance,0.1,0.2,0.28073,0.0034850753219980647
instance,0.1,0.3,0.35067,0.002735095976378163
instance,0.1,0.4,0.42529000000000006,0.0034171259853859803
instance,0.1,0.5,0.49972000000000005,0.002445557196223404
instance,0.1,0.6,0.5730000000000001,0.00324037034920394
instance,0.1,0.7000000000000001,0.64701,0.005351565191605188
instance,0.1,0.8,0.71675,0.0038766931784705557
instance,0.1,0.9,0.77568,0.0031224189340958147
instance,0.2,0.1,0.22569,0.001188170863133745
instance,0.2,0.2,0.28073,0.0034850753219980647
instance,0.2,0.3,0.35067,0.002735095976378163
instance,0.2,0.4,0.42529000000000006,0.0034171259853859803
instance,0.2,0.5,0.49972000000000005,0.002445557196223404
instance,0.2,0.6,0.5730000000000001,0.00324037034920394
instance,0.2,0.7000000000000001,0.64701,0.005351565191605188
instance,0.2,0.8,0.71675,0.0038766931784705557
instance,0.2,0.9,0.77568,0.0031224189340958147
instance,0.3,0.1,0.22569,0.001188170863133745
instance,0.3,0.2,0.28073,0.0034850753219980647
instance,0.3,0.3,0.35067,0.002735095976378163
instance,0.3,0.4,0.42529000000000006,0.0034171259853859803
instance,0.3,0.5,0.49972000000000005,0.002445557196223404
instance,0.3,0.6,0.5730000000000001,0.00324037034920394
instance,0.3,0.7000000000000001,0.64701,0.005351565191605188
instance,0.3,0.8,0.71675,0.0038766931784705557
instance,0.3,0.9,0.77568,0.0031224189340958147
pair,0.01,0.1,0.22568000000000002,0.0011755849607748446
pair,0.01,0.2,0.28066,0.0033903170943143366
pair,0.01,0.3,0.35056000000000004,0.002638986547900537
pair,0.01,0.4,0.42518,0.003296323709831915
pair,0.01,0.5,0.49962999999999996,0.0022604203148972176
pair,0.01,0.6,0.57287,0.0030792856314411647
pair,0.01,0.7000000000000001,0.6468999999999999,0.005234142718726727
pair,0.01,0.8,0.7167,0.003871853561280456
pair,0.01,0.9,0.7756299999999999,0.0031121937600348715
pair,0.1,0.1,0.22568000000000002,0.0011755849607748446
pair,0.1,0.2,0.28066,0.0033903170943143366
pair,0.1,0.3,0.35056000000000004,0.002638986547900537
