noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.4938967136150234,0.012697411444295774
instance,0.1,0.2,0.49906103286384973,0.006671697573487409
instance,0.1,0.3,0.49866979655712046,0.005564640239076429
instance,0.1,0.4,0.4996087636932708,0.006668255300883943
instance,0.1,0.5,0.5054773082942097,0.014451932368751074
instance,0.1,0.6,0.5003912363067292,0.006668255300883934
instance,0.1,0.7000000000000001,0.5013302034428795,0.005564640239076404
instance,0.1,0.8,0.5009389671361502,0.006671697573487409
instance,0.1,0.9,0.5061032863849766,0.012697411444295792
instance,0.2,0.1,0.49264475743348984,0.011627026992805474
instance,0.2,0.2,0.4978090766823161,0.006133806759707669
instance,0.2,0.3,0.49663536776212835,0.006807961419141159
instance,0.2,0.4,0.5002347417840376,0.0065442970735857765
instance,0.2,0.5,0.5054773082942097,0.014451932368751074
instance,0.2,0.6,0.4997652582159624,0.006544297073585765
instance,0.2,0.7000000000000001,0.5033646322378716,0.006807961419141218
instance,0.2,0.8,0.5021909233176839,0.006133806759707714
instance,0.2,0.9,0.5073552425665102,0.011627026992805453
instance,0.3,0.1,0.4902973395931142,0.010600987943755842
instance,0.3,0.2,0.49420970266040687,0.007253187703043006
instance,0.3,0.3,0.49522691705790295,0.0041349069141206046
instance,0.3,0.4,0.4992957746478873,0.0021500206047001588
instance,0.3,0.5,0.5054773082942097,0.014451932368751074
instance,0.3,0.6,0.5007042253521127,0.0021500206047001865
instance,0.3,0.7000000000000001,0.5047730829420971,0.004134906914120636
instance,0.3,0.8,0.5057902973395931,0.00725318770304308
instance,0.3,0.9,0.5097026604068857,0.010600987943755809
instance,0.4,0.1,0.4892801251956181,0.005612570842074908
instance,0.4,0.2,0.49241001564945225,0.007374570881680592
instance,0.4,0.3,0.4957746478873239,0.006693457523784947
instance,0.4,0.4,0.4981220657276995,0.005074019667253067
instance,0.4,0.5,0.5101721439749609,0.010817524696947156
instance,0.4,0.6,0.5018779342723004,0.005074019667253039
instance,0.4,0.7000000000000001,0.504225352112676,0.006693457523784977
instance,0.4,0.8,0.5075899843505477,0.007374570881680602
instance,0.4,0.9,0.5107198748043819,0.005612570842074907
instance,0.5,0.1,0.4928012519561816,0.0061524941395332084
instance,0.5,0.2,0.49640062597809076,0.006256111992099971
instance,0.5,0.3,0.4997652582159624,0.006257335202981154
instance,0.5,0.4,0.5032081377151799,0.007389085726645451
instance,0.5,0.5,0.5101721439749609,0.010817524696947156
instance,0.5,0.6,0.4967918622848201,0.007389085726645432
instance,0.5,0.7000000000000001,0.5002347417840375,0.006257335202981168
instance,0.5,0.8,0.5035993740219092,0.006256111992099956
instance,0.5,0.9,0.5071987480438185,0.006152494139533196
instance,0.6,0.1,0.49640062597809076,0.004171760645560658
instance,0.6,0.2,0.4971830985915493,0.005732646640241108
instance,0.6,0.3,0.5019561815336463,0.00492553924570196
instance,0.6,0.4,0.5043035993740219,0.005689765090864251
instance,0.6,0.5,0.5101721439749609,0.010817524696947156
instance,0.6,0.6,0.49569640062597803,0.005689765090864267
instance,0.6,0.7000000000000001,0.49804381846635365,0.004925539245701913
instance,0.6,0.8,0.5028169014084507,0.005732646640241097
instance,0.6,0.9,0.5035993740219092,0.004171760645560639
instance,0.7,0.1,0.4965571205007825,0.0065079428438995475
instance,0.7,0.2,0.4951486697965571,0.005760614184446337
instance,0.7,0.3,0.49913928012519565,0.0051414464791860685
instance,0.7,0.4,0.5017996870109547,0.0057672531335026195
instance,0.7,0.5,0.5101721439749609,0.010817524696947156
instance,0.7,0.6,0.4982003129890454,0.0057672531335026325
instance,0.7,0.7000000000000001,0.5008607198748043,0.00514144647918606
instance,0.7,0.8,0.504851330203443,0.0057606141844463166
instance,0.7,0.9,0.5034428794992175,0.006507942843899522
instance,0.8,0.1,0.4947574334898278,0.004906858245731813
instance,0.8,0.2,0.4939749608763693,0.0029093884886663745
instance,0.8,0.3,0.49906103286384973,0.005720618693719659
instance,0.8,0.4,0.4978090766823161,0.005340053129613797
instance,0.8,0.5,0.5086071987480437,0.012399784031095835
instance,0.8,0.6,0.5021909233176839,0.005340053129613779
instance,0.8,0.7000000000000001,0.5009389671361502,0.005720618693719611
instance,0.8,0.8,0.5060250391236307,0.002909388488666388
instance,0.8,0.9,0.5052425665101722,0.004906858245731829
instance,0.9,0.1,0.49491392801251954,0.0029795669428262406
instance,0.9,0.2,0.49773082942097024,0.005402745335196876
instance,0.9,0.3,0.49843505477308286,0.010895070669518246
instance,0.9,0.4,0.4959311424100156,0.0057738844489431465
instance,0.9,0.5,0.5050078247261346,0.014663273722761282
instance,0.9,0.6,0.5040688575899843,0.005773884448943156
instance,0.9,0.7000000000000001,0.5015649452269171,0.010895070669518225
