dataset,pca_k,sample_size,near_percentage,noise_type,flip_rate_fixed,entropy_mean,entropy_variance,ratio_mean,ratio_variance,causal
xyguassian,5,200,0.1,sym,0.1,0.8347603320531108,0.027324213454745703,0.5010224999999999,0.05296615150125626,0
xyguassian,5,200,0.3,sym,0.1,0.9352286150483569,0.005729908455246863,0.4981108333333333,0.021743985839614743,0
xyguassian,5,200,0.5,sym,0.1,0.9737916107689654,0.0009420664122130639,0.4965429999999999,0.008984994624120602,0
xyguassian,3,200,0.1,sym,0.1,0.8808184048652133,0.014376937049857217,0.5073524999999997,0.03909104974246228,0
xyguassian,3,200,0.3,sym,0.1,0.9403274178666337,0.003989622986090244,0.5008925000000001,0.020168426827889444,0
xyguassian,3,200,0.5,sym,0.1,0.9715387591955025,0.0009510437116550794,0.49753800000000015,0.009764993322613066,0
xyguassian,1,200,0.1,sym,0.1,0.9601515890302977,0.0013901556721842554,0.49666000000000016,0.013627368743718596,0
xyguassian,1,200,0.3,sym,0.1,0.9731847879089094,0.0004484519952505173,0.4957850000000002,0.009228064653824676,0
xyguassian,1,200,0.5,sym,0.1,0.9845353056146355,0.00010901290725551191,0.4937359999999995,0.005319110355778894,0
xyguassian,5,200,0.1,sym,0.3,0.9619980657112578,0.0013624053565326377,0.5014699999999997,0.013007212663316585,0
xyguassian,5,200,0.3,sym,0.3,0.9847527729233653,0.00030011600291635895,0.499913333333333,0.005267905348967056,0
xyguassian,5,200,0.5,sym,0.3,0.9937345855533904,5.222694623569853e-05,0.4990544999999999,0.0021740857082914586,0
xyguassian,3,200,0.1,sym,0.3,0.9728036303409334,0.0007327160310817433,0.5034675,0.009341877079145727,0
xyguassian,3,200,0.3,sym,0.3,0.9863904801385853,0.00019855994744273926,0.5003850000000001,0.004709345725851478,0
xyguassian,3,200,0.5,sym,0.3,0.9933102044488992,5.150114369176807e-05,0.4989459999999999,0.002321302094472363,0
xyguassian,1,200,0.1,sym,0.3,0.9905597975131039,6.110454732548036e-05,0.4985975000000002,0.0032741022550251283,0
xyguassian,1,200,0.3,sym,0.3,0.9935320207249884,2.5169328202425143e-05,0.4971041666666667,0.00223907912828029,0
xyguassian,1,200,0.5,sym,0.3,0.9965438662512995,5.077387234691684e-06,0.4949514999999999,0.0011768397967336663,0
xyguassian,5,200,0.1,sym,0.5,0.9996308077083426,2.2127142672689644e-07,0.5059825000000003,9.25964258793969e-05,0
xyguassian,5,200,0.3,sym,0.5,0.9998331097841542,3.499852870595003e-08,0.5058149999999995,2.4141203238414313e-05,0
xyguassian,5,200,0.5,sym,0.5,0.9998886305870153,1.071942545335121e-08,0.5054114999999997,9.35830929648245e-06,0
xyguassian,3,200,0.1,sym,0.5,0.9996021484929714,2.4657089434481227e-07,0.5049549999999997,0.00011386982412060308,0
xyguassian,3,200,0.3,sym,0.5,0.9998476243230477,2.996067723272596e-08,0.5051091666666665,2.6835733528754925e-05,0
xyguassian,3,200,0.5,sym,0.5,0.9999099087806406,6.11731225856085e-09,0.5049380000000003,6.872619095477392e-06,0
xyguassian,1,200,0.1,sym,0.5,0.9995383776881668,3.643672196146559e-07,0.5053699999999998,0.00013176190954773868,0
xyguassian,1,200,0.3,sym,0.5,0.9997552662120219,7.319638665399603e-08,0.5073708333333332,3.0631612925739885e-05,0
xyguassian,1,200,0.5,sym,0.5,0.9998069940961161,2.7812232172079603e-08,0.5072684999999997,1.4125083165829174e-05,0
xyguassian,5,200,0.1,sym,0.7,0.9619980657112578,0.0013624053565326377,0.49853000000000025,0.013007212663316585,0
xyguassian,5,200,0.3,sym,0.7,0.9847527729233653,0.00030011600291635895,0.500086666666667,0.005267905348967059,0
xyguassian,5,200,0.5,sym,0.7,0.9937345855533904,5.222694623569853e-05,0.5009455000000002,0.002174085708291457,0
xyguassian,3,200,0.1,sym,0.7,0.9728036303409334,0.0007327160310817433,0.4965325,0.009341877079145727,0
xyguassian,3,200,0.3,sym,0.7,0.9863904801385853,0.00019855994744273926,0.4996149999999999,0.004709345725851479,0
xyguassian,3,200,0.5,sym,0.7,0.9933102044488992,5.150114369176807e-05,0.5010540000000002,0.002321302094472363,0
xyguassian,1,200,0.1,sym,0.7,0.9905597975131039,6.110454732548036e-05,0.5014024999999999,0.0032741022550251252,0
xyguassian,1,200,0.3,sym,0.7,0.9935320207249884,2.5169328202425143e-05,0.5028958333333333,0.0022390791282802898,0
xyguassian,1,200,0.5,sym,0.7,0.9965438662512995,5.077387234691684e-06,0.5050485000000002,0.001176839796733669,0
xyguassian,5,200,0.1,sym,0.9,0.8347603320531108,0.027324213454745703,0.4989775000000001,0.05296615150125626,0
xyguassian,5,200,0.3,sym,0.9,0.9352286150483569,0.005729908455246863,0.5018891666666668,0.021743985839614736,0
xyguassian,5,200,0.5,sym,0.9,0.9737916107689654,0.0009420664122130639,0.503457,0.0089849946241206,0
xyguassian,3,200,0.1,sym,0.9,0.8808184048652133,0.014376937049857217,0.4926475000000004,0.03909104974246229,0
xyguassian,3,200,0.3,sym,0.9,0.9403274178666337,0.003989622986090244,0.49910749999999987,0.02016842682788945,0
xyguassian,3,200,0.5,sym,0.9,0.9715387591955025,0.0009510437116550794,0.502462,0.009764993322613063,0
xyguassian,1,200,0.1,sym,0.9,0.9601515890302977,0.0013901556721842554,0.5033399999999998,0.013627368743718596,0
xyguassian,1,200,0.3,sym,0.9,0.9731847879089094,0.0004484519952505173,0.5042149999999999,0.009228064653824681,0
xyguassian,1,200,0.5,sym,0.9,0.9845353056146355,0.00010901290725551191,0.5062640000000005,0.005319110355778894,0
xyguassian,5,200,0.1,instance,0.1,0.8639523057026153,0.01842757733491526,0.5082249999999999,0.04424756721105524,0
xyguassian,5,200,0.3,instance,0.1,0.9458784648976861,0.003981172181396612,0.505745833333333,0.01825417307021217,0
xyguassian,5,200,0.5,instance,0.1,0.9779274592074566,0.0006733162514072584,0.5041765000000005,0.007576915374623114,0
xyguassian,3,200,0.1,instance,0.1,0.9030988880650367,0.008990762385577663,0.5137675000000002,0.03205073587311556,0
xyguassian,3,200,0.3,instance,0.1,0.9511999381246615,0.0025968901131823525,0.5087641666666669,0.016516010686069244,0
xyguassian,3,200,0.5,instance,0.1,0.9770016853247167,0.0006068206189531217,0.5054504999999998,0.007889107838944724,0
