noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.532,balancescale,sym,1,0.01,1
0.2,0.558,balancescale,sym,1,0.01,1
0.30000000000000004,0.618,balancescale,sym,1,0.01,1
0.4,0.614,balancescale,sym,1,0.01,1
0.5,0.628,balancescale,sym,1,0.01,1
0.6,0.648,balancescale,sym,1,0.01,1
0.7000000000000001,0.674,balancescale,sym,1,0.01,1
0.8,0.702,balancescale,sym,1,0.01,1
0.9,0.708,balancescale,sym,1,0.01,1
0.1,0.564,balancescale,sym,1,0.2,1
0.2,0.566,balancescale,sym,1,0.2,1
0.30000000000000004,0.636,balancescale,sym,1,0.2,1
0.4,0.624,balancescale,sym,1,0.2,1
0.5,0.616,balancescale,sym,1,0.2,1
0.6,0.654,balancescale,sym,1,0.2,1
0.7000000000000001,0.664,balancescale,sym,1,0.2,1
0.8,0.686,balancescale,sym,1,0.2,1
0.9,0.694,balancescale,sym,1,0.2,1
0.1,0.634,balancescale,sym,1,0.4,1
0.2,0.638,balancescale,sym,1,0.4,1
0.30000000000000004,0.67,balancescale,sym,1,0.4,1
0.4,0.648,balancescale,sym,1,0.4,1
0.5,0.638,balancescale,sym,1,0.4,1
0.6,0.698,balancescale,sym,1,0.4,1
0.7000000000000001,0.688,balancescale,sym,1,0.4,1
0.8,0.704,balancescale,sym,1,0.4,1
0.9,0.688,balancescale,sym,1,0.4,1
0.1,0.564,balancescale,sym,1,0.01,2
0.2,0.552,balancescale,sym,1,0.01,2
0.30000000000000004,0.586,balancescale,sym,1,0.01,2
0.4,0.628,balancescale,sym,1,0.01,2
0.5,0.634,balancescale,sym,1,0.01,2
0.6,0.66,balancescale,sym,1,0.01,2
0.7000000000000001,0.666,balancescale,sym,1,0.01,2
0.8,0.706,balancescale,sym,1,0.01,2
0.9,0.694,balancescale,sym,1,0.01,2
0.1,0.586,balancescale,sym,1,0.2,2
0.2,0.594,balancescale,sym,1,0.2,2
0.30000000000000004,0.614,balancescale,sym,1,0.2,2
0.4,0.618,balancescale,sym,1,0.2,2
0.5,0.612,balancescale,sym,1,0.2,2
0.6,0.672,balancescale,sym,1,0.2,2
0.7000000000000001,0.67,balancescale,sym,1,0.2,2
0.8,0.696,balancescale,sym,1,0.2,2
0.9,0.696,balancescale,sym,1,0.2,2
0.1,0.614,balancescale,sym,1,0.4,2
0.2,0.636,balancescale,sym,1,0.4,2
0.30000000000000004,0.646,balancescale,sym,1,0.4,2
0.4,0.644,balancescale,sym,1,0.4,2
0.5,0.676,balancescale,sym,1,0.4,2
0.6,0.622,balancescale,sym,1,0.4,2
0.7000000000000001,0.666,balancescale,sym,1,0.4,2
0.8,0.696,balancescale,sym,1,0.4,2
0.9,0.702,balancescale,sym,1,0.4,2
0.1,0.52,balancescale,sym,1,0.01,3
0.2,0.534,balancescale,sym,1,0.01,3
0.30000000000000004,0.566,balancescale,sym,1,0.01,3
0.4,0.578,balancescale,sym,1,0.01,3
0.5,0.622,balancescale,sym,1,0.01,3
0.6,0.626,balancescale,sym,1,0.01,3
0.7000000000000001,0.68,balancescale,sym,1,0.01,3
0.8,0.702,balancescale,sym,1,0.01,3
0.9,0.726,balancescale,sym,1,0.01,3
0.1,0.562,balancescale,sym,1,0.2,3
0.2,0.564,balancescale,sym,1,0.2,3
0.30000000000000004,0.58,balancescale,sym,1,0.2,3
0.4,0.616,balancescale,sym,1,0.2,3
0.5,0.602,balancescale,sym,1,0.2,3
0.6,0.626,balancescale,sym,1,0.2,3
0.7000000000000001,0.654,balancescale,sym,1,0.2,3
0.8,0.678,balancescale,sym,1,0.2,3
0.9,0.722,balancescale,sym,1,0.2,3
0.1,0.578,balancescale,sym,1,0.4,3
0.2,0.584,balancescale,sym,1,0.4,3
0.30000000000000004,0.6,balancescale,sym,1,0.4,3
0.4,0.634,balancescale,sym,1,0.4,3
0.5,0.646,balancescale,sym,1,0.4,3
0.6,0.648,balancescale,sym,1,0.4,3
0.7000000000000001,0.656,balancescale,sym,1,0.4,3
0.8,0.71,balancescale,sym,1,0.4,3
0.9,0.72,balancescale,sym,1,0.4,3
0.1,0.534,balancescale,sym,1,0.01,4
0.2,0.6,balancescale,sym,1,0.01,4
0.30000000000000004,0.598,balancescale,sym,1,0.01,4
0.4,0.616,balancescale,sym,1,0.01,4
0.5,0.62,balancescale,sym,1,0.01,4
0.6,0.596,balancescale,sym,1,0.01,4
0.7000000000000001,0.698,balancescale,sym,1,0.01,4
0.8,0.708,balancescale,sym,1,0.01,4
0.9,0.716,balancescale,sym,1,0.01,4
0.1,0.6,balancescale,sym,1,0.2,4
0.2,0.594,balancescale,sym,1,0.2,4
0.30000000000000004,0.626,balancescale,sym,1,0.2,4
0.4,0.64,balancescale,sym,1,0.2,4
0.5,0.596,balancescale,sym,1,0.2,4
0.6,0.636,balancescale,sym,1,0.2,4
0.7000000000000001,0.664,balancescale,sym,1,0.2,4
0.8,0.696,balancescale,sym,1,0.2,4
0.9,0.68,balancescale,sym,1,0.2,4
0.1,0.658,balancescale,sym,1,0.4,4
0.2,0.638,balancescale,sym,1,0.4,4
0.30000000000000004,0.634,balancescale,sym,1,0.4,4
0.4,0.676,balancescale,sym,1,0.4,4
0.5,0.658,balancescale,sym,1,0.4,4
0.6,0.632,balancescale,sym,1,0.4,4
0.7000000000000001,0.66,balancescale,sym,1,0.4,4
0.8,0.694,balancescale,sym,1,0.4,4
0.9,0.678,balancescale,sym,1,0.4,4
0.1,0.516,balancescale,sym,1,0.01,5
0.2,0.512,balancescale,sym,1,0.01,5
0.30000000000000004,0.556,balancescale,sym,1,0.01,5
0.4,0.564,balancescale,sym,1,0.01,5
0.5,0.6,balancescale,sym,1,0.01,5
0.6,0.656,balancescale,sym,1,0.01,5
0.7000000000000001,0.664,balancescale,sym,1,0.01,5
0.8,0.708,balancescale,sym,1,0.01,5
0.9,0.742,balancescale,sym,1,0.01,5
0.1,0.53,balancescale,sym,1,0.2,5
0.2,0.57,balancescale,sym,1,0.2,5
0.30000000000000004,0.568,balancescale,sym,1,0.2,5
0.4,0.622,balancescale,sym,1,0.2,5
0.5,0.636,balancescale,sym,1,0.2,5
0.6,0.642,balancescale,sym,1,0.2,5
0.7000000000000001,0.644,balancescale,sym,1,0.2,5
0.8,0.706,balancescale,sym,1,0.2,5
0.9,0.724,balancescale,sym,1,0.2,5
0.1,0.574,balancescale,sym,1,0.4,5
0.2,0.582,balancescale,sym,1,0.4,5
0.30000000000000004,0.584,balancescale,sym,1,0.4,5
0.4,0.608,balancescale,sym,1,0.4,5
0.5,0.666,balancescale,sym,1,0.4,5
0.6,0.69,balancescale,sym,1,0.4,5
0.7000000000000001,0.65,balancescale,sym,1,0.4,5
0.8,0.682,balancescale,sym,1,0.4,5
0.9,0.714,balancescale,sym,1,0.4,5
0.1,0.558,balancescale,instance,1,0.01,1
0.2,0.606,balancescale,instance,1,0.01,1
0.30000000000000004,0.622,balancescale,instance,1,0.01,1
