noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.448,g241c,sym,0,0.01,1
0.2,0.49733333333333335,g241c,sym,0,0.01,1
0.30000000000000004,0.51,g241c,sym,0,0.01,1
0.4,0.5693333333333334,g241c,sym,0,0.01,1
0.5,0.6013333333333334,g241c,sym,0,0.01,1
0.6,0.6306666666666667,g241c,sym,0,0.01,1
0.7000000000000001,0.6826666666666666,g241c,sym,0,0.01,1
0.8,0.72,g241c,sym,0,0.01,1
0.9,0.7506666666666667,g241c,sym,0,0.01,1
0.1,0.5146666666666667,g241c,sym,0,0.2,1
0.2,0.5506666666666666,g241c,sym,0,0.2,1
0.30000000000000004,0.5846666666666667,g241c,sym,0,0.2,1
0.4,0.604,g241c,sym,0,0.2,1
0.5,0.6186666666666667,g241c,sym,0,0.2,1
0.6,0.6313333333333333,g241c,sym,0,0.2,1
0.7000000000000001,0.692,g241c,sym,0,0.2,1
0.8,0.7173333333333334,g241c,sym,0,0.2,1
0.9,0.722,g241c,sym,0,0.2,1
0.1,0.5853333333333334,g241c,sym,0,0.4,1
0.2,0.5893333333333334,g241c,sym,0,0.4,1
0.30000000000000004,0.598,g241c,sym,0,0.4,1
0.4,0.5986666666666667,g241c,sym,0,0.4,1
0.5,0.63,g241c,sym,0,0.4,1
0.6,0.6566666666666666,g241c,sym,0,0.4,1
0.7000000000000001,0.662,g241c,sym,0,0.4,1
0.8,0.7013333333333334,g241c,sym,0,0.4,1
0.9,0.7053333333333334,g241c,sym,0,0.4,1
0.1,0.436,g241c,sym,0,0.01,2
0.2,0.4766666666666667,g241c,sym,0,0.01,2
0.30000000000000004,0.5226666666666666,g241c,sym,0,0.01,2
0.4,0.5613333333333334,g241c,sym,0,0.01,2
0.5,0.5813333333333334,g241c,sym,0,0.01,2
0.6,0.6533333333333333,g241c,sym,0,0.01,2
0.7000000000000001,0.6813333333333333,g241c,sym,0,0.01,2
0.8,0.728,g241c,sym,0,0.01,2
0.9,0.7753333333333333,g241c,sym,0,0.01,2
0.1,0.516,g241c,sym,0,0.2,2
0.2,0.5393333333333333,g241c,sym,0,0.2,2
