noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.558,balancescale,instance,1,0.01,1
0.2,0.606,balancescale,instance,1,0.01,1
0.30000000000000004,0.622,balancescale,instance,1,0.01,1
0.4,0.622,balancescale,instance,1,0.01,1
0.5,0.622,balancescale,instance,1,0.01,1
0.6,0.658,balancescale,instance,1,0.01,1
0.7000000000000001,0.66,balancescale,instance,1,0.01,1
0.8,0.704,balancescale,instance,1,0.01,1
0.9,0.732,balancescale,instance,1,0.01,1
0.1,0.588,balancescale,instance,1,0.2,1
0.2,0.596,balancescale,instance,1,0.2,1
0.30000000000000004,0.606,balancescale,instance,1,0.2,1
0.4,0.576,balancescale,instance,1,0.2,1
0.5,0.638,balancescale,instance,1,0.2,1
0.6,0.682,balancescale,instance,1,0.2,1
0.7000000000000001,0.65,balancescale,instance,1,0.2,1
0.8,0.668,balancescale,instance,1,0.2,1
0.9,0.694,balancescale,instance,1,0.2,1
0.1,0.612,balancescale,instance,1,0.4,1
0.2,0.61,balancescale,instance,1,0.4,1
0.30000000000000004,0.642,balancescale,instance,1,0.4,1
0.4,0.656,balancescale,instance,1,0.4,1
0.5,0.656,balancescale,instance,1,0.4,1
0.6,0.642,balancescale,instance,1,0.4,1
0.7000000000000001,0.684,balancescale,instance,1,0.4,1
0.8,0.686,balancescale,instance,1,0.4,1
0.9,0.696,balancescale,instance,1,0.4,1
0.1,0.654,balancescale,instance,1,0.6,1
0.2,0.702,balancescale,instance,1,0.6,1
0.30000000000000004,0.68,balancescale,instance,1,0.6,1
0.4,0.692,balancescale,instance,1,0.6,1
0.5,0.69,balancescale,instance,1,0.6,1
0.6,0.65,balancescale,instance,1,0.6,1
0.7000000000000001,0.67,balancescale,instance,1,0.6,1
0.8,0.682,balancescale,instance,1,0.6,1
0.9,0.682,balancescale,instance,1,0.6,1
0.1,0.726,balancescale,instance,1,0.8,1
0.2,0.744,balancescale,instance,1,0.8,1
0.30000000000000004,0.716,balancescale,instance,1,0.8,1
0.4,0.704,balancescale,instance,1,0.8,1
0.5,0.692,balancescale,instance,1,0.8,1
0.6,0.674,balancescale,instance,1,0.8,1
0.7000000000000001,0.646,balancescale,instance,1,0.8,1
0.8,0.628,balancescale,instance,1,0.8,1
0.9,0.644,balancescale,instance,1,0.8,1
0.1,0.30986,cifar10n_random3,sym,0,0.4,3
0.2,0.38506,cifar10n_random3,sym,0,0.4,3
0.30000000000000004,0.45894,cifar10n_random3,sym,0,0.4,3
