noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.4678,xyguassian,instance,1,0.01,1
0.2,0.4771,xyguassian,instance,1,0.01,1
0.30000000000000004,0.48565,xyguassian,instance,1,0.01,1
0.4,0.4918,xyguassian,instance,1,0.01,1
0.5,0.50025,xyguassian,instance,1,0.01,1
0.6,0.5082,xyguassian,instance,1,0.01,1
0.7000000000000001,0.51435,xyguassian,instance,1,0.01,1
0.8,0.5229,xyguassian,instance,1,0.01,1
0.9,0.5322,xyguassian,instance,1,0.01,1
0.1,0.4774,xyguassian,instance,1,0.2,1
0.2,0.4845,xyguassian,instance,1,0.2,1
0.30000000000000004,0.48885,xyguassian,instance,1,0.2,1
0.4,0.4911,xyguassian,instance,1,0.2,1
0.5,0.50025,xyguassian,instance,1,0.2,1
0.6,0.5089,xyguassian,instance,1,0.2,1
0.7000000000000001,0.51115,xyguassian,instance,1,0.2,1
0.8,0.5155,xyguassian,instance,1,0.2,1
0.9,0.5226,xyguassian,instance,1,0.2,1
0.1,0.4932,xyguassian,instance,1,0.4,1
0.2,0.4956,xyguassian,instance,1,0.4,1
0.30000000000000004,0.49595,xyguassian,instance,1,0.4,1
0.4,0.4955,xyguassian,instance,1,0.4,1
0.5,0.50025,xyguassian,instance,1,0.4,1
0.6,0.5045,xyguassian,instance,1,0.4,1
0.7000000000000001,0.50405,xyguassian,instance,1,0.4,1
0.8,0.5044,xyguassian,instance,1,0.4,1
0.9,0.5068,xyguassian,instance,1,0.4,1
0.1,0.4929,xyguassian,instance,1,0.6,1
0.2,0.4921,xyguassian,instance,1,0.6,1
0.30000000000000004,0.49835,xyguassian,instance,1,0.6,1
0.4,0.5006,xyguassian,instance,1,0.6,1
0.5,0.49975,xyguassian,instance,1,0.6,1
0.6,0.4994,xyguassian,instance,1,0.6,1
0.7000000000000001,0.50165,xyguassian,instance,1,0.6,1
0.8,0.5079,xyguassian,instance,1,0.6,1
0.9,0.5071,xyguassian,instance,1,0.6,1
0.1,0.42385,xyguassian,instance,1,0.01,2
0.2,0.4403,xyguassian,instance,1,0.01,2
0.30000000000000004,0.4595,xyguassian,instance,1,0.01,2
0.4,0.4769,xyguassian,instance,1,0.01,2
0.5,0.50225,xyguassian,instance,1,0.01,2
0.6,0.5231,xyguassian,instance,1,0.01,2
0.7000000000000001,0.5405,xyguassian,instance,1,0.01,2
0.8,0.5597,xyguassian,instance,1,0.01,2
0.9,0.57615,xyguassian,instance,1,0.01,2
0.1,0.44515,xyguassian,instance,1,0.2,2
0.2,0.4574,xyguassian,instance,1,0.2,2
0.30000000000000004,0.4729,xyguassian,instance,1,0.2,2
0.4,0.4853,xyguassian,instance,1,0.2,2
0.5,0.50225,xyguassian,instance,1,0.2,2
0.6,0.5147,xyguassian,instance,1,0.2,2
0.7000000000000001,0.5271,xyguassian,instance,1,0.2,2
0.8,0.5426,xyguassian,instance,1,0.2,2
0.9,0.55485,xyguassian,instance,1,0.2,2
0.1,0.48125,xyguassian,instance,1,0.4,2
0.2,0.4854,xyguassian,instance,1,0.4,2
0.30000000000000004,0.4913,xyguassian,instance,1,0.4,2
0.4,0.4966,xyguassian,instance,1,0.4,2
0.5,0.50225,xyguassian,instance,1,0.4,2
0.6,0.5034,xyguassian,instance,1,0.4,2
0.7000000000000001,0.5087,xyguassian,instance,1,0.4,2
0.8,0.5146,xyguassian,instance,1,0.4,2
0.9,0.51875,xyguassian,instance,1,0.4,2
0.1,0.483,xyguassian,instance,1,0.6,2
0.2,0.48455,xyguassian,instance,1,0.6,2
0.30000000000000004,0.48475,xyguassian,instance,1,0.6,2
0.4,0.48885,xyguassian,instance,1,0.6,2
0.5,0.49775,xyguassian,instance,1,0.6,2
0.6,0.51115,xyguassian,instance,1,0.6,2
0.7000000000000001,0.51525,xyguassian,instance,1,0.6,2
0.8,0.51545,xyguassian,instance,1,0.6,2
0.9,0.517,xyguassian,instance,1,0.6,2
0.1,0.4709,xyguassian,instance,1,0.01,3
0.2,0.4839,xyguassian,instance,1,0.01,3
0.30000000000000004,0.49505,xyguassian,instance,1,0.01,3
0.4,0.49945,xyguassian,instance,1,0.01,3
0.5,0.4932,xyguassian,instance,1,0.01,3
0.6,0.50055,xyguassian,instance,1,0.01,3
0.7000000000000001,0.50495,xyguassian,instance,1,0.01,3
0.8,0.5161,xyguassian,instance,1,0.01,3
0.9,0.5291,xyguassian,instance,1,0.01,3
0.1,0.47755,xyguassian,instance,1,0.2,3
0.2,0.48615,xyguassian,instance,1,0.2,3
0.30000000000000004,0.4954,xyguassian,instance,1,0.2,3
0.4,0.4999,xyguassian,instance,1,0.2,3
0.5,0.4932,xyguassian,instance,1,0.2,3
0.6,0.5001,xyguassian,instance,1,0.2,3
0.7000000000000001,0.5046,xyguassian,instance,1,0.2,3
0.8,0.51385,xyguassian,instance,1,0.2,3
0.9,0.52245,xyguassian,instance,1,0.2,3
0.1,0.48885,xyguassian,instance,1,0.4,3
