noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.425,xyguassian,instance,1,0.01,1
0.2,0.4402,xyguassian,instance,1,0.01,1
0.30000000000000004,0.45925,xyguassian,instance,1,0.01,1
0.4,0.4762,xyguassian,instance,1,0.01,1
0.5,0.50025,xyguassian,instance,1,0.01,1
0.6,0.5238,xyguassian,instance,1,0.01,1
0.7000000000000001,0.54075,xyguassian,instance,1,0.01,1
0.8,0.5598,xyguassian,instance,1,0.01,1
0.9,0.575,xyguassian,instance,1,0.01,1
0.1,0.4444,xyguassian,instance,1,0.2,1
0.2,0.4568,xyguassian,instance,1,0.2,1
0.30000000000000004,0.46875,xyguassian,instance,1,0.2,1
0.4,0.4794,xyguassian,instance,1,0.2,1
0.5,0.50025,xyguassian,instance,1,0.2,1
0.6,0.5206,xyguassian,instance,1,0.2,1
0.7000000000000001,0.53125,xyguassian,instance,1,0.2,1
0.8,0.5432,xyguassian,instance,1,0.2,1
0.9,0.5556,xyguassian,instance,1,0.2,1
0.1,0.30822,cifar10n_random3,instance,0,0.2,5
0.2,0.37896,cifar10n_random3,instance,0,0.2,5
0.30000000000000004,0.45622,cifar10n_random3,instance,0,0.2,5
0.4,0.52732,cifar10n_random3,instance,0,0.2,5
0.5,0.60298,cifar10n_random3,instance,0,0.2,5
0.6,0.67884,cifar10n_random3,instance,0,0.2,5
0.7000000000000001,0.74916,cifar10n_random3,instance,0,0.2,5
0.8,0.8262,cifar10n_random3,instance,0,0.2,5
0.9,0.89998,cifar10n_random3,instance,0,0.2,5
0.1,0.48045,xyguassian,instance,1,0.4,1
0.2,0.48495,xyguassian,instance,1,0.4,1
0.30000000000000004,0.4876,xyguassian,instance,1,0.4,1
0.4,0.48965,xyguassian,instance,1,0.4,1
0.5,0.50025,xyguassian,instance,1,0.4,1
0.6,0.51035,xyguassian,instance,1,0.4,1
0.7000000000000001,0.5124,xyguassian,instance,1,0.4,1
0.8,0.51505,xyguassian,instance,1,0.4,1
0.9,0.51955,xyguassian,instance,1,0.4,1
0.1,0.5181,xyguassian,instance,1,0.6,1
0.2,0.5153,xyguassian,instance,1,0.6,1
0.30000000000000004,0.50915,xyguassian,instance,1,0.6,1
0.4,0.5041,xyguassian,instance,1,0.6,1
0.5,0.50025,xyguassian,instance,1,0.6,1
0.6,0.4959,xyguassian,instance,1,0.6,1
0.7000000000000001,0.49085,xyguassian,instance,1,0.6,1
0.8,0.4847,xyguassian,instance,1,0.6,1
0.9,0.4819,xyguassian,instance,1,0.6,1
0.1,0.5571,xyguassian,instance,1,0.8,1
0.2,0.5502,xyguassian,instance,1,0.8,1
0.30000000000000004,0.53425,xyguassian,instance,1,0.8,1
0.4,0.5193,xyguassian,instance,1,0.8,1
0.5,0.50025,xyguassian,instance,1,0.8,1
0.6,0.4807,xyguassian,instance,1,0.8,1
0.7000000000000001,0.46575,xyguassian,instance,1,0.8,1
0.8,0.4498,xyguassian,instance,1,0.8,1
0.9,0.4429,xyguassian,instance,1,0.8,1
0.1,0.46225,xyguassian,instance,1,0.01,2
0.2,0.4698,xyguassian,instance,1,0.01,2
0.30000000000000004,0.4809,xyguassian,instance,1,0.01,2
0.4,0.4918,xyguassian,instance,1,0.01,2
0.5,0.50225,xyguassian,instance,1,0.01,2
0.6,0.5082,xyguassian,instance,1,0.01,2
0.7000000000000001,0.5191,xyguassian,instance,1,0.01,2
0.8,0.5302,xyguassian,instance,1,0.01,2
0.9,0.53775,xyguassian,instance,1,0.01,2
0.1,0.4742,xyguassian,instance,1,0.2,2
0.2,0.47945,xyguassian,instance,1,0.2,2
0.30000000000000004,0.48785,xyguassian,instance,1,0.2,2
0.4,0.49525,xyguassian,instance,1,0.2,2
0.5,0.50225,xyguassian,instance,1,0.2,2
0.6,0.50475,xyguassian,instance,1,0.2,2
0.7000000000000001,0.51215,xyguassian,instance,1,0.2,2
0.8,0.52055,xyguassian,instance,1,0.2,2
0.9,0.5258,xyguassian,instance,1,0.2,2
0.1,0.4892,xyguassian,instance,1,0.4,2
0.2,0.49175,xyguassian,instance,1,0.4,2
0.30000000000000004,0.49635,xyguassian,instance,1,0.4,2
0.4,0.50105,xyguassian,instance,1,0.4,2
0.5,0.50225,xyguassian,instance,1,0.4,2
0.6,0.49895,xyguassian,instance,1,0.4,2
0.7000000000000001,0.50365,xyguassian,instance,1,0.4,2
0.8,0.50825,xyguassian,instance,1,0.4,2
0.9,0.5108,xyguassian,instance,1,0.4,2
0.1,0.50945,xyguassian,instance,1,0.6,2
0.2,0.5084,xyguassian,instance,1,0.6,2
0.30000000000000004,0.5107,xyguassian,instance,1,0.6,2
0.4,0.5094,xyguassian,instance,1,0.6,2
0.5,0.50225,xyguassian,instance,1,0.6,2
0.6,0.4906,xyguassian,instance,1,0.6,2
0.7000000000000001,0.4893,xyguassian,instance,1,0.6,2
0.8,0.4916,xyguassian,instance,1,0.6,2
0.9,0.49055,xyguassian,instance,1,0.6,2
0.1,0.5288,xyguassian,instance,1,0.8,2
0.2,0.52285,xyguassian,instance,1,0.8,2
0.30000000000000004,0.51865,xyguassian,instance,1,0.8,2
0.4,0.51235,xyguassian,instance,1,0.8,2
0.5,0.50225,xyguassian,instance,1,0.8,2
0.6,0.48765,xyguassian,instance,1,0.8,2
0.7000000000000001,0.48135,xyguassian,instance,1,0.8,2
0.8,0.47715,xyguassian,instance,1,0.8,2
0.9,0.4712,xyguassian,instance,1,0.8,2
0.1,0.30822,cifar10n_random3,instance,0,0.4,5
0.2,0.37896,cifar10n_random3,instance,0,0.4,5
0.30000000000000004,0.45622,cifar10n_random3,instance,0,0.4,5
0.4,0.52732,cifar10n_random3,instance,0,0.4,5
0.5,0.60298,cifar10n_random3,instance,0,0.4,5
0.6,0.67884,cifar10n_random3,instance,0,0.4,5
0.7000000000000001,0.74916,cifar10n_random3,instance,0,0.4,5
0.8,0.8262,cifar10n_random3,instance,0,0.4,5
0.9,0.89998,cifar10n_random3,instance,0,0.4,5
0.1,0.3878,xyguassian,instance,1,0.01,3
0.2,0.4204,xyguassian,instance,1,0.01,3
0.30000000000000004,0.44605,xyguassian,instance,1,0.01,3
0.4,0.47365,xyguassian,instance,1,0.01,3
0.5,0.4932,xyguassian,instance,1,0.01,3
0.6,0.52635,xyguassian,instance,1,0.01,3
0.7000000000000001,0.55395,xyguassian,instance,1,0.01,3
0.8,0.5796,xyguassian,instance,1,0.01,3
0.9,0.6122,xyguassian,instance,1,0.01,3
0.1,0.42,xyguassian,instance,1,0.2,3
0.2,0.4439,xyguassian,instance,1,0.2,3
0.30000000000000004,0.46345,xyguassian,instance,1,0.2,3
0.4,0.48205,xyguassian,instance,1,0.2,3
0.5,0.4932,xyguassian,instance,1,0.2,3
0.6,0.51795,xyguassian,instance,1,0.2,3
0.7000000000000001,0.53655,xyguassian,instance,1,0.2,3
0.8,0.5561,xyguassian,instance,1,0.2,3
0.9,0.58,xyguassian,instance,1,0.2,3
0.1,0.4703,xyguassian,instance,1,0.4,3
0.2,0.4782,xyguassian,instance,1,0.4,3
0.30000000000000004,0.48655,xyguassian,instance,1,0.4,3
0.4,0.49455,xyguassian,instance,1,0.4,3
0.5,0.4932,xyguassian,instance,1,0.4,3
